Time frequency,Unit of measure,Sex,Statistical classification of economic activities in the European Community (NACE Rev. 2),Severity (days lost),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Austria,0.42,0.29,0.62,0.41,0.62,0.51,0.33,0.22,0.3,0.11,0.26 b,0.63,0.3
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Belgium,0.36,0.08,0.0,0.25,0.06,0.09,0.35,0.24,0.35,0.05,0.1 b,0.15,0.1
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Bulgaria,0.7,0.31,0.62,0.61,0.46,0.53,0.15,0.44,0.15,0.08,0.34 b,0.08,0.4
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Switzerland,0.26,0.29,0.23,0.34,0.22,0.05,0.2,0.05,0.16,0.21,0.31 b,0.09,0.15
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Cyprus,0.0,0.0,0.6,0.57,0.0,0.64,0.0,0.0,0.53,0.0,0 b,0.0,0.51
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Czechia,0.53,0.44,0.1,0.33,0.09,0.52,0.13,0.17,0.26,0.21,0.13 b,0.25,0.21
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Germany,0.15,0.09,0.2,0.09,0.17,0.14,0.09,0.14,0.1,0.13,0.07 b,0.13,0.13
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Denmark,0.23,0.16,0.16,0.23,0.16,0.23,0.38,0.07,0.15,0.38,0.07 b,0.21,0.07
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Estonia,0.36,0.0,0.32,0.33,0.33,0.68,0.0,0.31,0.31,0.33,0 b,0.0,0.32
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Greece,0.06,0.0,0.0,0.0,0.14,0.0,0.17,0.08,0.06,0.06,0.13 b,0.0,0.0
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Spain,0.14,0.16 b,0.18,0.15,0.23,0.28,0.16,0.13,0.18,0.2 b,0.17 b,0.18,0.19
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,European Union - 27 countries (2007-2013),0.26,0.23,0.23,0.23,0.25,0.25,0.22,0.22,0.19,:,:,:,:
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,European Union - 27 countries (from 2020),0.3,0.26,0.25,0.24,0.27,0.27,0.23,0.23,0.2,0.23,0.29 b,0.26,0.25
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,European Union - 28 countries (2013-2020),0.26,0.23,0.22,0.23,0.25,0.25,0.22,0.22,0.19,:,:,:,:
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Finland,0.25,0.0,0.33,0.08,0.34,0.34,0.17,0.08,0.0,0.24,0.33 b,0.0,0.32
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,France,0.43,0.48,0.35,0.45,0.57,0.47,0.63,0.46,0.46,0.71,0.75 b,0.77,0.75
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Croatia,0.0,0.46,0.0,0.31,0.16,0.15,0.29,0.0,0.43,0.43,0.14 b,0.13,0.52
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Hungary,0.35,0.24,0.11,0.06,0.23,0.45,0.22,0.16,0.11,0.16,0.28 b,0.2,0.4
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Ireland,0.0,0.12,0.0,0.0,0.23,0.23,0.11,0.1,0.1,0.0,0 b,0.0,0.0
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Iceland,:,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0 b,0.0,0.0
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Italy,0.39,0.39,0.31,0.39,0.33,0.31,0.23,0.32,0.24,0.27,0.96 b,0.54,0.29
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Lithuania,0.47,0.77,0.33,0.15,0.5,0.49,0.32,0.16,0.0,0.0,0.16 b,0.0,0.0
