Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Applicant type,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Austria,2285.0,2180.0,2450.0,2250.0,2470.0,1830.0,1765.0,1700.0,1865.0,2455.0,1835.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Belgium,3105.0,2755.0,2735.0,3090.0,3350.0,2735.0,3510.0,3335.0,3685.0,4380.0,3275.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Bulgaria,770.0,570.0,700.0,735.0,790.0,1065.0,1650.0,1995.0,1505.0,1475.0,630.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Switzerland,2760.0,2435.0,2375.0,2270.0,2340.0,1870.0,2250.0,2205.0,2355.0,2585.0,2315.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Cyprus,1010.0,840.0,1430.0,1815.0,480.0,330.0,390.0,390.0,420.0,630.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Czechia,100.0,135.0,105.0,125.0,105.0,100.0,145.0,115.0,115.0,125.0,90.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Germany,30440.0,23135.0,19985.0,20505.0,19875.0,19225.0,21215.0,20965.0,20665.0,22420.0,18425.0,13690.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Denmark,230.0,165.0,160.0,185.0,155.0,175.0,175.0,165.0,220.0,240.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Estonia,165.0,135.0,125.0,120.0,125.0,90.0,120.0,95.0,90.0,110.0,95.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Greece,6565.0,6005.0,4230.0,4330.0,3535.0,5125.0,6370.0,6785.0,7090.0,8470.0,8500.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Spain,13865.0,13775.0,13405.0,15590.0,16475.0,15000.0,12050.0,10755.0,12735.0,16030.0,15135.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,European Union - 27 countries (from 2020),95315.0,84435.0,82530.0,84805.0,84245.0,77985.0,83015.0,76690.0,83245.0,94560.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Finland,350.0,235.0,220.0,205.0,245.0,210.0,230.0,235.0,260.0,270.0,220.0,230.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,France,13980.0,12365.0,12760.0,13080.0,12535.0,12680.0,13380.0,11905.0,13540.0,15525.0,13430.0,13400.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Croatia,50.0,80.0,90.0,135.0,120.0,85.0,80.0,60.0,100.0,125.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Ireland,1775.0,1570.0,1820.0,2025.0,2010.0,1405.0,1735.0,1690.0,1560.0,1050.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Iceland,165.0,245.0,180.0,160.0,190.0,175.0,160.0,130.0,130.0,145.0,125.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Italy,13460.0,13820.0,15740.0,14135.0,15525.0,12325.0,13935.0,10105.0,12565.0,14490.0,12260.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Liechtenstein,10.0,10.0,10.0,10.0,5.0,0.0,10.0,5.0,5.0,10.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Lithuania,45.0,40.0,50.0,20.0,30.0,20.0,25.0,40.0,20.0,15.0,30.0,20.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Luxembourg,175.0,175.0,160.0,135.0,165.0,130.0,175.0,175.0,190.0,260.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Latvia,35.0,35.0,85.0,80.0,105.0,70.0,125.0,235.0,95.0,85.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Montenegro,5.0,10.0,15.0,25.0,5.0,10.0,10.0,10.0,10.0,10.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Malta,65.0,95.0,70.0,55.0,70.0,30.0,60.0,65.0,40.0,70.0,:,:
