Time frequency,Demographic indicator,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Median age of population,Year,Kýpros,36.9,37.1,37.3,37.5,37.6,37.8,37.8,38.1,38.4,38.4
Annual,Median age of population,Year,Bornholm,50.5,51.0,51.5,51.8,52.0,52.2,52.4,52.6,52.9,52.9
Annual,Median age of population,Year,"Lesvos, Limnos",43.5,43.9,44.3,43.1,42.6,41.0,39.8,40.1,45.5 b,45.5
Annual,Median age of population,Year,"Ikaria, Samos",43.7,44.1,44.5,43.4,41.4,40.2,39.3,39.6,46.7 b,46.8
Annual,Median age of population,Year,Chios,42.5,42.8,43.0,42.8,41.7,41.1,40.6,40.9,45.5 b,45.9
Annual,Median age of population,Year,"Kalymnos, Karpathos – Iroiki Nisos Kasos, Kos, Rodos",38.6,39.1,39.7,39.8,40.0,40.2,40.4,40.9,42.4 b,42.8
Annual,Median age of population,Year,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",41.6,42.1,42.5,42.9,43.4,43.7,44.1,44.5,44.6 b,45.3
Annual,Median age of population,Year,Irakleio,39.6,40.0,40.4,40.9,41.2,41.6,41.9,42.3,43.1 b,43.6
Annual,Median age of population,Year,Lasithi,43.6,44.0,44.5,44.9,45.3,45.7,46.0,46.4,46.8 b,47.2
Annual,Median age of population,Year,Rethymni,37.8,38.2,38.6,39.0,39.4,39.8,40.2,40.6,41.2 b,41.5
Annual,Median age of population,Year,Chania,41.1,41.5,42.0,42.4,42.8,43.2,43.6,44.0,43.8 b,44.3
Annual,Median age of population,Year,Zakynthos,42.5,43.1,43.6,44.1,44.5,44.9,45.3,45.7,44.5 b,45.1
Annual,Median age of population,Year,Kerkyra,45.2,45.6,45.9,46.3,46.7,47.0,47.3,47.7,47.6 b,48.0
Annual,Median age of population,Year,"Ithaki, Kefallinia",44.2,44.7,45.0,45.5,45.9,46.4,46.8,47.2,47.8 b,48.2
Annual,Median age of population,Year,Eivissa y Formentera,38.3,38.6,38.9,39.3,39.6,40.0,40.3,40.8,41.3,41.5
Annual,Median age of population,Year,Mallorca,40.1,40.5,40.9,41.3,41.5,41.7,41.9,42.3,42.8,42.9
Annual,Median age of population,Year,Menorca,40.7,41.3,41.8,42.2,42.6,42.8,43.2,43.6,44.1,44.3
Annual,Median age of population,Year,El Hierro,44.6,44.8,45.2,45.6,46.1,46.4,46.7,47.1,47.3,47.7
Annual,Median age of population,Year,Fuerteventura,37.4,37.9,38.4,38.9,39.3,39.9,40.4,40.7,41.4,41.7
Annual,Median age of population,Year,Gran Canaria,40.9,41.5,42.1,42.6,43.1,43.6,44.1,44.7,45.2,45.6
Annual,Median age of population,Year,La Gomera,45.2,45.7,46.2,46.7,47.1,47.4,47.9,48.3,48.9,49.4
Annual,Median age of population,Year,La Palma,43.7,44.3,44.7,45.2,45.7,46.0,46.4,46.7,47.3,47.7
Annual,Median age of population,Year,Lanzarote,38.5,39.0,39.4,39.8,40.3,40.6,40.9,41.5,42.2,42.5
Annual,Median age of population,Year,Tenerife,41.0,41.5,42.0,42.4,42.8,43.2,43.6,44.1,44.7,45.0
Annual,Median age of population,Year,Åland,43.6,43.8,44.0,44.2,44.3,44.4,44.6,44.8,45.1,45.3
Annual,Median age of population,Year,Corse-du-Sud,44.4,45.1,45.5,45.8,45.9 p,46.2,46.3,46.3,46.4,46.5
Annual,Median age of population,Year,Haute-Corse,43.9,44.0,44.4,44.7,44.8 p,45.1,45.5,45.8,46.0,46.2
Annual,Median age of population,Year,Guadeloupe,41.1,41.8,42.4,43.2,44.0 p,44.1,44.9,45.3,45.9,46.3
Annual,Median age of population,Year,Martinique,43.6,44.3,45.2,46.1,46.7 p,47.2,47.7,48.2,48.6,49.1
Annual,Median age of population,Year,La Réunion,34.0,34.4,35.1,35.7,36.0 p,36.5,37.0,37.4,37.8,38.2
Annual,Median age of population,Year,Mayotte,17.8,18.1,18.1,18.1,18.1 p,18.1,18.1,18.1,18.1,18.1
Annual,Median age of population,Year,Border,36.9,37.3,37.9,38.2,38.6,38.9,39.3,39.9,40.3,40.3
Annual,Median age of population,Year,West,37.3,37.7,38.1,38.4,38.8,39.1,39.4,40.0,40.3,40.4
Annual,Median age of population,Year,Mid-West,36.9,37.4,37.9,38.3,38.7,39.1,39.4,39.9,40.2,40.4
Annual,Median age of population,Year,South-East,36.8,37.3,37.7,38.1,38.6,38.9,39.3,39.8,40.2,40.4
Annual,Median age of population,Year,South-West,36.6,37.2,37.6,37.9,38.3,38.5,39.0,39.4,39.9,40.1
Annual,Median age of population,Year,Dublin,34.7,34.9,35.2,35.6,36.0,36.2,36.4,36.7,36.9,37.3
Annual,Median age of population,Year,Mid-East,35.1,35.5,35.9,36.2,36.4,36.8,37.1,37.6,38.1,38.5
Annual,Median age of population,Year,Midland,35.2,35.7,36.2,36.2,36.4,36.9,37.6,38.1,38.6,38.9
Annual,Median age of population,Year,Trapani,43.8,44.3,44.6,45.0,45.4,45.9 b,46.5,47.0,47.4,47.8
Annual,Median age of population,Year,Palermo,42.2,42.6,43.0,43.5,43.9,44.4 b,45.0,45.6,46.0,46.3
Annual,Median age of population,Year,Messina,44.7,45.2,45.6,46.1,46.5,47.0 b,47.5,48.0,48.4,48.7
Annual,Median age of population,Year,Agrigento,43.0,43.4,43.9,44.4,44.9,45.4 b,45.9,46.6,47.0,47.3
Annual,Median age of population,Year,Caltanissetta,42.3,42.7,43.1,43.6,44.1,44.7 b,45.3,46.0,46.5,46.8
Annual,Median age of population,Year,Enna,43.9,44.4,44.8,45.3,45.8,46.3 b,46.9,47.6,48.0,48.4
Annual,Median age of population,Year,Catania,41.7,42.1,42.5,42.9,43.3,43.7 b,44.3,44.9,45.3,45.6
Annual,Median age of population,Year,Ragusa,41.9,42.3,42.6,42.9,43.3,43.6 b,44.1,44.6,44.9,45.1
Annual,Median age of population,Year,Siracusa,43.0,43.4,43.8,44.3,44.8,45.2 b,45.8,46.4,46.7,47.1
Annual,Median age of population,Year,Sassari (NUTS 2016),45.6,46.1,46.6,47.1,47.7,48.2 b,48.8,:,:,:
Annual,Median age of population,Year,Nuoro (NUTS 2016),45.7,46.2,46.8,47.3,47.9,48.5 b,49.1,:,:,:
Annual,Median age of population,Year,Cagliari (NUTS 2016),45.1,45.6,46.1,46.7,47.2,47.9 b,48.4,:,:,:
Annual,Median age of population,Year,Oristano (NUTS 2016),47.2,47.7,48.3,48.9,49.4,50.0 b,50.6,:,:,:
Annual,Median age of population,Year,Olbia-Tempio (NUTS 2016),43.7,44.2,44.7,45.2,45.7,46.3 b,46.9,:,:,:
Annual,Median age of population,Year,Ogliastra (NUTS 2016),45.4,45.9,46.5,46.9,47.4,48.0 b,48.7,:,:,:
Annual,Median age of population,Year,Medio Campidano (NUTS 2016),46.3,46.9,47.4,48.1,48.7,49.3 b,50.0,:,:,:
Annual,Median age of population,Year,Carbonia-Iglesias (NUTS 2016),47.5,48.1,48.7,49.4,50.0,50.6 b,51.3,:,:,:
Annual,Median age of population,Year,Sassari,45.0,45.5,46.0,46.5,47.0,:,:,48.9,49.3,49.8
Annual,Median age of population,Year,Nuoro,45.7,46.2,46.8,47.2,47.8,:,:,49.7,50.2,50.7
Annual,Median age of population,Year,Cagliari,45.1,45.6,46.1,46.6,47.1,:,:,49.0,49.5,50.0
