Time frequency,Individual type,Information society indicator,Unit of measure,Geopolitical entity (reporting)\Time,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Albania,14.43,17.18,29.75,32.98,:
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Austria,66.3,63.17,65.65,72.17,70.73
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Bosnia and Herzegovina,27.96,29.95,:,34.71,43.91
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Belgium,72.72,75.19,74.83,75.26,76.43
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Bulgaria,30.95,33.04,40.54,45.19,49.78
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Switzerland,:,82.69,:,83.42,:
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Cyprus,47.19,54.01,50.06,56.83,64.57
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Czechia,71.64,75.48,77.0,77.68,81.24
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Germany,82.55,76.02 b,76.18,77.48,77.89
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Denmark,89.31,90.82,88.3,89.01,90.86
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Estonia,68.43,70.32,70.83,73.12,73.06
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Greece,46.35,54.22,58.69,57.53,64.94
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Spain,62.62,66.63,67.91,68.88,68.94
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,European Union - 27 countries (from 2020),64.74 e,67.11 b,67.95,69.6,71.77
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Finland,75.83,78.64,78.64,79.14,78.94
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,France,:,75.68,75.85,76.93,80.29
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Croatia,55.01,57.35,56.15,59.14,59.3
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Hungary,60.02,66.01,70.32,69.67,74.18
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Ireland,74.38,87.41 b,82.0,87.12,94.7
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Iceland,82.77,84.65,:,:,:
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Italy,43.93,51.45,49.3,51.11,53.6
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Lithuania,53.81,60.0,60.06,60.91,64.38
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Luxembourg,78.57,80.97,80.81,79.79,80.36
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Latvia,56.22,61.82,61.98,62.14,65.1
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Montenegro,22.75,26.44,27.63,28.74,34.68
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,North Macedonia,33.63,40.37,:,:,58.16
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Malta,62.81,64.62,67.64,67.68,69.23
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Netherlands,86.6,89.47,88.21,92.41,94.06
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Norway,84.98,91.57,91.97,90.71,91.48
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Poland,60.93,61.17,64.58,64.32,67.41
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Portugal,44.5,51.59,53.53,54.75,59.3
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Romania,37.86,38.49,45.73,50.3,56.12
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Serbia,38.38,44.67,53.58,57.75,59.69
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Sweden,84.15,86.74,85.96,88.75,88.39
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Slovenia,62.91,71.2,62.58,65.85,66.26
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Slovakia,62.45,75.32,76.72,76.82,78.18
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Türkiye,32.62,40.0,42.17,45.86,47.3
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,United Kingdom,90.22,:,:,:,:
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals,Kosovo*,45.61,:,:,:,:
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Albania,19.52,21.44,34.67,38.52,:
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Austria,74.48,67.98,69.73,75.4,74.18
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Bosnia and Herzegovina,37.59,39.06,:,41.31,50.63
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Belgium,78.9,80.31,79.16,79.0,79.27
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Bulgaria,41.67,42.24,48.78,53.82,57.18
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Switzerland,:,84.02,:,83.99,:
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Cyprus,51.93,59.45,55.07,62.2,68.16
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Czechia,80.5,83.92,84.05,83.74,86.21
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Germany,86.86,82.42 b,81.9,82.93,82.53
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Denmark,90.37,91.75,90.02,89.92,90.86
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Estonia,76.1,76.71,76.72,78.05,78.72
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Greece,58.93,68.52,69.84,66.72,74.66
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Spain,66.99,70.51,71.55,71.78,71.54
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,European Union - 27 countries (from 2020),72.66 e,74.39 b,74.6,75.35,76.58
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Finland,78.04,81.09,80.5,80.9,80.4
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,France,:,81.71,82.6,82.03,84.37
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Croatia,69.05,69.95,67.72,70.11,70.07
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Hungary,69.71,74.06,78.39,75.89,78.87
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Ireland,80.89,88.09 b,89.04,93.2,95.79
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Iceland,83.21,85.07,:,:,:
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Italy,54.35,61.31,57.23,58.27,59.6
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Lithuania,64.26,68.55,67.92,68.44,71.96
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Luxembourg,79.73,81.93,82.16,80.27,81.34
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Latvia,62.8,67.03,67.2,66.95,69.35
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Montenegro,28.79,31.77,30.78,32.13,38.65
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,North Macedonia,40.26,46.31,:,:,63.21
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Malta,72.05,73.75,73.45,73.22,74.04
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Netherlands,91.18,93.96,92.35,93.09,94.42
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Norway,86.67,92.02,92.17,90.88,91.9
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Poland,71.82,70.41,73.03,73.0,75.07
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Portugal,56.0,62.15,62.93,63.39,66.64
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Romania,44.78,43.91,51.46,54.93,59.73
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Serbia,47.91,52.9,63.45,64.18,65.04
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Sweden,86.35,89.27,88.46,90.5,89.89
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Slovenia,71.83,79.14,69.59,72.54,72.39
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Slovakia,68.49,83.53,85.07,86.22,85.13
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Türkiye,41.68,48.81,50.09,53.03,53.57
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,United Kingdom,92.29,:,:,:,:
Annual,All individuals,Last online purchase: in the 12 months,Percentage of individuals who used internet within the last year,Kosovo*,47.24,:,:,:,:
