Time frequency,Income and living conditions indicator,Sex,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Persons aged 60 years and over compared to persons aged less than 60 years,Females,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.05,1.01,1.01,0.98,0.98,:,:
Annual,Persons aged 60 years and over compared to persons aged less than 60 years,Females,Austria,0.94 b,0.94,0.96,0.94,0.94,0.88 b,0.87,0.9,0.92,0.94,0.94,0.94,0.96,0.96,0.95,0.93,0.99,0.97,0.95,0.95,0.89
Annual,Persons aged 60 years and over compared to persons aged less than 60 years,Females,Belgium,0.74 b,0.77,0.74,0.72,0.75,0.75,0.76,0.77,0.75,0.76,0.78,0.78,0.8,0.78,0.8,0.78,0.79 b,0.77,0.79,0.75,0.77
Annual,Persons aged 60 years and over compared to persons aged less than 60 years,Females,Bulgaria,:,:,:,0.77 b,0.76,0.68,0.63,0.74,0.74,0.74,0.76,0.83,0.71,0.78 b,0.7,0.74,0.68,0.67,0.7,0.68,0.75
Annual,Persons aged 60 years and over compared to persons aged less than 60 years,Females,Switzerland,:,:,:,:,0.88,0.84,0.79,0.82,0.8,0.78,0.79,0.85 b,0.86,0.84,0.85,0.86,0.81,0.82,0.8,0.81,0.8
Annual,Persons aged 60 years and over compared to persons aged less than 60 years,Females,Cyprus,:,:,0.60 b,0.61,0.61,0.62 b,0.65,0.69,0.69,0.72,0.8,0.77,0.82,0.8,0.81,0.82,0.79,0.83,0.84,0.8,0.81
Annual,Persons aged 60 years and over compared to persons aged less than 60 years,Females,Czechia,:,:,0.84 b,0.82,0.82,0.8,0.79,0.82,0.83,0.84,0.86,0.85,0.83,0.79,0.77,0.75,0.74,0.75,0.79,0.73,0.77
Annual,Persons aged 60 years and over compared to persons aged less than 60 years,Females,Germany,:,:,0.93 b,0.92,0.85,0.87,0.86,0.87,0.89,0.86,0.87,0.87,0.85,0.85,0.84,0.84,0.84,0.84 b,0.86,0.86,0.86
Annual,Persons aged 60 years and over compared to persons aged less than 60 years,Females,Denmark,0.72 b,0.74,0.73,0.74,0.73,0.74,0.74,0.75,0.78 b,0.79,0.79,0.81,0.82,0.8,0.8,0.81,0.8,0.81 b,0.81,0.79,0.83
Annual,Persons aged 60 years and over compared to persons aged less than 60 years,Females,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,0.88,0.89,0.91,0.92,0.94,0.95,0.96 e,0.95 e,0.95 e,0.94 e,0.94 e,0.93,0.94 b,0.94,:,:
