Time frequency,Frequency,Type of violence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Repeated,Physical,Percentage,Austria,7.9
Annual,Repeated,Physical,Percentage,Belgium,10.2
Annual,Repeated,Physical,Percentage,Bulgaria,4.0
Annual,Repeated,Physical,Percentage,Cyprus,17.8
Annual,Repeated,Physical,Percentage,Czechia,5.6
Annual,Repeated,Physical,Percentage,Germany,10.6
Annual,Repeated,Physical,Percentage,Denmark,10.2
Annual,Repeated,Physical,Percentage,Estonia,12.6
Annual,Repeated,Physical,Percentage,Greece,12.0
Annual,Repeated,Physical,Percentage,Spain,7.3
Annual,Repeated,Physical,Percentage,European Union (aggregate changing according to the context),10.3 e
Annual,Repeated,Physical,Percentage,Finland,17.2
Annual,Repeated,Physical,Percentage,France,8.7
Annual,Repeated,Physical,Percentage,Croatia,5.6
Annual,Repeated,Physical,Percentage,Hungary,25.4
Annual,Repeated,Physical,Percentage,Ireland,13.2
Annual,Repeated,Physical,Percentage,Lithuania,10.2
Annual,Repeated,Physical,Percentage,Luxembourg,11.1
Annual,Repeated,Physical,Percentage,Latvia,11.6
Annual,Repeated,Physical,Percentage,Montenegro,4.1
Annual,Repeated,Physical,Percentage,Malta,9.7
Annual,Repeated,Physical,Percentage,Netherlands,7.4
Annual,Repeated,Physical,Percentage,Poland,7.7
Annual,Repeated,Physical,Percentage,Portugal,6.4
Annual,Repeated,Physical,Percentage,Romania,24.2
Annual,Repeated,Physical,Percentage,Serbia,5.9
Annual,Repeated,Physical,Percentage,Sweden,13.6
Annual,Repeated,Physical,Percentage,Slovenia,6.2
Annual,Repeated,Physical,Percentage,Slovakia,: u
Annual,Repeated,Physical,Percentage,Kosovo*,3.0
Annual,Repeated,Physical or sexual,Percentage,Austria,9.0
Annual,Repeated,Physical or sexual,Percentage,Belgium,11.9
Annual,Repeated,Physical or sexual,Percentage,Bulgaria,4.1
Annual,Repeated,Physical or sexual,Percentage,Cyprus,20.2
Annual,Repeated,Physical or sexual,Percentage,Czechia,7.7
Annual,Repeated,Physical or sexual,Percentage,Germany,11.6
Annual,Repeated,Physical or sexual,Percentage,Denmark,13.2
Annual,Repeated,Physical or sexual,Percentage,Estonia,14.2
Annual,Repeated,Physical or sexual,Percentage,Greece,12.8
Annual,Repeated,Physical or sexual,Percentage,Spain,8.8
Annual,Repeated,Physical or sexual,Percentage,European Union (aggregate changing according to the context),11.9 e
Annual,Repeated,Physical or sexual,Percentage,Finland,18.7
Annual,Repeated,Physical or sexual,Percentage,France,11.1
Annual,Repeated,Physical or sexual,Percentage,Croatia,6.9
Annual,Repeated,Physical or sexual,Percentage,Hungary,27.6
Annual,Repeated,Physical or sexual,Percentage,Ireland,15.2
Annual,Repeated,Physical or sexual,Percentage,Lithuania,11.1
Annual,Repeated,Physical or sexual,Percentage,Luxembourg,14.6
Annual,Repeated,Physical or sexual,Percentage,Latvia,12.3
Annual,Repeated,Physical or sexual,Percentage,Montenegro,4.1
Annual,Repeated,Physical or sexual,Percentage,Malta,10.8
Annual,Repeated,Physical or sexual,Percentage,Netherlands,9.4
Annual,Repeated,Physical or sexual,Percentage,Poland,8.1
Annual,Repeated,Physical or sexual,Percentage,Portugal,7.0
Annual,Repeated,Physical or sexual,Percentage,Romania,25.8
Annual,Repeated,Physical or sexual,Percentage,Serbia,6.1
Annual,Repeated,Physical or sexual,Percentage,Sweden,19.7
Annual,Repeated,Physical or sexual,Percentage,Slovenia,7.5
Annual,Repeated,Physical or sexual,Percentage,Slovakia,: u
Annual,Repeated,Physical or sexual,Percentage,Kosovo*,3.0
Annual,Repeated,Physical (including threats) or sexual,Percentage,Austria,10.6
Annual,Repeated,Physical (including threats) or sexual,Percentage,Belgium,13.4
Annual,Repeated,Physical (including threats) or sexual,Percentage,Bulgaria,7.0
Annual,Repeated,Physical (including threats) or sexual,Percentage,Cyprus,24.7
Annual,Repeated,Physical (including threats) or sexual,Percentage,Czechia,10.4
Annual,Repeated,Physical (including threats) or sexual,Percentage,Germany,13.7
Annual,Repeated,Physical (including threats) or sexual,Percentage,Denmark,18.7
