Time frequency,Training,Work experience during studies,Duration,International Standard Classification of Education (ISCED 2011),Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Austria,90.1,86.7,92.5
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Bosnia and Herzegovina,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Belgium,49.7,50.1,47.9
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Bulgaria,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Switzerland,97.8,96.8,95.9
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Cyprus,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Czechia,27.0 u,18.5,16.4
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Germany,94.4 u,92.4 u,91.2 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Denmark,: u,67.1,69.8
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Euro area – 20 countries (from 2023),73.1,72.5,72.4
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Estonia,66.4 u,83.5,89.1
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Greece,26.8 u,55.1,34.8
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Spain,93.1,98.5,96.1
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,European Union - 27 countries (from 2020),60.0,59.5,64.1 b
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Finland,85.7,77.1,74.3 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,France,69.3,66.3,65.9
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Croatia,40.4,44.3 u,37.8 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Hungary,32.5 u,36.2,25.1 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Ireland,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Iceland,:,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Italy,32.3,26.2,27.9
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Lithuania,49.4,45.8 u,62.5
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Luxembourg,31.8,35.9,24.6 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Latvia,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Malta,46.6 u,67.1 u,68.3 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Netherlands,95.4,94.9,95.2
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Norway,: u,51.7,56.4 u
