Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Above 60%,Percentage,Albania,19.1
Annual,Median equivalised income,Above 60%,Percentage,Austria,25.0
Annual,Median equivalised income,Above 60%,Percentage,Belgium,16.2
Annual,Median equivalised income,Above 60%,Percentage,Bulgaria,21.3
Annual,Median equivalised income,Above 60%,Percentage,Switzerland,24.0
Annual,Median equivalised income,Above 60%,Percentage,Cyprus,54.4
Annual,Median equivalised income,Above 60%,Percentage,Czechia,25.8
Annual,Median equivalised income,Above 60%,Percentage,Germany,: u
Annual,Median equivalised income,Above 60%,Percentage,Denmark,17.3
Annual,Median equivalised income,Above 60%,Percentage,Estonia,40.8
Annual,Median equivalised income,Above 60%,Percentage,Greece,45.9
Annual,Median equivalised income,Above 60%,Percentage,Spain,36.0
Annual,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),24.8 u
Annual,Median equivalised income,Above 60%,Percentage,Finland,45.5
Annual,Median equivalised income,Above 60%,Percentage,France,24.3
Annual,Median equivalised income,Above 60%,Percentage,Croatia,36.0
Annual,Median equivalised income,Above 60%,Percentage,Hungary,13.3
Annual,Median equivalised income,Above 60%,Percentage,Ireland,16.5
Annual,Median equivalised income,Above 60%,Percentage,Italy,31.8
Annual,Median equivalised income,Above 60%,Percentage,Lithuania,49.7
Annual,Median equivalised income,Above 60%,Percentage,Luxembourg,30.9
Annual,Median equivalised income,Above 60%,Percentage,Latvia,31.2
Annual,Median equivalised income,Above 60%,Percentage,Montenegro,26.4
Annual,Median equivalised income,Above 60%,Percentage,North Macedonia,21.6
Annual,Median equivalised income,Above 60%,Percentage,Malta,28.8
Annual,Median equivalised income,Above 60%,Percentage,Netherlands,10.8
Annual,Median equivalised income,Above 60%,Percentage,Norway,35.3
Annual,Median equivalised income,Above 60%,Percentage,Poland,15.5
Annual,Median equivalised income,Above 60%,Percentage,Portugal,29.8
Annual,Median equivalised income,Above 60%,Percentage,Romania,6.8
Annual,Median equivalised income,Above 60%,Percentage,Serbia,34.4
Annual,Median equivalised income,Above 60%,Percentage,Sweden,27.7
Annual,Median equivalised income,Above 60%,Percentage,Slovenia,31.8
Annual,Median equivalised income,Above 60%,Percentage,Slovakia,23.7
Annual,Median equivalised income,Below 60%,Percentage,Albania,27.0
Annual,Median equivalised income,Below 60%,Percentage,Austria,12.1
Annual,Median equivalised income,Below 60%,Percentage,Belgium,6.1
Annual,Median equivalised income,Below 60%,Percentage,Bulgaria,6.7
Annual,Median equivalised income,Below 60%,Percentage,Switzerland,12.4
Annual,Median equivalised income,Below 60%,Percentage,Cyprus,27.6
Annual,Median equivalised income,Below 60%,Percentage,Czechia,11.3
Annual,Median equivalised income,Below 60%,Percentage,Germany,: u
Annual,Median equivalised income,Below 60%,Percentage,Denmark,8.2
Annual,Median equivalised income,Below 60%,Percentage,Estonia,22.9
Annual,Median equivalised income,Below 60%,Percentage,Greece,29.0
Annual,Median equivalised income,Below 60%,Percentage,Spain,17.8
Annual,Median equivalised income,Below 60%,Percentage,European Union - 27 countries (from 2020),12.9 u
Annual,Median equivalised income,Below 60%,Percentage,Finland,25.1
Annual,Median equivalised income,Below 60%,Percentage,France,10.8
Annual,Median equivalised income,Below 60%,Percentage,Croatia,20.8
Annual,Median equivalised income,Below 60%,Percentage,Hungary,6.2
Annual,Median equivalised income,Below 60%,Percentage,Ireland,4.2
Annual,Median equivalised income,Below 60%,Percentage,Italy,15.1
Annual,Median equivalised income,Below 60%,Percentage,Lithuania,38.1
Annual,Median equivalised income,Below 60%,Percentage,Luxembourg,10.2
Annual,Median equivalised income,Below 60%,Percentage,Latvia,17.5
Annual,Median equivalised income,Below 60%,Percentage,Montenegro,15.5
Annual,Median equivalised income,Below 60%,Percentage,North Macedonia,10.5
Annual,Median equivalised income,Below 60%,Percentage,Malta,14.5
Annual,Median equivalised income,Below 60%,Percentage,Netherlands,5.3
Annual,Median equivalised income,Below 60%,Percentage,Norway,8.6
Annual,Median equivalised income,Below 60%,Percentage,Poland,11.7
Annual,Median equivalised income,Below 60%,Percentage,Portugal,17.9
Annual,Median equivalised income,Below 60%,Percentage,Romania,3.6
Annual,Median equivalised income,Below 60%,Percentage,Serbia,23.7
Annual,Median equivalised income,Below 60%,Percentage,Sweden,14.0
Annual,Median equivalised income,Below 60%,Percentage,Slovenia,19.4
Annual,Median equivalised income,Below 60%,Percentage,Slovakia,17.1
Annual,Median equivalised income,Total,Percentage,Albania,20.8
Annual,Median equivalised income,Total,Percentage,Austria,23.2
Annual,Median equivalised income,Total,Percentage,Belgium,14.8
Annual,Median equivalised income,Total,Percentage,Bulgaria,17.9
Annual,Median equivalised income,Total,Percentage,Switzerland,22.2
Annual,Median equivalised income,Total,Percentage,Cyprus,50.5
Annual,Median equivalised income,Total,Percentage,Czechia,24.4
Annual,Median equivalised income,Total,Percentage,Germany,: u
Annual,Median equivalised income,Total,Percentage,Denmark,16.2
Annual,Median equivalised income,Total,Percentage,Estonia,37.1
Annual,Median equivalised income,Total,Percentage,Greece,42.9
Annual,Median equivalised income,Total,Percentage,Spain,32.2
Annual,Median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),22.8 u
Annual,Median equivalised income,Total,Percentage,Finland,43.0
Annual,Median equivalised income,Total,Percentage,France,22.4
Annual,Median equivalised income,Total,Percentage,Croatia,33.2
Annual,Median equivalised income,Total,Percentage,Hungary,12.4
Annual,Median equivalised income,Total,Percentage,Ireland,14.8
Annual,Median equivalised income,Total,Percentage,Italy,28.5
Annual,Median equivalised income,Total,Percentage,Lithuania,47.3
Annual,Median equivalised income,Total,Percentage,Luxembourg,27.3
Annual,Median equivalised income,Total,Percentage,Latvia,28.3
Annual,Median equivalised income,Total,Percentage,Montenegro,24.0
Annual,Median equivalised income,Total,Percentage,North Macedonia,19.2
Annual,Median equivalised income,Total,Percentage,Malta,26.4
Annual,Median equivalised income,Total,Percentage,Netherlands,10.1
Annual,Median equivalised income,Total,Percentage,Norway,31.9
Annual,Median equivalised income,Total,Percentage,Poland,14.9
Annual,Median equivalised income,Total,Percentage,Portugal,27.9
Annual,Median equivalised income,Total,Percentage,Romania,6.1
Annual,Median equivalised income,Total,Percentage,Serbia,32.1
Annual,Median equivalised income,Total,Percentage,Sweden,25.6
Annual,Median equivalised income,Total,Percentage,Slovenia,30.2
Annual,Median equivalised income,Total,Percentage,Slovakia,22.9
