Time frequency,Unit of measure,Smoking behaviour,Income quantile,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Austria,8.3,6.2
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Belgium,4.4 u,3.2 u
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Bulgaria,11.2,7.5
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Cyprus,9.1,6.0
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Czechia,4.4,3.5
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Germany,2.9,4.3
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Denmark,2.2,1.0
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Estonia,4.2,2.8
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Greece,9.5,4.8
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Spain,4.4,2.2
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,European Union - 27 countries (from 2020),3.9,3.3
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Finland,0.0,0.3
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,France,3.9,2.6
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Croatia,8.4,7.9
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Hungary,5.2,6.7
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Ireland,2.4,2.1
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Iceland,0.6,0.7
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Italy,2.8,2.1
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Lithuania,3.9,3.7
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Luxembourg,2.9,1.2
Annual,Percentage,20 or more cigarettes per day,Total,Total,From 15 to 29 years,Latvia,5.4,3.9
