Time frequency,Currency,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,National currency,Armenia,52060.0,62293.0,74227.0,87406.0,96019.0,102652.0,108092.0,140739.0,146524 bdp,158580.0,171615.0,174445.0,166004.0,172727.0,182673.0,189716.0,204048.0,:
Annual,National currency,Azerbaijan,124.0,149.0,216.0,274.0,298.0,332.0,364.0,398.0,425.0,445.0,467.0,500.0,529.0,545.0,635.0,708.0,732.0,840.0
Annual,National currency,Belarus,463741 d,582166 d,694045 d,868169 d,981584 d,1217313 d,1899782 d,3676083 d,5061418 d,6052367 d,6714997 d,723 b,823.0,971.0,1093.0,1255.0,:,:
Annual,National currency,Georgia,204.0,278.0,368.0,535 d,557 d,598.0,636.0,713.0,773.0,818.0,900.0,940.0,999.0,1068.0,1129.0,1191.0,1305.0,1543.0
Annual,National currency,Moldova,1319 d,1697 d,2065 d,2530 d,2748 d,2972 d,3042 bd,3386 d,3674 d,4090 d,4538 d,4998 d,5587 d,6268 d,7234 d,7943 d,8980 d,10447 d
Annual,National currency,Ukraine,806 d,1041 d,1351 d,1806 d,1906 d,2239 bd,2633 d,3026 d,3265 d,3480 bd,4195 d,5183 d,7104 d,8865 d,10497 d,11591 d,14014 d,14847 d
