Time frequency,Unit of measure,Type of vessel,Type of victim,Sea basins,Country of registration\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Person,Cargo ship,Injured,Atlantic Ocean,European Union - 27 countries (from 2020),17.0,12.0,16.0,18.0,20.0,23.0,17.0,22.0,30.0,16.0,19.0,13.0,12.0
Annual,Person,Cargo ship,Injured,Atlantic Ocean,Others,4.0,20.0,17.0,9.0,14.0,17.0,10.0,5.0,10.0,6.0,5.0,2.0,3.0
Annual,Person,Cargo ship,Injured,Atlantic Ocean,Unknown,:,:,:,:,0.0,:,:,1.0,:,0.0,:,:,:
Annual,Person,Cargo ship,Injured,Baltic Sea,European Union - 27 countries (from 2020),5.0,10.0,12.0,13.0,15.0,9.0,3.0,8.0,12.0,9.0,7.0,10.0,3.0
Annual,Person,Cargo ship,Injured,Baltic Sea,Others,2.0,8.0,2.0,1.0,2.0,0.0,1.0,3.0,3.0,2.0,0.0,3.0,0.0
Annual,Person,Cargo ship,Injured,Baltic Sea,Unknown,:,:,:,:,:,:,:,:,:,:,0.0,:,:
Annual,Person,Cargo ship,Injured,Black Sea,European Union - 27 countries (from 2020),1.0,0.0,2.0,0.0,0.0,:,0.0,3.0,1.0,0.0,:,1.0,1.0
Annual,Person,Cargo ship,Injured,Black Sea,Others,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Annual,Person,Cargo ship,Injured,English Channel,European Union - 27 countries (from 2020),1.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,1.0
Annual,Person,Cargo ship,Injured,English Channel,Others,4.0,5.0,2.0,1.0,3.0,3.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0
Annual,Person,Cargo ship,Injured,Mediterranean Sea,European Union - 27 countries (from 2020),10.0,15.0,11.0,13.0,12.0,22.0,17.0,22.0,18.0,15.0,13.0,12.0,16.0
Annual,Person,Cargo ship,Injured,Mediterranean Sea,Others,4.0,12.0,6.0,10.0,11.0,4.0,6.0,5.0,13.0,3.0,4.0,8.0,10.0
