Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
Annual,Number,Border regions,Austria,:,:,:,:,:,:,:,:,:,:,:,1999.0,:,:
Annual,Number,Border regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Border regions,Czechia,:,:,:,397.0,565.0,:,364.0,:,481.0,:,430.0,517.0,615.0,:
Annual,Number,Border regions,Denmark,625.0,610.0,560.0,578.0,730.0,712.0,600.0,527.0,704.0,684.0,778.0,653.0,877.0,617 p
Annual,Number,Border regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,49 p
Annual,Number,Border regions,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,24 p
Annual,Number,Border regions,Ireland,58.0,201.0,:,:,:,98.0,177.0,134.0,:,38.0,:,36.0,:,:
Annual,Number,Border regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Border regions,Italy,:,3924.0,4790.0,:,:,4497.0,4352.0,:,3453.0,:,:,:,:,:
Annual,Number,Border regions,Liechtenstein,63.0,224.0,228.0,129.0,142.0,267.0,120.0,135.0,86.0,87.0,204.0,65.0,101.0,44 p
Annual,Number,Border regions,Luxembourg,59.0,64.0,162.0,162.0,509.0,345.0,212.0,194.0,330.0,536.0,735.0,561.0,707.0,324 p
Annual,Number,Border regions,Latvia,:,:,:,:,:,:,:,15.0,29.0,:,:,:,27.0,:
Annual,Number,Border regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Border regions,Netherlands,:,:,:,:,:,:,1184.0,:,:,:,:,:,:,:
Annual,Number,Border regions,Poland,:,:,:,:,:,:,:,:,:,:,:,773.0,:,:
Annual,Number,Border regions,Slovenia,:,:,:,:,:,:,:,:,:,:,132.0,140.0,:,:
Annual,Number,Border regions,Slovakia,:,:,:,121.0,:,:,163.0,91.0,168.0,130.0,200.0,205.0,121.0,:
Annual,Number,Border regions,United Kingdom,:,:,44.0,:,40.0,41.0,40.0,:,60.0,110.0,:,102.0,:,:
Annual,Number,Coastal regions,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Belgium,:,:,:,:,484.0,:,:,:,:,:,:,:,:,:
Annual,Number,Coastal regions,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,403.0,64 p
Annual,Number,Coastal regions,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Cyprus,22.0,2.0,10.0,43.0,24.0,9.0,13.0,39.0,46.0,31.0,56.0,45.0,29.0,102 p
Annual,Number,Coastal regions,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Coastal regions,Denmark,:,:,:,:,:,:,:,995.0,1243.0,:,:,:,1545.0,1220 p
Annual,Number,Coastal regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,67 p
