Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of risk-weighted assets,Austria,:,7.7 e,9.3 e,10.0 e,10.3 e,11.0 e,11.9 e,11.8 e,12.7 e,14.9 e,15.9 e,16.0 e,16.3 e,17.2 e,17.1 e,17.3 e,18.1 p
Annual,Percentage of risk-weighted assets,Belgium,11.9 e,11.5 e,13.2 e,15.5 e,15.1 e,15.9 e,16.4 e,15.3 e,16.0 e,16.2 e,16.9 e,16.5 e,16.6 e,18.2 e,18.8 e,18.5 e,17.9 p
Annual,Percentage of risk-weighted assets,Bulgaria,10.8 e,11.2 e,14.0 e,15.2 e,15.7 e,15.1 e,16.0 e,19.6 e,19.9 e,20.3 e,20.6 e,19.7 e,18.8 e,22.4 e,22.3 e,20.9 e,20.9 p
Annual,Percentage of risk-weighted assets,Cyprus,:,8.3 e,9.5 e,10.9 e,7.4 e,6.3 e,12.3 e,14.6 e,16.0 e,16.4 e,15.4 e,16.1 e,19.0 e,19.2 e,19.3 e,19.7 e,23.4 p
Annual,Percentage of risk-weighted assets,Czechia,9.7 e,10.6 e,12.3 e,13.6 e,13.6 e,14.9 e,16.0 e,16.5 e,17.1 e,17.1 e,17.5 e,17.8 e,19.2 e,21.4 e,20.6 e,19.5 e,19.5 p
Annual,Percentage of risk-weighted assets,Germany,:,9.3 e,10.6 e,11.4 e,11.7 e,13.8 e,15.2 e,14.8 e,15.4 e,15.6 e,16.4 e,16.3 e,16.1 e,16.7 e,16.4 e,16.6 e,17.7 p
Annual,Percentage of risk-weighted assets,Denmark,:,10.2 e,13.5 e,14.1 e,14.9 e,16.7 e,17.3 e,16.2 e,17.6 e,18.4 e,19.7 e,19.7 e,19.9 e,20.6 e,20.3 e,20.0 e,21.0 p
Annual,Percentage of risk-weighted assets,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,13.6 e,14.6 e,15.0 e,15.8 e,15.8 e,16.1 e,17.0 e,16.9 e,16.8 e,17.3 p
Annual,Percentage of risk-weighted assets,Estonia,:,10.3 e,11.8 e,12.7 e,18.5 e,22.8 e,22.7 e,41.3 e,34.9 e,33.8 e,30.1 e,30.4 e,25.9 e,27.2 e,23.5 e,21.2 e,21.5 p
Annual,Percentage of risk-weighted assets,Greece,:,7.9 e,10.8 e,10.9 e,:,8.0 e,13.2 e,13.8 e,16.3 e,16.9 e,17.0 e,15.3 e,16.3 e,15.0 e,14.0 e,14.9 e,16.2 p
Annual,Percentage of risk-weighted assets,Spain,:,8.1 e,9.3 e,9.6 e,10.3 e,9.8 e,11.8 e,11.8 e,12.7 e,13.0 e,13.2 e,13.5 e,13.8 e,14.7 e,15.0 e,14.4 e,14.7 p
Annual,Percentage of risk-weighted assets,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,18.9 e,14.9 e,15.6 e,16.3 e,16.4 e,16.6 e,17.2 e,17.1 e,16.9 e,17.5 p
Annual,Percentage of risk-weighted assets,Finland,:,12.5 e,13.8 e,13.7 e,13.7 e,16.3 e,15.5 e,16.6 e,22.4 e,23.1 e,21.5 e,18.6 e,19.2 e,19.3 e,19.3 e,18.6 e,19.7 p
Annual,Percentage of risk-weighted assets,France,:,8.4 e,10.1 e,10.8 e,10.9 e,13.3 e,13.2 e,13.1 e,13.8 e,15.0 e,15.3 e,15.6 e,16.1 e,17.1 e,17.1 e,16.8 e,17.3 p
Annual,Percentage of risk-weighted assets,Croatia,:,:,:,:,:,:,18.6 e,19.4 e,17.7 e,19.4 e,20.2 e,20.2 e,21.8 e,22.8 e,24.0 e,22.3 e,21.7 p
Annual,Percentage of risk-weighted assets,Hungary,:,10.9 e,11.9 e,11.5 e,11.3 e,13.3 e,14.7 e,13.8 e,13.9 e,15.9 e,14.2 e,16.7 e,15.9 e,16.2 e,18.0 e,17.1 e,17.0 p
Annual,Percentage of risk-weighted assets,Ireland,:,9.2 e,9.8 e,11.6 e,16.7 e,16.7 e,17.3 e,20.5 e,23.2 e,23.0 e,23.4 e,23.4 e,23.0 e,23.3 e,23.3 e,22.4 e,21.8 p
Annual,Percentage of risk-weighted assets,Italy,7.0 e,6.9 e,8.3 e,8.7 e,9.5 e,10.6 e,10.6 e,11.8 e,12.3 e,11.5 e,14.4 e,13.9 e,14.9 e,16.9 e,16.5 e,16.7 e,16.9 p
Annual,Percentage of risk-weighted assets,Lithuania,6.4 e,9.2 e,9.3 e,10.8 e,12.0 e,14.6 e,17.0 e,20.9 e,24.3 e,19.1 e,18.8 e,18.4 e,19.5 e,21.5 e,23.2 e,20.2 e,18.6 p
Annual,Percentage of risk-weighted assets,Luxembourg,:,12.7 e,15.6 e,15.1 e,15.3 e,18.6 e,21.3 e,18.5 e,20.2 e,23.6 e,21.8 e,20.8 e,19.3 e,20.0 e,18.8 e,18.2 e,18.5 p
Annual,Percentage of risk-weighted assets,Latvia,:,9.6 e,10.8 e,10.9 e,13.5 e,14.5 e,16.5 e,17.5 e,19.0 e,17.3 e,18.4 e,20.3 e,22.0 e,25.7 e,29.2 e,23.6 e,20.6 p
Annual,Percentage of risk-weighted assets,Malta,18.4 e,15.6 e,21.3 e,49.6 e,52.2 e,49.6 e,43.9 e,23.1 e,18.8 e,17.7 e,18.8 e,20.2 e,21.6 e,22.8 e,22.2 e,21.3 e,22.1 p
Annual,Percentage of risk-weighted assets,Netherlands,:,9.7 e,12.5 e,11.8 e,11.8 e,12.3 e,12.9 e,15.4 e,16.6 e,17.9 e,18.6 e,19.0 e,19.0 e,19.7 e,19.7 e,18.3 e,18.6 p
Annual,Percentage of risk-weighted assets,Poland,11.1 e,10.2 e,12.1 e,12.6 e,11.9 e,13.1 e,14.0 e,13.7 e,14.5 e,15.4 e,16.3 e,16.1 e,15.9 e,17.5 e,16.1 e,16.3 e,18.1 p
Annual,Percentage of risk-weighted assets,Portugal,6.9 e,6.6 e,7.9 e,8.3 e,8.6 e,11.3 e,12.2 e,11.4 e,12.6 e,11.7 e,14.5 e,13.9 e,15.2 e,16.6 e,16.3 e,16.2 e,17.9 p
Annual,Percentage of risk-weighted assets,Romania,10.0 e,11.6 e,12.9 e,14.1 e,14.2 e,14.8 e,15.8 e,14.5 e,16.4 e,17.1 e,17.4 e,17.7 e,19.1 e,21.9 e,20.0 e,19.6 e,19.9 p
Annual,Percentage of risk-weighted assets,Sweden,:,7.9 e,10.6 e,10.7 e,10.9 e,11.3 e,11.5 e,19.2 e,21.0 e,22.7 e,23.0 e,18.5 e,19.6 e,20.4 e,20.6 e,20.2 e,20.4 p
Annual,Percentage of risk-weighted assets,Slovenia,7.1 e,8.8 e,9.0 e,8.6 e,9.3 e,9.8 e,12.9 e,17.1 e,18.0 e,18.5 e,17.7 e,17.6 e,17.8 e,16.7 e,16.9 e,16.2 e,18.0 p
Annual,Percentage of risk-weighted assets,Slovakia,10.8 e,10.1 e,11.6 e,11.4 e,12.5 e,14.9 e,16.2 e,16.0 e,16.5 e,16.2 e,16.6 e,16.2 e,16.5 e,17.8 e,17.9 e,18.0 e,18.6 p
