Time frequency,Waste management operations,Waste categories,Unit of measure,Geopolitical entity (reporting)\Time,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Germany,16555.0,16953.0,17728.0,18157.0,18599.0,19142.0,19678.0,20524.0,21037.0,23569.0,27625.0,26343.0,29624.0,32411.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Denmark,1405.0,1393.0,1589.0,1511.0,1403.0,1544.0,1591.0,1683.0,1985.0,1979.0,2249.0,2655.0,2619.0,2578.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Estonia,:,:,72.0,123.0,293.0,107.0,173.0,127.0,156.0,163.0,140.0,196.0,229.0,250.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Greece,:,:,:,:,:,:,567.0,632.0,571.0,553.0,610.0,601.0,636.0,719.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Spain,1919.0,3320.0,3626.0,3961.0,3697.0,3876.0,4710.0,4511.0,4670.0,4592.0,5740.0,5482.0,7473.0,6648.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,European Union - 27 countries (from 2020),50073 i,54629 i,60039 i,63697 i,64840 i,68381 i,74327.0,81580.0,83327.0,89892.0,100290.0,98273.0,109205.0,111212 i
Annual,Waste collected,Portable batteries and accumulators,Tonne,Finland,1039.0,877.0,968.0,920.0,1127.0,1252.0,1293.0,1306.0,1370.0,1466.0,1679.0,1748.0,2094.0,1964.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,France,10442.0,10791.0,11621.0,11776.0,11366.0,11989.0,12296.0,13678.0,13981.0,14400.0,15524.0,15124.0,20060.0,:
Annual,Waste collected,Portable batteries and accumulators,Tonne,Croatia,:,:,:,:,76.0,72.0,98.0,337 b,476.0,525.0,651.0,596.0,737.0,787.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Hungary,408.0,434.0,451.0,527.0,520.0,607.0,746.0,922.0,990.0,1071.0,1459.0,1270.0,1331.0,1393.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Ireland,212.0,283.0,613.0,574.0,616.0,678.0,773.0,1129.0,1328.0,1227.0,1259.0,1461.0,1592.0,1655.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Italy,4670.0,6188.0,7446.0,8050.0,8429.0,9585.0,10105.0,9495.0,9488.0,10432.0,10968.0,10476.0,10499.0,9554.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Liechtenstein,5.0,7.0,8.0,10.0,6.0,5.0,6.0,7.0,17.0,21.0,17.0,19.0,20.0,19.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Lithuania,193.0,212.0,213.0,253.0,276.0,248.0,309.0,375.0,347.0,363.0,354.0,354.0,396.0,445.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Luxembourg,111.0,116.0,133.0,128.0,117.0,121.0,106.0,114.0,109.0,140.0,156.0,163.0,165.0,164.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Latvia,223.0,113.0,127.0,129.0,133.0,147.0,130.0,169.0,225.0,232.0,266.0,310.0,317.0,355.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Malta,:,:,18.0,20.0,39.0,21.0,35.0,23.0,23.0,26.0,30.0,35.0,35.0,29.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Netherlands,3122.0,3385.0,3321.0,3298.0,3157.0,3261.0,3430.0,3944.0,4000.0,4309.0,4595.0,4683.0,4548.0,4718.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Norway,:,380.0,454.0,664.0,815.0,879.0,650.0,1777.0,1059.0,1170.0,1941.0,2321.0,2323.0,1745.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Poland,:,1775.0,2230.0,2933.0,3170.0,3710.0,6474 b,9615.0,8311.0,10706.0,11178 d,10974.0,9082.0,9151.0
