Time frequency,Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Hour,Austria,18.6,25.7,19.2,19.8
Annual,From 10 to 49 persons employed,Hour,Belgium,33.6,29.0,29.9,17.4
Annual,From 10 to 49 persons employed,Hour,Bulgaria,32.7,27.8,26.5,17.4
Annual,From 10 to 49 persons employed,Hour,Cyprus,23.4,21.6,21.7,15.5
Annual,From 10 to 49 persons employed,Hour,Czechia,17.9,12.2,10.3 b,8.1
Annual,From 10 to 49 persons employed,Hour,Germany,26.3,17.5,17.1,15.0
Annual,From 10 to 49 persons employed,Hour,Denmark,30.7,69.8,25.7,22.4
Annual,From 10 to 49 persons employed,Hour,Estonia,26.1,20.5,26.0,20.7
Annual,From 10 to 49 persons employed,Hour,Greece,24.8,23.7,27.7,16.9
Annual,From 10 to 49 persons employed,Hour,Spain,25.3,17.8,18.1,8.8
Annual,From 10 to 49 persons employed,Hour,European Union - 27 countries (from 2020),26.7,23.4,20.7,20.0
Annual,From 10 to 49 persons employed,Hour,European Union - 28 countries (2013-2020),25.9,23.9,24.0,:
Annual,From 10 to 49 persons employed,Hour,Finland,26.0,21.6,18.8,20.6
Annual,From 10 to 49 persons employed,Hour,France,28.4,27.9,26.8,31.3
Annual,From 10 to 49 persons employed,Hour,Croatia,:,34.0,32.5,32.4
Annual,From 10 to 49 persons employed,Hour,Hungary,35.4,19.1,16.6,64.7 b
Annual,From 10 to 49 persons employed,Hour,Ireland,22.6,:,61.3,31.9
Annual,From 10 to 49 persons employed,Hour,Italy,24.8,17.9,18.1,29.4
Annual,From 10 to 49 persons employed,Hour,Lithuania,30.0,34.6,19.8,19.2
Annual,From 10 to 49 persons employed,Hour,Luxembourg,34.0,39.2,34.9,41.3
Annual,From 10 to 49 persons employed,Hour,Latvia,31.7,12.6,15.1,12.4
Annual,From 10 to 49 persons employed,Hour,North Macedonia,:,:,28.0,18.9
Annual,From 10 to 49 persons employed,Hour,Malta,56.0,35.2,29.7,18.6
Annual,From 10 to 49 persons employed,Hour,Netherlands,37.0,34.6,27.8,33.2
Annual,From 10 to 49 persons employed,Hour,Norway,28.2,24.2,19.2,24.3
Annual,From 10 to 49 persons employed,Hour,Poland,24.1,17.5,13.9,15.4
Annual,From 10 to 49 persons employed,Hour,Portugal,29.4,37.9,27.4,24.4
Annual,From 10 to 49 persons employed,Hour,Romania,26.3,23.4,25.8,23.0
Annual,From 10 to 49 persons employed,Hour,Serbia,:,:,:,21.1
Annual,From 10 to 49 persons employed,Hour,Sweden,26.1,33.1,18.9 b,17.6 b
Annual,From 10 to 49 persons employed,Hour,Slovenia,39.3,41.6,21.9,23.6
Annual,From 10 to 49 persons employed,Hour,Slovakia,26.6,23.2,16.4,16.7
Annual,From 10 to 49 persons employed,Hour,United Kingdom,21.8,27.5,44.5,:
Annual,From 50 to 249 persons employed,Hour,Austria,28.8,35.8,27.2,21.5
Annual,From 50 to 249 persons employed,Hour,Belgium,26.9,32.7,39.8,18.6
Annual,From 50 to 249 persons employed,Hour,Bulgaria,38.0,33.6,30.2,19.0
Annual,From 50 to 249 persons employed,Hour,Cyprus,20.4,28.5,22.6,15.8
Annual,From 50 to 249 persons employed,Hour,Czechia,20.5,13.4,13.5 b,9.1
Annual,From 50 to 249 persons employed,Hour,Germany,29.0,22.3,21.9,20.4
Annual,From 50 to 249 persons employed,Hour,Denmark,31.7,46.8,30.1,34.4
Annual,From 50 to 249 persons employed,Hour,Estonia,28.4,23.4,54.7,28.7
Annual,From 50 to 249 persons employed,Hour,Greece,34.7,16.8,20.4,22.7
Annual,From 50 to 249 persons employed,Hour,Spain,22.4,18.9,20.0,7.3
Annual,From 50 to 249 persons employed,Hour,European Union - 27 countries (from 2020),26.6,24.4,22.9,20.1
Annual,From 50 to 249 persons employed,Hour,European Union - 28 countries (2013-2020),25.8,25.1,24.8,:
Annual,From 50 to 249 persons employed,Hour,Finland,26.8,22.6,17.5,21.1
Annual,From 50 to 249 persons employed,Hour,France,25.1,23.4,25.8,24.0
Annual,From 50 to 249 persons employed,Hour,Croatia,:,31.7,35.2,33.8
Annual,From 50 to 249 persons employed,Hour,Hungary,34.1,21.9,16.1,21.6 b
Annual,From 50 to 249 persons employed,Hour,Ireland,26.5,:,35.7,40.5
Annual,From 50 to 249 persons employed,Hour,Italy,24.9,20.5,19.6,26.2
Annual,From 50 to 249 persons employed,Hour,Lithuania,35.3,47.6,19.0,25.0
Annual,From 50 to 249 persons employed,Hour,Luxembourg,29.4,36.7,33.9,32.6
Annual,From 50 to 249 persons employed,Hour,Latvia,25.8,13.9,18.2,11.7
Annual,From 50 to 249 persons employed,Hour,North Macedonia,:,:,27.6,15.2
Annual,From 50 to 249 persons employed,Hour,Malta,27.3,25.6,33.5,25.6
Annual,From 50 to 249 persons employed,Hour,Netherlands,36.3,35.7,27.9,34.3
Annual,From 50 to 249 persons employed,Hour,Norway,36.0,43.1,17.0,23.1
Annual,From 50 to 249 persons employed,Hour,Poland,27.1,17.8,15.1,15.5
Annual,From 50 to 249 persons employed,Hour,Portugal,27.6,44.1,27.8,23.0
Annual,From 50 to 249 persons employed,Hour,Romania,29.1,28.3,36.9,31.2
Annual,From 50 to 249 persons employed,Hour,Serbia,:,:,:,17.7
Annual,From 50 to 249 persons employed,Hour,Sweden,24.6,22.3,20.0 b,17.1 b
Annual,From 50 to 249 persons employed,Hour,Slovenia,30.7,48.8,20.0,22.5
Annual,From 50 to 249 persons employed,Hour,Slovakia,25.9,29.7,17.3,17.3
Annual,From 50 to 249 persons employed,Hour,United Kingdom,21.6,31.9,40.0,:
Annual,250 persons employed or more,Hour,Austria,28.8,29.1,22.2,17.4
Annual,250 persons employed or more,Hour,Belgium,31.7,36.3,34.8,23.6
Annual,250 persons employed or more,Hour,Bulgaria,26.7,19.5,28.3,21.1
