Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Latvia,6.5,8.2,6.1
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,North Macedonia,:,14.9,5.6
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Malta,12.8,11.8,5.9
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Netherlands,14.8,9.1,13.5
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Norway,10.1,9.8,6.7
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Poland,12.0,14.8,8.1
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Portugal,25.7,20.2,14.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Romania,13.7,11.6,16.0
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Serbia,:,:,4.7
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Sweden,11.1,8.4 b,7.1 b
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Slovenia,18.9,11.6,13.4
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Slovakia,12.3,8.3,6.9
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,United Kingdom,9.8,6.0,:
Annual,Information and communication; financial and insurance activities,Hour,Austria,21.5,24.6,20.8
Annual,Information and communication; financial and insurance activities,Hour,Belgium,25.4,22.1,15.7
Annual,Information and communication; financial and insurance activities,Hour,Bulgaria,15.9,23.0,11.1
Annual,Information and communication; financial and insurance activities,Hour,Cyprus,21.4,15.5,30.0
Annual,Information and communication; financial and insurance activities,Hour,Czechia,23.9,25.0 b,15.9
Annual,Information and communication; financial and insurance activities,Hour,Germany,18.8,15.4,17.8
Annual,Information and communication; financial and insurance activities,Hour,Denmark,23.0,36.1,14.9
Annual,Information and communication; financial and insurance activities,Hour,Estonia,30.6,26.4,19.4
Annual,Information and communication; financial and insurance activities,Hour,Greece,10.8,35.3,8.7
Annual,Information and communication; financial and insurance activities,Hour,Spain,19.5,24.1,12.2
Annual,Information and communication; financial and insurance activities,Hour,European Union - 27 countries (from 2020),20.5,20.4,18.8
Annual,Information and communication; financial and insurance activities,Hour,European Union - 28 countries (2013-2020),19.6,20.6,:
Annual,Information and communication; financial and insurance activities,Hour,Finland,16.4,10.0,7.5
Annual,Information and communication; financial and insurance activities,Hour,France,20.5,19.3,18.6
Annual,Information and communication; financial and insurance activities,Hour,Croatia,18.9,17.0,22.9
Annual,Information and communication; financial and insurance activities,Hour,Hungary,16.5,15.2,20.8 b
Annual,Information and communication; financial and insurance activities,Hour,Ireland,:,20.2,21.5
Annual,Information and communication; financial and insurance activities,Hour,Italy,28.9,26.1,29.7
Annual,Information and communication; financial and insurance activities,Hour,Lithuania,15.0,16.2,20.8
Annual,Information and communication; financial and insurance activities,Hour,Luxembourg,24.8,23.2,14.8
Annual,Information and communication; financial and insurance activities,Hour,Latvia,12.8,13.9,9.3
Annual,Information and communication; financial and insurance activities,Hour,North Macedonia,:,10.6,9.7
Annual,Information and communication; financial and insurance activities,Hour,Malta,17.5,20.9,19.0
Annual,Information and communication; financial and insurance activities,Hour,Netherlands,15.2,22.1,25.4
Annual,Information and communication; financial and insurance activities,Hour,Norway,19.3,16.3,24.4
Annual,Information and communication; financial and insurance activities,Hour,Poland,22.9,19.7,15.4
Annual,Information and communication; financial and insurance activities,Hour,Portugal,24.8,23.8,21.2
Annual,Information and communication; financial and insurance activities,Hour,Romania,16.6,21.1,20.8
Annual,Information and communication; financial and insurance activities,Hour,Serbia,:,:,10.2
Annual,Information and communication; financial and insurance activities,Hour,Sweden,17.8,20.2 b,14.8 b
Annual,Information and communication; financial and insurance activities,Hour,Slovenia,21.9,26.4,21.7
Annual,Information and communication; financial and insurance activities,Hour,Slovakia,32.3,29.5,23.9
Annual,Information and communication; financial and insurance activities,Hour,United Kingdom,12.1,22.5,:
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Austria,12.3,8.3,6.1
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Belgium,23.2,23.4,8.5
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Bulgaria,15.0,13.7,10.4
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Cyprus,24.9,10.5,15.8
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Czechia,8.2,10.5 b,8.4
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Germany,7.6,7.8,11.6
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Denmark,14.2,13.4,17.1
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Estonia,11.7,18.7,10.9
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Greece,6.5,7.1,8.3
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Spain,9.6,9.4,6.1
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,European Union - 27 countries (from 2020),10.8,10.8,11.6
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,European Union - 28 countries (2013-2020),10.3,11.8,:
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Finland,12.9,10.1,10.0
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,France,10.3,12.0,12.2
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Croatia,14.7,13.4,11.9
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Hungary,4.9,4.5,5.0 b
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Ireland,:,18.8,21.9
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Italy,9.8,9.5,14.0
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Lithuania,19.2,7.0,5.9
