Time frequency,Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,EU27 countries (from 2020) except reporting country,Number,Austria,61893.0,68354.0,69852.0,65478.0,64866.0,65630.0,68515.0,66438.0,66420.0,75693.0
Annual,EU27 countries (from 2020) except reporting country,Number,Belgium,73249.0,74729.0,73467.0,69324.0,70193.0,74187.0,79464.0,67776.0,74230.0,82337.0
Annual,EU27 countries (from 2020) except reporting country,Number,Bulgaria,3568.0,4410 p,6201 p,6309 p,7777 p,8614 p,10161 p,13638 p,16673.0,15232.0
Annual,EU27 countries (from 2020) except reporting country,Number,Switzerland,100422.0,100017.0,96012.0,90648.0,84736.0,85749.0,84205.0,84330.0,89230.0,108404.0
Annual,EU27 countries (from 2020) except reporting country,Number,Cyprus,:,:,:,:,:,:,:,10955.0,10168.0,8462.0
Annual,EU27 countries (from 2020) except reporting country,Number,Czechia,15695 b,16260.0,15282.0,28603.0,16762.0,17773.0,30138.0,17886.0,15243.0,13092.0
Annual,EU27 countries (from 2020) except reporting country,Number,Germany,393915 e,:,:,:,:,:,:,324562 e,318394 e,332099 e
Annual,EU27 countries (from 2020) except reporting country,Number,Denmark,27226.0,29313.0,29647.0,29402.0,30051.0,29683.0,28223.0,27938.0,35145.0,48004.0
Annual,EU27 countries (from 2020) except reporting country,Number,Estonia,1668.0,1829.0,9489 be,8768.0,10867.0,10104.0,9556.0,7631.0,8796.0,7742.0
Annual,EU27 countries (from 2020) except reporting country,Number,Greece,31779.0,35547.0,36713.0,36713 b,38083.0,37252.0,35364.0,15685.0,19044.0,23041.0
Annual,EU27 countries (from 2020) except reporting country,Number,Spain,85466.0,94959.0,100166.0,104266.0,121147.0,120704.0,120198.0,85625.0,143831 b,147780.0
Annual,EU27 countries (from 2020) except reporting country,Number,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,1234741 ep,1387238 bep,1486818 ep
Annual,EU27 countries (from 2020) except reporting country,Number,Finland,15141.0,14278.0,12144.0,11828.0,11151.0,12060.0,11683.0,12395.0,14203.0,13800.0
Annual,EU27 countries (from 2020) except reporting country,Number,France,116522.0,110090.0,110500.0,108088.0,103004.0,:,:,76708.0,98077 p,114454.0
Annual,EU27 countries (from 2020) except reporting country,Number,Croatia,2562.0,3219.0,4268.0,5396.0,5701.0,6040.0,7359.0,8031.0,10655.0,10877.0
Annual,EU27 countries (from 2020) except reporting country,Number,Hungary,20960.0,25122.0,26860.0,27125.0,30795.0,32557.0,32788.0,39160.0,34693.0,36660.0
Annual,EU27 countries (from 2020) except reporting country,Number,Ireland,22315.0,23173.0,26334.0,30067.0,24348.0,27479.0,35320.0,17013.0,17799.0,29711.0
Annual,EU27 countries (from 2020) except reporting country,Number,Iceland,4232.0,3735.0,3845.0,6132.0,9153.0,8798.0,6951.0,5660.0,6303.0,9038.0
Annual,EU27 countries (from 2020) except reporting country,Number,Italy,88473.0,75497.0,69761.0,69978.0,68653.0,65794.0,69705.0,61847.0,70194.0,76501.0
Annual,EU27 countries (from 2020) except reporting country,Number,Liechtenstein,256.0,211.0,225.0,175.0,180.0,194.0,203.0,218.0,176.0,238.0
Annual,EU27 countries (from 2020) except reporting country,Number,Lithuania,:,:,:,:,:,:,:,9161.0,8357.0,7597.0
Annual,EU27 countries (from 2020) except reporting country,Number,Luxembourg,18672 e,19965.0,21613.0,21080.0,22801.0,22869.0,24359.0,20481.0,23047.0,23581.0
Annual,EU27 countries (from 2020) except reporting country,Number,Latvia,2784.0,3178.0,2517.0,2254.0,2356.0,2294.0,2531.0,2506.0,3696.0,4080.0
Annual,EU27 countries (from 2020) except reporting country,Number,Montenegro,250.0,253.0,:,241.0,308.0,295.0,368.0,220.0,:,554.0
Annual,EU27 countries (from 2020) except reporting country,Number,North Macedonia,392.0,461.0,379.0,393.0,391.0,383.0,333.0,339.0,298.0,338.0
Annual,EU27 countries (from 2020) except reporting country,Number,Malta,:,:,:,:,:,:,:,5548.0,7295.0,8127.0
Annual,EU27 countries (from 2020) except reporting country,Number,Netherlands,63758.0,69595.0,70789.0,75109.0,83976.0,89278.0,98761.0,91671.0,105749.0,113165.0
Annual,EU27 countries (from 2020) except reporting country,Number,Norway,39461.0,38086.0,30114.0,24228.0,22985.0,22849.0,22930.0,19132.0,31044.0,30653.0
Annual,EU27 countries (from 2020) except reporting country,Number,Poland,131023.0,119611 p,90246 p,96290 ep,115809 ep,100768 ep,97020 ep,111942.0,110690.0,99497.0
Annual,EU27 countries (from 2020) except reporting country,Number,Portugal,:,:,:,:,:,:,:,22358.0,34698.0,35168.0
Annual,EU27 countries (from 2020) except reporting country,Number,Romania,121173 e,97620 e,88086.0,91604.0,108649 e,95342.0,97955 e,76194.0,103831.0,114516 e
Annual,EU27 countries (from 2020) except reporting country,Number,Sweden,31892.0,32830.0,34185.0,34925.0,36126.0,33610.0,30684.0,25977.0,29244.0,37432.0
Annual,EU27 countries (from 2020) except reporting country,Number,Slovenia,4472.0,4619.0,4205.0,4897.0,4940.0,5666.0,5038.0,11103.0,5011.0,4587.0
Annual,EU27 countries (from 2020) except reporting country,Number,Slovakia,3470 p,3575 p,4799.0,5200 p,4634.0,4696 p,4239 p,4512 p,3894.0,3583.0
Annual,EU27 countries (from 2020) except reporting country,Number,United Kingdom,219669.0,286821.0,295285.0,272536.0,260658.0,225498 p,207968.0,:,:,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Austria,35619.0,43201.0,91360.0,59154.0,42010.0,35432.0,35860.0,32189.0,47321.0,120679.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Belgium,46381.0,47820.0,72693.0,53949.0,56071.0,63218.0,69995.0,49784.0,64157.0,123845.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Bulgaria,14856.0,22159 p,18958 p,14911 p,17799 p,20913 p,27755 p,23722 p,22784.0,25383.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Switzerland,53629.0,52194.0,53358.0,54445.0,54235.0,54905.0,53486.0,48140.0,49212.0,50801.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Cyprus,:,:,:,:,:,:,:,14906.0,13833.0,22590.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Czechia,14429 b,13637.0,14320.0,35480.0,35085.0,48137.0,75750.0,45209.0,54117.0,330736.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Germany,295027 e,:,:,:,:,:,:,294695 e,427892 e,1567033 e
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Denmark,32684.0,38608.0,48321.0,44516.0,37989.0,34459.0,32652.0,28798.0,27917.0,72568.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Estonia,2441.0,2075.0,5211 be,5316.0,6079.0,7353.0,8066.0,8073.0,10295.0,40633.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Greece,26167.0,23466.0,27733.0,80154 b,74164.0,82237.0,94095.0,68536.0,38076.0,73621.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Spain,195306.0,210495.0,241948.0,310480.0,410985.0,522980.0,630282.0,382293.0,517653 b,859561.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,1941174 ep,2394498 bep,5099589 ep
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Finland,16479.0,16900.0,16063.0,22839.0,19364.0,18794.0,21008.0,19900.0,21191.0,35985.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,France,222230.0,230293.0,253721.0,269621.0,266617.0,:,:,206542.0,238321 p,316563.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Croatia,7685.0,7306.0,7363.0,8499.0,9087.0,19570.0,29861.0,24331.0,24210.0,45856.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Hungary,17750.0,29284.0,31392.0,26446.0,37183.0,50301.0,55709.0,36225.0,45702.0,57394.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Ireland,43224.0,50346.0,54458.0,63311.0,60395.0,78220.0,61001.0,64905.0,65971.0,127826.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Iceland,2097.0,1566.0,1721.0,2517.0,2857.0,2879.0,2750.0,2705.0,2599.0,5716.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Italy,218981.0,202134.0,210317.0,230845.0,274787.0,266530.0,263073.0,185679.0,248172.0,334484.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Liechtenstein,431.0,400.0,430.0,430.0,463.0,450.0,514.0,488.0,486.0,531.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Lithuania,:,:,:,:,:,:,:,36859.0,36497.0,79770.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Luxembourg,2426 e,2367.0,2190.0,1808.0,1578.0,1775.0,2309.0,2009.0,2288.0,7852.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Latvia,5515.0,7187.0,6962.0,6091.0,7560.0,8615.0,8692.0,6334.0,8993.0,34628.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Montenegro,4332.0,4601.0,:,4268.0,5835.0,7873.0,9939.0,5551.0,:,14887.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,North Macedonia,1657.0,1473.0,1361.0,1869.0,1671.0,1669.0,1785.0,2216.0,1272.0,2114.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Malta,:,:,:,:,:,:,:,9203.0,9668.0,26837.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Netherlands,64353.0,74455.0,94789.0,112884.0,104228.0,103724.0,115765.0,89334.0,107116.0,212416.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Norway,27951.0,28014.0,30702.0,37229.0,30360.0,25009.0,25741.0,17151.0,22900.0,59813.0
