Time frequency,Activity and employment status,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Employed persons,Percentage,18 years or over,Females,Albania,:,:,:,:,:,:,:,:,:,:,:,:,16.8,15.9,13.4,10.2,9.9,:,:
Annual,Employed persons,Percentage,18 years or over,Females,Austria,6.1,6.3,5.7,7.7 b,7.3,6.9,6.6,7.3,7.8,6.4,7.2,7.9,7.4,7.5,7.4,6.4,6.5,7.6,7.0
Annual,Employed persons,Percentage,18 years or over,Females,Belgium,3.1,3.7,4.3,5.2,4.7,4.2,4.0,4.5,4.3,5.2,4.8,4.7,4.7,4.4,4.7 b,4.3,3.4,3.1,4.3
Annual,Employed persons,Percentage,18 years or over,Females,Bulgaria,:,5.6,5.6,7.0,7.1,6.8,7.5,7.0,6.4,8.6,7.2,9.6,8.3,8.4,8.1,8.4,8.4,8.1,10.1
Annual,Employed persons,Percentage,18 years or over,Females,Switzerland,:,:,7.9,9.6,9.1,8.3,7.9,8.5,8.0,6.2 b,8.2,6.9,8.4,7.5,7.5,7.8,7.3,8.4,9.8
Annual,Employed persons,Percentage,18 years or over,Females,Cyprus,6.6,7.3,6.7,6.9 b,7.6,9.0,7.9,9.0,9.7,7.9,9.0,8.5,7.5,6.8,6.2,6.9,8.0,8.2,7.9
Annual,Employed persons,Percentage,18 years or over,Females,Czechia,3.6,3.9,3.3,4.2,3.4,3.6,4.0,4.7,4.3,3.9,4.5,3.9,3.7,3.7,3.7,4.1,3.6,3.8,3.1
Annual,Employed persons,Percentage,18 years or over,Females,Germany,5.5,6.2,8.2,7.7,7.5,8.2,8.2,8.8,9.8,11.1,10.5,11.0,10.1,10.2,9.3,8.6 b,8.8,7.1,6.4 b
Annual,Employed persons,Percentage,18 years or over,Females,Denmark,4.8,3.4,3.2,4.2,4.5,5.8,5.4 b,4.1,5.2,4.9,4.5,4.9,4.3,5.8,6.1,5.6 b,5.4,5.4,5.9
Annual,Employed persons,Percentage,18 years or over,Females,Euro area - 19 countries  (2015-2022),6.5,6.6,7.3,7.5,7.6,7.5,8.2,8.3,8.5,9.3,8.8,9.3,9.2,8.9,8.6,8.0,8.1,:,:
