Time frequency,National accounts indicator (ESA 2010),Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Albania,688.6,623.6,761.4,948.7,883.4,760.9 p,955.6 p,1238.1 p,1115.1 p,928.7 p,1171.9 p,1446.7 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Austria,19455.8,20234.8,21432.9,22544.3,22555.9,22599.1,21557.8,22073.7,22212.3,23013.9,21977.0,22752.4
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Bosnia and Herzegovina,1036.8,1017.8,1199.3,1222.1,1257.3,1185.4,1309.8,1336.9,1336.1,1295.3,1437.0,1457.2
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Belgium,24060.5,23139.2,24425.3,24025.7,27133.2,25469.1 p,26375.6 p,25223.5 p,27927.6 p,26218.8 p,26866.3 p,25592.3 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Bulgaria,4756.9,2683.0,3521.7,4669.5,5830.8,3536.2,4195.1,5195.6,6277.6,4084.1 p,4609.0 p,5783.7 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Switzerland,37388.9,35562.8,40126.6,41428.4,44357.1,39637.3,41136.5,41184.8,43821.9,40733.5,40749.3,41266.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Cyprus,1427.6,1307.1,1591.0,1892.7,1614.0,1397.2,1628.8,1903.2,1612.0,1443.8,1695.1,2053.6
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Czechia,11078.7,10138.4,11514.5,12146.1,12644.4,11623.8,13613.4,13922.9,13562.0,11481.3,13402.0,13903.4
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Germany,142722.0 p,137989.0 p,154427.0 p,158253.0 p,161186.0 p,150449.0 p,160858.0 p,159776.0 p,161617.0 p,152006.0 p,163652.0 p,161317.0 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Denmark,19605.1,19343.0,22803.8,24095.9,21349.8,17237.7,17605.4,16209.5,16058.4,15137.5,17580.4,19241.5
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",544903.8,523471.1,586548.3,613453.2,605417.7,576030.5,616380.6,629582.7,618272.4,591334.8,636649.6,654295.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Euro area - 19 countries  (2015-2022),544903.8,523471.1,586548.3,613453.2,605417.7,573156.4,612432.3,623966.8,615031.9,588205.2,632311.8,648248.4
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Euro area – 20 countries (from 2023),547222.0,525744.3,590053.5,618533.1,608227.6,576030.5,616380.6,629582.7,618272.4,591334.8,636649.6,654295.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Estonia,1502.2,1366.2,1600.8,1653.1,1703.0,1520.3,1683.9,1671.0,1702.5,1511.0,1644.5,1696.5
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Greece,9710.0,8459.0 p,11318.7 p,15011.2 p,11142.0 p,9524.3 p,12264.9 p,16165.9 p,11634.2 p,9730.7 p,13081.7 p,17102.5 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Spain,70346.0,63047.0 p,74224.0 p,78280.0 p,80871.0 p,74052.0 p,82148.0 p,84986.0 p,85593.0 p,78795.0 p,88457.0 p,91382.0 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),European Union - 27 countries (from 2020),658535.3,627902.8,703942.7,741920.9,729933.1,685077.8,731823.5,754093.0,743791.8,707805.3,759357.4,790393.1
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Finland,8081.0,7332.0,8365.0,8410.0,8575.0,8014.0,8585.0,8540.0,8634.0,8185.0,9114.0,8934.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),France,103200.2,99188.3,106157.0,111490.1,108695.6,101104.5,102252.3,102848.2,105055.9,100907.6,103936.5,108416.9
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Croatia,2320.5,2274.7,3506.7,5082.5,2810.3,2873.5 p,3948.5 p,5617.4 p,3239.8 p,3128.9 p,4337.6 p,6048.4 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Hungary,7326.6,5363.6,6251.5,6423.7,7461.2,6166.4 p,7523.3 p,7720.0 p,8942.9 p,6639.7 p,7780.5 p,8200.7 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Ireland,10382.9,10945.4,11814.7,12261.8,12968.3,12159.7,12817.9,12943.1,12763.9,13311.2,12886.4,13021.8
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Italy,86003.3,83144.9,93795.2,100725.6,93882.7,93236.2,101244.8,107027.9,98404.9,96054.7,103132.4,110103.2
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Lithuania,4012.9,3530.1,4084.4,4882.2,4856.0,4028.7,4599.7,5014.3,4761.9,4089.4,4582.9,5222.3
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Luxembourg,3099.9,2624.4,3071.3,2937.6,3020.4,2625.3,2698.0,2450.7,2740.3,2467.5 p,2719.4 p,2638.9 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Latvia,1721.2,1697.5,1852.6,1813.4,1771.8,1780.8,1828.8,1685.5,1648.8,1617.5,1731.5,1657.8
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Montenegro,296.6,175.0,400.3,605.1,379.3,219.8,520.5,745.4,391.0,234.1 p,562.0 p,785.0 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),North Macedonia,619.5,538.1,601.8,672.6,680.6,621.1 p,709.2 p,720.1 p,705.9 p,659.2 e,746.5 e,804.4 e
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Malta,633.2,531.4,728.4,912.0,790.2,633.3,843.6,936.1,821.9,706.3,916.5,1042.7
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Netherlands,41883.0,42502.0,47116.0,46867.0,45283.0,45028.0,48240.0,48027.0,47186.0,48148.0,51763.0,51132.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Norway,12727.8,12117.3,13016.4,13306.8,13703.0,12273.3,11991.4,12856.1,12916.6,11764.4,12605.8,:
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Poland,30542.8,32426.2,31548.4,40219.7,35073.8,34592.3,34299.1,45558.4,39606.6,41070.5,38808.3,50944.2
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Portugal,10945.9,9807.4,12265.9,13728.7,12972.7,11878.5 e,14314.9 e,14945.5 e,13546.7 e,12327.2 e,14758.9 e,15850.2 e
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Romania,14587.1,12697.7,15199.7,13599.0,17380.3,15314.3 p,16914.0 p,14790.9 p,19082.4 p,16698.2 p,18926.2 p,16896.9 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Serbia,2472.9,2086.2 p,2425.6 p,2564.9 p,2670.8 p,2702.5 p,2934.7 p,3132.0 p,3263.3 p,2936.5 e,3205.2 e,3329.3 e
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Sweden,23381.7,19454.3,22972.9,22173.8,21938.3,20604.5,21349.8,21199.0,22074.4,21457.0,21664.8,21424.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Slovenia,2290.0,2409.1,2536.9,2762.6,2455.7,2768.5,2917.2,3030.8,2656.2,2885.1,3030.9,3186.1
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Slovakia,3645.1,4333.4,5436.3,5272.8,4455.2,4631.2,5770.7,5029.8,4631.1,4797.9,5903.5,5113.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Türkiye,46191.2,40659.4,54906.2,62571.3,69294.1,62155.8,66370.3,69170.3,75858.6,67584.6,74691.1,81523.4
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (NSA),Kosovo*,449.2,325.5,400.5,609.4,526.6,366.4,436.4,674.7,575.2,373.8 p,457.7 p,717.5 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Albania,663.3,736.2,780.2,825.5,855.9,902.0 p,977.1 p,1071.9 p,1082.2 p,1105.4 p,1198.1 p,1249.0 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Austria,19299.3,20081.5,21753.7,22516.5,22495.0,22019.9,22164.4,22173.8,22339.9,22307.2,22623.5,22751.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Belgium,22847.0,23602.9,24253.0,25154.8,25712.7,25934.9 p,26162.7 p,26427.1 p,26471.1 p,26700.6 p,26653.4 p,26796.6 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Bulgaria,3799.7,3694.8,3990.0,4217.2,4510.6,4652.0,4774.4,4848.2,4945.0,5219.1 p,5246.5 p,5412.1 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Switzerland,35106.3,37051.3,39957.7,42480.5,41984.0,41031.9,41225.2,41954.6,41869.9,42216.0,40978.2,41746.4
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Cyprus,1457.3,1526.1,1595.6,1639.6,1643.6,1626.6,1630.1,1632.6,1651.9,1693.7,1702.2,1760.4
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Czechia,10561.0,11369.9,11358.8,11646.3,12053.8,13041.4,13461.6,13330.4,12955.3,12901.6,13221.8,13236.4
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Germany,139306.0 p,144239.0 p,150335.0 p,156834.0 p,158707.0 p,156088.0 p,157969.0 p,159147.0 p,159798.0 p,159229.0 p,159890.0 p,159537.0 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Denmark,19186.9,20605.7,22569.5,23306.8,21110.4,18425.9,17288.9,15796.5,15601.5,16213.5,17213.1,18577.8
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",538439.5,551035.6,579155.3,595140.7,601247.0,605114.5,609708.2,610314.3,616373.9,623471.1,628488.1,632192.9
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Euro area - 19 countries  (2015-2022),538439.5,551035.6,579155.3,595140.7,601247.0,601228.9,605822.4,606423.3,612301.4,619271.5,624263.6,627954.9
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Euro area – 20 countries (from 2023),541318.9,554162.6,582661.3,598617.0,604785.3,605114.5,609708.2,610314.3,616373.9,623471.1,628488.1,632192.9
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Estonia,1464.6,1500.4,1566.5,1601.1,1648.4,1659.8,1655.6,1627.1,1642.9,1642.8,1624.5,1651.1
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Greece,10151.7,10619.1 p,11362.4 p,11534.7 p,11782.5 p,12099.0 p,12152.7 p,12351.1 p,12379.0 p,12475.0 p,12880.4 p,13018.8 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Spain,68050.0,70064.0 p,74393.0 p,72723.0 p,79242.0 p,82131.0 p,81748.0 p,79639.0 p,83261.0 p,87020.0 p,87815.0 p,86808.0 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),European Union - 27 countries (from 2020),648434.3,663820.1,698670.0,716286.4,722226.2,722218.5,728008.0,728805.1,737179.0,748181.1,754429.8,761391.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Finland,7782.0,7885.0,8152.0,8301.0,8344.0,8532.0,8367.0,8431.0,8443.0,8691.0,8829.0,8779.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),France,100447.6,101449.4,106307.6,110808.5,106673.5,103125.9,103146.0,102571.9,103097.5,103595.0,104933.4,106644.9
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Croatia,2877.9,3100.6,3533.1,3469.7,3515.1,3859.5 p,3915.5 p,3895.1 p,4053.3 p,4171.0 p,4251.6 p,4241.7 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Hungary,6332.5,6431.9,6392.9,6336.2,6466.2,7229.8 p,7679.6 p,7630.6 p,7798.5 p,7817.6 p,7951.2 p,8096.7 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Ireland,10462.7,10946.5,11947.2,12032.0,13121.0,12112.6,12915.5,12760.4,12945.7,13195.3,12967.4,12895.2
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Italy,88106.4,87628.1,92621.1,95583.5,95715.9,98004.5,99868.1,101515.9,100677.6,100946.3,101864.8,104187.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Lithuania,3807.5,4045.3,4214.3,4476.8,4612.3,4593.6,4712.2,4583.7,4521.2,4659.9,4694.7,4771.1
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Luxembourg,2916.6,2773.5,3015.1,3021.5,2843.9,2774.1,2644.3,2523.4,2580.2,2608.7 p,2661.1 p,2722.0 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Latvia,1730.5,1786.7,1810.7,1804.9,1804.7,1792.1,1753.0,1712.3,1687.5,1662.6,1649.9,1638.7
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),North Macedonia,594.0,592.5,603.3,638.8,659.8,678.8 p,701.5 p,686.4 p,693.9 p,719.1 e,736.4 e,763.1 e
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Malta,660.6,619.3,714.9,782.9,824.4,738.3,827.9,803.6,857.4,823.4,899.4,895.2
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Netherlands,42340.0,43849.7,45623.4,46344.7,45960.6,46425.3,46642.9,47440.6,48041.3,49580.6,50024.7,50504.4
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Norway,12234.0,12470.0,13002.5,13167.8,13184.1,12558.4,12184.8,12775.7,12527.8,12388.5,12357.8,:
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Poland,30981.0,33385.3,34637.7,34960.6,35699.2,35775.3,37923.2,39340.4,40376.2,42302.3,43033.8,43991.2
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Portugal,11032.8,11246.3,12024.0,12566.9,12937.5,13540.1 e,13880.5 e,13662.5 e,13602.6 e,14057.8 e,14166.5 e,14478.6 e
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Romania,12938.8,13568.5,14633.9,15182.6,15492.2,16254.5 p,16256.1 p,16539.2 p,17065.7 p,17660.1 p,18188.4 p,18906.9 p
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Serbia,2389.1,2240.1,2408.4,2493.6,2586.3,2897.8,2917.1,3044.3,3158.2,3147.8,3190.1,3233.6
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Sweden,22839.4,20669.6,22414.9,21995.6,21554.3,21513.4,21108.6,21086.7,21701.5,22174.5,21485.1,21420.8
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Slovenia,2425.7,2448.6,2502.6,2598.9,2650.4,2774.8,2832.2,2850.1,2893.2,2909.9,2946.0,2988.9
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Slovakia,4348.3,4636.5,4792.4,4971.1,5097.6,4956.0,5045.7,4907.3,5153.7,5095.7,5110.9,5074.0
Quarterly,"Value added, gross","Wholesale and retail trade, transport, accommodation and food service activities",Million euro (SCA),Türkiye,43591.2,45746.9,56114.2,61028.1,65495.1,69105.2,69985.8,66481.6,71123.4,75017.0,78208.3,78510.3
