Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Females,Belarus,16.0 d,15.6 d,15.4 d,15.9 bd,13.6 d,16.1 d,17.0 d,17.9 bd,18.2 d,16.8 d,17.0 d,16.5 d,16.3 d,15.7 d,15.1 d,14.6 d,:,:
Annual,Rate,Females,Moldova,:,23.2,23.8,24.5,25.3,25.2,24.3,23.5,23.3,28.6 bd,28.1 d,29.0 d,27.7 d,28.2 d,26.2 bd,28.0,28.9,27.2
Annual,Rate,Males,Belarus,15.8 d,15.7 d,15.3 d,16.4 bd,14.6 d,16.4 d,16.8 d,18.6 bd,18.8 d,17.9 d,18.7 d,18.7 d,18.6 d,17.4 d,16.5 d,16.1 d,:,:
Annual,Rate,Males,Moldova,:,21.1,22.4,23.4,23.5,23.0,21.8,21.2,21.0,26.2 bd,27.2 d,27.6 d,27.4 d,26.4 d,24.4 bd,26.2,26.2,24.3
Annual,Rate,Total,Armenia,31.9,28.0,26.4,26.7,36.9 bd,39.4,37.5,33.7,33.5,30.6,31.3,30.6,28.4,25.9,:,:,:,:
Annual,Rate,Total,Belarus,15.9 d,15.6 d,15.4 d,16.1 bd,14.0 d,16.2 d,16.9 d,18.2 bd,18.5 d,17.3 d,17.7 d,17.4 d,17.3 d,16.4 d,15.7 d,15.2 d,:,:
Annual,Rate,Total,Moldova,:,22.3,23.2,24.0,24.5,24.2,23.1,22.4,22.3,27.5 bd,27.7 d,28.3 d,27.6 d,27.4 d,25.4 bd,27.1,27.6,25.9
