Time frequency,Unit of measure,Quantile,Working time,Geopolitical entity (reporting)\Time,2006.0
Annual,Euro,Median,Full-time,Austria,2129.0
Annual,Euro,Median,Full-time,Belgium,2400.0
Annual,Euro,Median,Full-time,Bulgaria,144.0
Annual,Euro,Median,Full-time,Cyprus,1516.0
Annual,Euro,Median,Full-time,Czechia,622.0
Annual,Euro,Median,Full-time,Germany,2617.0
Annual,Euro,Median,Full-time,Denmark,3390.0
Annual,Euro,Median,Full-time,Euro area - 16 countries (2009-2010),2029.0
Annual,Euro,Median,Full-time,Estonia,527.0
Annual,Euro,Median,Full-time,Greece,1366.0
Annual,Euro,Median,Full-time,Spain,1428.0
Annual,Euro,Median,Full-time,European Union - 15 countries (1995-2004),2265.0
Annual,Euro,Median,Full-time,European Union - 25 countries (2004-2006),2011.0
Annual,Euro,Median,Full-time,European Union - 27 countries (2007-2013),1919.0
Annual,Euro,Median,Full-time,Finland,2328.0
Annual,Euro,Median,Full-time,France,2090.0
Annual,Euro,Median,Full-time,Hungary,486.0
Annual,Euro,Median,Full-time,Ireland,2979.0
Annual,Euro,Median,Full-time,Iceland,3314.0
Annual,Euro,Median,Full-time,Italy,1852.0
Annual,Euro,Median,Full-time,Lithuania,381.0
Annual,Euro,Median,Full-time,Luxembourg,2782.0
Annual,Euro,Median,Full-time,Latvia,352.0
Annual,Euro,Median,Full-time,Malta,1190.0
Annual,Euro,Median,Full-time,Netherlands,2370.0
Annual,Euro,Median,Full-time,Norway,3733.0
Annual,Euro,Median,Full-time,Poland,551.0
Annual,Euro,Median,Full-time,Portugal,806.0
Annual,Euro,Median,Full-time,Romania,252.0
Annual,Euro,Median,Full-time,Sweden,2561.0
Annual,Euro,Median,Full-time,Slovenia,982.0
Annual,Euro,Median,Full-time,Slovakia,436.0
Annual,Euro,Median,Full-time,Türkiye,339.0
Annual,Euro,Median,Full-time,United Kingdom,2926.0
Annual,Euro,Median,Part-time,Austria,898.0
Annual,Euro,Median,Part-time,Belgium,2251.0
Annual,Euro,Median,Part-time,Bulgaria,52.0
Annual,Euro,Median,Part-time,Cyprus,522.0
Annual,Euro,Median,Part-time,Czechia,305.0
Annual,Euro,Median,Part-time,Germany,1076.0
Annual,Euro,Median,Part-time,Denmark,988.0
Annual,Euro,Median,Part-time,Euro area - 16 countries (2009-2010),1860.0
Annual,Euro,Median,Part-time,Estonia,197.0
Annual,Euro,Median,Part-time,Greece,606.0
Annual,Euro,Median,Part-time,Spain,673.0
Annual,Euro,Median,Part-time,European Union - 15 countries (1995-2004),1890.0
Annual,Euro,Median,Part-time,European Union - 25 countries (2004-2006),1824.0
Annual,Euro,Median,Part-time,European Union - 27 countries (2007-2013),1816.0
Annual,Euro,Median,Part-time,Finland,1178.0
Annual,Euro,Median,Part-time,France,1191.0
Annual,Euro,Median,Part-time,Hungary,302.0
Annual,Euro,Median,Part-time,Ireland,916.0
Annual,Euro,Median,Part-time,Iceland,1190.0
Annual,Euro,Median,Part-time,Italy,872.0
Annual,Euro,Median,Part-time,Lithuania,132.0
Annual,Euro,Median,Part-time,Luxembourg,1566.0
Annual,Euro,Median,Part-time,Latvia,136.0
Annual,Euro,Median,Part-time,Malta,397.0
Annual,Euro,Median,Part-time,Netherlands,942.0
Annual,Euro,Median,Part-time,Norway,1504.0
Annual,Euro,Median,Part-time,Poland,241.0
Annual,Euro,Median,Part-time,Portugal,450.0
Annual,Euro,Median,Part-time,Romania,90.0
