Time frequency,Type of cargo,Unit of measure\Time,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024
Quarterly,Large containers,Growth rate on the same quarter in previous year,:,:,:,:,4.5,8.2,10.1,11.7,13.4,10.2,11.2,6.2,3.4,4.1,1.4,-7.1,-14.5,-12.5,-14.4,-0.5,10.5,10.6,10.8,4.6,10.0,7.5,10.5,13.1,7.8,4.2,1.7,-1.2,-1.6,0.8,1.9,1.0,5.4,5.7,5.5,6.3,2.8,0.2,-2.0,0.3,1.0,4.1,2.6,3.9,2.1,1.5,8.1,7.0,8.1,9.5,4.0,5.2,1.3,2.6,2.0,0.8,0.9,-12.0,-4.4,1.6,0.6,8.1,3.2,-4.3,-6.0,-4.6,-6.5,-10.1,-8.1,-4.7,-3.9,2.3,5.2
Quarterly,Large containers,Growth rate on previous period (t/t-1),:,5.7,-1.2,0.1,-0.1,9.4,0.6,1.6,1.4,6.3,1.5,-3.0,-1.2,7.0,-1.1,-11.1,-9.0,9.5,-3.2,3.3,1.0,9.6,-3.1,-2.5,6.2,7.1,-0.5,-0.1,1.2,3.6,-2.8,-3.0,0.7,6.2,-1.7,-3.9,5.2,6.4,-2.0,-3.1,1.7,3.8,-4.1,-0.9,2.4,7.0,-5.6,0.4,0.6,6.4,0.6,-0.6,1.7,7.7,-4.5,0.5,-2.1,9.1,-5.0,-0.7,-1.9,-4.9,3.1,5.6,-2.9,2.2,-1.5,-2.1,-4.7,3.8,-3.5,-5.8,-2.6,7.7,-2.7,0.3,0.1
Quarterly,Large containers,Rolling 4-quarter growth rate,:,:,:,:,:,:,:,8.7,10.9,11.3,11.6,10.2,7.7,6.2,3.7,0.5,-3.9,-8.1,-12.1,-10.7,-5.1,0.9,7.8,9.1,9.0,8.2,8.2,10.3,9.7,8.7,6.5,3.1,0.8,-0.1,0.0,0.5,2.3,3.5,4.4,5.7,5.0,3.6,1.7,0.3,-0.1,0.9,2.0,2.9,3.2,2.5,3.9,4.6,6.1,8.2,7.1,6.7,5.0,3.3,2.8,1.7,1.6,-2.2,-3.8,-3.6,-3.7,1.4,3.3,1.8,0.1,-3.0,-5.3,-6.8,-7.3,-7.3,-6.7,-3.7,-0.5
Quarterly,Large containers,Sum of the last 4 quarters,:,:,:,518818.0,524494.0,535276.0,548525.0,563863.0,581416.0,595981.0,612054.0,621109.0,626199.0,632703.0,634962.0,623920.0,601709.0,581211.0,557891.0,557212.0,570968.0,586230.0,601186.0,607753.0,622248.0,634218.0,650356.0,670061.0,682473.0,689646.0,692599.0,690618.0,687791.0,689273.0,692638.0,694301.0,703496.0,713728.0,723367.0,734016.0,739007.0,739417.0,735669.0,736222.0,737971.0,745734.0,750387.0,757411.0,761262.0,764251.0,779464.0,792583.0,807960.0,827072.0,835119.0,845587.0,848301.0,854012.0,858242.0,859931.0,861883.0,834878.0,825392.0,828830.0,830090.0,846172.0,852775.0,843472.0,830830.0,820998.0,807246.0,786426.0,770432.0,760870.0,753132.0,757449.0,766865.0
Quarterly,Large containers,Thousand tonnes,125071.0,132232.0,130670.0,130846.0,130747.0,143013.0,143918.0,146184.0,148300.0,157578.0,159991.0,155239.0,153390.0,164082.0,162250.0,144197.0,131180.0,143583.0,138931.0,143518.0,144937.0,158845.0,153886.0,150085.0,159431.0,170815.0,170024.0,169791.0,171842.0,177989.0,172977.0,167810.0,169015.0,179470.0,176342.0,169474.0,178210.0,189702.0,185981.0,180123.0,183201.0,190112.0,182233.0,180676.0,184950.0,197876.0,186885.0,187700.0,188802.0,200864.0,202099.0,200818.0,204179.0,219976.0,210145.0,211286.0,206894.0,225686.0,214376.0,212975.0,208846.0,198681.0,204890.0,216413.0,210106.0,214763.0,211493.0,207110.0,197464.0,204931.0,197742.0,186290.0,181470.0,195368.0,190003.0,190607.0,190886.0
Quarterly,Other cargo not elsewhere specified,Growth rate on the same quarter in previous year,:,:,:,:,1.0,-0.9,8.1,2.7,4.0,8.7,3.5,-1.4,1.8,-5.3,-2.5,-2.8,-30.2,-30.3,-25.9,-15.6,17.1,29.5,18.8,7.8,10.8,7.2,4.4,3.7,-3.9,-8.5,-7.1,-3.3,-2.0,3.7,-0.8,-0.3,8.3,0.6,1.3,1.7,-7.2,-7.8,-0.4,-1.4,0.8,4.0,2.2,5.2,0.2,2.7,3.1,3.8,0.6,1.9,3.2,4.8,8.8,1.6,-6.3,-12.3,-23.0,-20.3,-23.6,-15.1,6.1,7.9,21.2,12.2,4.9,7.7,1.1,-4.0,-6.7,-5.5,-5.5,-7.7,-1.6
Quarterly,Other cargo not elsewhere specified,Growth rate on previous period (t/t-1),:,5.5,-10.3,7.6,-0.8,3.5,-2.1,2.2,0.4,8.2,-6.8,-2.6,3.7,0.7,-4.2,-2.8,-25.5,0.6,1.9,10.6,3.4,11.2,-6.6,0.4,6.2,7.6,-9.0,-0.3,-1.4,2.4,-7.6,3.7,-0.1,8.4,-11.6,4.1,8.5,0.8,-11.0,4.5,-1.0,0.1,-3.8,3.5,1.2,3.3,-5.5,6.5,-3.6,5.9,-5.1,7.2,-6.5,7.2,-3.9,8.8,-3.0,0.2,-11.4,1.8,-14.8,3.7,-15.0,13.0,6.5,5.5,-4.5,4.6,-0.4,8.3,-10.3,-0.8,-3.2,9.7,-10.3,-3.1,3.2
Quarterly,Other cargo not elsewhere specified,Rolling 4-quarter growth rate,:,:,:,:,:,:,:,2.6,3.4,5.9,4.8,3.7,3.2,-0.5,-1.9,-2.3,-10.2,-16.6,-22.4,-25.6,-16.1,-2.1,10.3,18.0,16.3,10.8,7.6,6.5,2.8,-1.4,-4.1,-5.8,-5.3,-2.2,-0.6,0.2,2.8,1.9,2.4,2.9,-1.0,-3.3,-3.6,-4.4,-2.3,0.8,1.4,3.0,2.9,2.5,2.8,2.4,2.6,2.4,2.4,2.7,4.6,4.5,2.2,-2.3,-10.1,-15.6,-19.6,-20.6,-14.1,-7.0,3.7,11.5,11.1,11.0,6.4,2.4,-0.5,-3.9,-5.5,-6.4,-5.1
Quarterly,Other cargo not elsewhere specified,Sum of the last 4 quarters,:,:,:,212852.0,213371.0,212874.0,216950.0,218423.0,220556.0,225375.0,227263.0,226506.0,227515.0,224339.0,222910.0,221381.0,204296.0,187049.0,172916.0,164614.0,171385.0,183133.0,190735.0,194252.0,199270.0,203002.0,205142.0,206907.0,204928.0,200208.0,196654.0,194988.0,193982.0,195872.0,195516.0,195352.0,199348.0,199683.0,200271.0,201081.0,197306.0,193166.0,192997.0,192328.0,192713.0,194674.0,195680.0,198174.0,198248.0,199594.0,201086.0,202997.0,203314.0,204313.0,205897.0,208412.0,212730.0,213592.0,210388.0,203581.0,191227.0,180306.0,169083.0,161742.0,164265.0,167651.0,175385.0,180395.0,182546.0,186109.0,186614.0,184756.0,181653.0,178898.0,176428.0,173002.0,172333.0
Quarterly,Other cargo not elsewhere specified,Thousand tonnes,52966.0,55863.0,50109.0,53914.0,53484.0,55367.0,54185.0,55386.0,55618.0,60186.0,56072.0,54630.0,56627.0,57010.0,54643.0,53100.0,39542.0,39763.0,40511.0,44798.0,46313.0,51511.0,48113.0,48314.0,51332.0,55242.0,50254.0,50079.0,49353.0,50523.0,46699.0,48413.0,48347.0,52413.0,46344.0,48248.0,52343.0,52748.0,46932.0,49059.0,48568.0,48608.0,46763.0,48389.0,48953.0,50569.0,47769.0,50882.0,49027.0,51916.0,49261.0,52793.0,49344.0,52915.0,50845.0,55309.0,53662.0,53776.0,47641.0,48502.0,41308.0,42855.0,36419.0,41160.0,43831.0,46242.0,44152.0,46170.0,45982.0,49805.0,44657.0,44312.0,42880.0,47050.0,42187.0,40886.0,42211.0
