Time frequency,Type of cargo,Unit of measure\Time,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024
Quarterly,Ro-Ro - mobile self-propelled and non-self-propelled units,Growth rate on the same quarter in previous year,:,:,:,:,9.3,5.1,4.8,5.6,13.6,8.0,8.3,3.1,-4.2,1.0,-4.3,-13.6,-19.3,-20.9,-9.8,-9.2,5.2,22.8,11.7,29.1,22.4,4.0,5.4,-5.3,-2.4,-1.1,-4.4,-0.7,0.7,1.6,0.4,3.5,-0.1,-1.1,3.9,0.2,1.7,6.0,3.1,6.3,-0.6,4.8,-1.5,-0.3,1.6,-3.8,6.6,5.5,8.3,5.7,4.7,4.6,5.1,0.3,-3.5,-2.4,-4.2,-13.2,1.5,6.5,2.6,24.6,10.2,7.5,8.2,2.0,-1.1,-5.7,1.3,-0.8,-0.7,-1.3,-8.4
Quarterly,Ro-Ro - mobile self-propelled and non-self-propelled units,Growth rate on previous period (t/t-1),:,9.9,-3.2,2.8,0.0,5.7,-3.5,3.6,7.5,0.5,-3.2,-1.3,-0.2,6.0,-8.4,-10.9,-6.7,3.9,4.5,-10.4,8.1,21.3,-4.9,3.5,2.5,3.1,-3.6,-7.0,5.7,4.4,-6.9,-3.4,7.2,5.3,-8.0,-0.4,3.4,4.3,-3.4,-3.9,5.0,8.8,-6.1,-0.9,-1.8,14.6,-11.7,0.3,0.0,8.6,-2.2,-0.7,2.7,6.0,-3.1,-0.8,3.2,1.1,-6.7,0.3,1.3,-8.4,9.1,5.2,-2.4,11.2,-3.5,2.7,-1.8,4.8,-6.4,-2.1,5.4,2.6,-6.2,-2.8,-2.1
Quarterly,Ro-Ro - mobile self-propelled and non-self-propelled units,Rolling 4-quarter growth rate,:,:,:,:,:,:,:,6.1,7.3,8.0,8.9,8.2,3.6,1.9,-1.1,-5.2,-8.9,-14.6,-16.0,-15.1,-9.6,1.7,7.6,17.1,21.3,15.9,14.1,6.0,0.4,-0.9,-3.3,-2.2,-1.4,-0.7,0.5,1.5,1.3,0.6,1.5,0.7,1.1,3.0,2.8,4.3,3.7,3.4,2.2,0.7,1.2,-1.1,0.8,2.3,3.9,6.5,6.1,5.8,5.0,3.6,1.6,-0.1,-2.4,-5.8,-4.7,-2.5,-0.8,8.5,10.7,10.9,12.3,6.8,4.0,0.7,-0.9,-1.6,-1.5,-0.4,-2.8
Quarterly,Ro-Ro - mobile self-propelled and non-self-propelled units,Sum of the last 4 quarters,:,:,:,301311.0,307876.0,311859.0,315470.0,319827.0,330340.0,336880.0,343459.0,346014.0,342293.0,343215.0,339522.0,328023.0,311785.0,293128.0,285103.0,278386.0,281930.0,298043.0,306708.0,325926.0,341923.0,345375.0,349844.0,345329.0,343262.0,342276.0,338443.0,337886.0,338480.0,339909.0,340222.0,343021.0,342932.0,341974.0,345185.0,345332.0,346778.0,352161.0,354808.0,360074.0,359562.0,364077.0,362732.0,362451.0,363804.0,360017.0,365794.0,370641.0,377991.0,383484.0,387930.0,392216.0,397079.0,397344.0,393959.0,391665.0,387481.0,374128.0,375580.0,381737.0,384240.0,405900.0,415679.0,423273.0,431379.0,433545.0,432428.0,426264.0,427605.0,426662.0,425955.0,424580.0,415512.0
Quarterly,Ro-Ro - mobile self-propelled and non-self-propelled units,Thousand tonnes,70818.0,77800.0,75281.0,77411.0,77383.0,81783.0,78893.0,81768.0,87896.0,88323.0,85472.0,84323.0,84175.0,89245.0,81779.0,72825.0,67936.0,70588.0,73754.0,66107.0,71480.0,86701.0,82420.0,85325.0,87477.0,90154.0,86889.0,80810.0,85410.0,89168.0,83055.0,80253.0,86004.0,90597.0,83368.0,83052.0,85914.0,89639.0,86579.0,83199.0,87360.0,95022.0,89226.0,88465.0,86848.0,99537.0,87881.0,88184.0,88202.0,95750.0,93658.0,93032.0,95551.0,101243.0,98104.0,97317.0,100415.0,101508.0,94719.0,95023.0,96231.0,88156.0,96171.0,101180.0,98733.0,109816.0,105950.0,108774.0,106839.0,111982.0,104833.0,102610.0,108180.0,111039.0,104126.0,101235.0,99112.0
Quarterly,Total,Growth rate on the same quarter in previous year,:,:,:,:,3.6,3.5,3.7,3.8,4.1,3.7,3.8,2.5,3.3,3.2,0.5,-5.8,-13.0,-16.0,-12.5,-7.0,2.0,9.0,7.4,7.4,5.9,4.0,2.5,1.4,1.7,-1.1,-1.1,-1.8,-1.0,0.0,0.2,0.6,0.8,1.2,2.2,4.1,3.7,2.7,1.5,0.3,-0.4,0.6,1.9,2.0,2.6,2.1,3.6,3.7,2.6,3.7,2.7,3.7,2.8,2.9,-1.5,-3.2,-4.6,-13.0,-8.4,-4.0,-2.1,7.5,7.7,4.1,2.4,5.0,0.8,-1.4,-0.7,-5.7,-4.9,-2.7,-3.2
Quarterly,Total,Growth rate on previous period (t/t-1),:,3.7,-0.2,1.7,-1.7,3.7,0.0,1.9,-1.4,3.2,0.1,0.6,-0.6,3.1,-2.5,-5.7,-8.2,-0.5,1.5,0.3,0.7,6.4,0.0,0.2,-0.6,4.4,-1.4,-0.8,-0.3,1.5,-1.4,-1.5,0.5,2.5,-1.2,-1.1,0.6,2.9,-0.2,0.7,0.2,1.9,-1.3,-0.5,-0.5,2.9,0.0,-0.4,0.1,2.3,1.5,-0.3,-1.0,3.4,0.6,0.6,-1.8,3.6,-3.7,-1.1,-3.3,-5.6,1.4,3.7,-1.3,3.6,1.5,0.3,-3.0,6.3,-2.5,-1.9,-2.2,0.9,-1.7,0.4,-2.7
Quarterly,Total,Rolling 4-quarter growth rate,:,:,:,:,:,:,:,3.6,3.8,3.8,3.8,3.5,3.3,3.2,2.4,0.3,-3.7,-8.6,-11.8,-12.2,-8.8,-2.6,2.7,6.5,7.4,6.1,4.9,3.4,2.4,1.1,0.2,-0.6,-1.3,-1.0,-0.6,0.0,0.4,0.7,1.2,2.1,2.8,3.2,3.0,2.0,1.0,0.5,0.6,1.0,1.8,2.2,2.6,3.0,3.0,3.4,3.2,3.2,3.2,3.0,1.9,0.2,-1.6,-5.6,-7.3,-7.6,-7.0,-2.0,2.1,4.2,5.4,4.8,3.1,1.7,0.9,-1.8,-3.2,-3.5,-4.1
Quarterly,Total,Sum of the last 4 quarters,:,:,:,3049635.0,3075965.0,3103145.0,3131184.0,3160644.0,3191940.0,3221115.0,3251205.0,3271600.0,3298107.0,3324568.0,3328893.0,3281106.0,3174468.0,3038679.0,2935068.0,2880505.0,2895150.0,2959573.0,3013461.0,3066993.0,3110347.0,3141512.0,3161113.0,3172351.0,3185807.0,3176615.0,3167579.0,3153460.0,3145590.0,3145896.0,3147813.0,3152830.0,3158906.0,3168250.0,3186003.0,3218300.0,3247758.0,3269577.0,3281587.0,3283910.0,3280657.0,3285579.0,3301228.0,3317698.0,3339028.0,3356285.0,3386761.0,3417531.0,3438927.0,3470289.0,3493787.0,3525664.0,3549403.0,3574903.0,3561555.0,3532922.0,3492548.0,3374087.0,3300229.0,3265803.0,3248451.0,3307835.0,3369457.0,3403960.0,3423850.0,3466538.0,3473580.0,3461230.0,3455487.0,3404436.0,3361625.0,3338593.0,3312198.0
Quarterly,Total,Thousand tonnes,739279.0,766433.0,765271.0,778652.0,765609.0,793613.0,793310.0,808113.0,796904.0,822788.0,823400.0,828508.0,823411.0,849249.0,827724.0,780721.0,716774.0,713460.0,724113.0,726158.0,731419.0,777883.0,778001.0,779690.0,774773.0,809048.0,797602.0,790928.0,788230.0,799856.0,788566.0,776808.0,780360.0,800162.0,790482.0,781826.0,786435.0,809506.0,808235.0,814123.0,815893.0,831325.0,820245.0,816447.0,812640.0,836247.0,835894.0,832917.0,833970.0,853504.0,866370.0,863687.0,855366.0,884866.0,889868.0,895563.0,879106.0,910366.0,876520.0,866931.0,838731.0,791905.0,802663.0,832505.0,821379.0,851289.0,864284.0,867008.0,841269.0,893977.0,871326.0,854657.0,835527.0,842926.0,828515.0,831625.0,809132.0
Quarterly,Unknown,Growth rate on the same quarter in previous year,:,:,:,:,-68.1,-89.0,-99.9,:,:,:,:,:,:,:,:,:,:,:,:,:,77.4,77.4,77.4,77.4,167.4,167.4,167.4,167.4,32.7,32.7,32.7,32.7,53.8,10.6,10.8,3.8,:,:,:,-99.3,:,:,:,-0.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Unknown,Growth rate on previous period (t/t-1),:,-19.5,7.3,:,:,-72.3,-99.4,:,:,:,:,:,:,:,:,:,:,0.0,:,:,77.4,:,:,:,167.4,:,:,:,32.7,:,:,:,53.8,-28.1,0.2,-6.3,:,:,:,:,209.9,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Unknown,Rolling 4-quarter growth rate,:,:,:,:,:,:,:,-84.7,-95.5,-100.0,:,:,:,:,:,:,:,:,:,:,377.4,177.4,110.8,77.4,110.9,135.0,153.2,167.4,103.9,69.4,47.6,32.7,39.2,32.4,26.6,19.7,-28.3,-53.8,-78.1,-99.9,-99.1,-98.6,-97.2,309.1,-75.8,-75.8,-75.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Unknown,Sum of the last 4 quarters,:,:,:,167.0,124.0,79.0,25.0,25.0,6.0,0.0,:,:,:,:,:,:,459.0,917.0,1376.0,1835.0,2190.0,2545.0,2901.0,3256.0,4619.0,5982.0,7345.0,8707.0,9419.0,10131.0,10843.0,11555.0,13108.0,13414.0,13726.0,13837.0,9395.0,6200.0,3000.0,20.0,84.0,84.0,84.0,84.0,20.0,20.0,20.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Unknown,Thousand tonnes,62.0,50.0,54.0,:,20.0,6.0,0.0,:,:,:,:,:,:,:,:,:,459.0,459.0,459.0,459.0,814.0,814.0,814.0,814.0,2177.0,2177.0,2177.0,2177.0,2889.0,2889.0,2889.0,2889.0,4442.0,3195.0,3200.0,3000.0,:,:,:,20.0,64.0,:,:,20.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
