Time frequency,Means testing,Category of schemes,Pension type,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Albania,:,:,:,:,:,:,:,29204.0,29368.0,29226.0,28610.0,28443.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Austria,76749.0,77471.0,77443.0,70417.0,63059.0,61524.0,60853.0,59636.0,58446.0,57338.0,54307.0,50787.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Bosnia and Herzegovina,:,:,25272.0,24437.0,21119.0,22095.0,20626.0,18839.0,16540.0,15722.0,17757.0,17173.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Belgium,309406.0,325778.0,342080.0,359302.0,380762.0,402357.0,416665.0,432552.0,457090.0,478858.0,501025.0,517832.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Bulgaria,121840.0,124146.0,127517.0,127177.0,125792.0,125460.0,124359.0,123595.0,119383.0,116717.0,114925.0,114943.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Switzerland,143798 e,142342 e,140356 e,139629 e,136364 e,135208 e,134645 e,133630 e,134564 e,134976 e,136680 e,136814 e
Annual,Total,All schemes,Total disability pensions,Females,Person,Cyprus,3106.0,3035.0,2911.0,3128.0,3206.0,4556.0,5650.0,5788.0,5794.0,5628.0,5849.0,6020.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Czechia,183732.0,182384.0,181661.0,180673.0,186242.0,187476.0,188151.0,188320.0,188031.0,188277.0,187990.0,197490.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Germany,973294 e,1000947 e,1026728 e,1081494 e,1083506 e,1108822 e,1117276 e,1121415 e,1125642 e,1120460 e,1127854 e,1122569 e
Annual,Total,All schemes,Total disability pensions,Females,Person,Denmark,153743 e,152788 e,147461 e,141786 e,136503 e,132391 e,129315 e,127842 e,131590 e,141506 e,146998 e,157621.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Euro area – 20 countries (from 2023),4502693 p,4511645 p,4545102 e,4627712 e,4669945 e,4733024 e,4826663 e,4791590 e,5496391 e,5541917 e,5579393 p,5390388 p
Annual,Total,All schemes,Total disability pensions,Females,Person,Estonia,46340.0,49593.0,49758.0,51002.0,52658.0,52771.0,51020.0,52218.0,54441.0,54948.0,55251.0,54790.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Greece,47808.0,39011.0,38738.0,44401.0,46086.0,44787.0,43395.0,43747.0,43055.0,42117.0,40849 p,40696 p
Annual,Total,All schemes,Total disability pensions,Females,Person,Spain,428375.0,429291.0,426708.0,427857.0,433083.0,439238.0,444075.0,448333.0,452605.0,447482.0,449894.0,448178.0
Annual,Total,All schemes,Total disability pensions,Females,Person,European Union - 27 countries (from 2020),6379039 p,6148663 p,6116736 e,6140835 e,6130979 e,6126943 e,6183267 e,6061002 e,6686782 e,6706238 e,6751805 p,6588891 p
Annual,Total,All schemes,Total disability pensions,Females,Person,Finland,124565.0,120046.0,116548.0,112606.0,107719.0,104492.0,100988.0,99280.0,97750.0,96047.0,93413.0,90814.0
Annual,Total,All schemes,Total disability pensions,Females,Person,France,925000 p,937000 p,942000.0,955000.0,974795.0,980620.0,1048823.0,971626 e,1596593.0,1617422.0,1638347.0,1432202.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Croatia,47920 e,44215 e,41301 e,36149 e,32012 e,28428 e,25195 e,22367 e,19594 e,17198 e,15344 e,13591 e
Annual,Total,All schemes,Total disability pensions,Females,Person,Hungary,168249.0,6899.0,2129.0,0.0,:,:,:,:,:,:,:,:
Annual,Total,All schemes,Total disability pensions,Females,Person,Ireland,68936.0,68937.0,72739.0,76254.0,80685.0,85114.0,90366.0,94385.0,97931.0,101993.0,103181.0,104484.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Iceland,10831.0,11154.0,11472.0,11795.0,12106.0,12513.0,12926.0,13347.0,13791.0,14229.0,14264.0,14486.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Italy,620580.0,592838.0,588343.0,589050.0,597689.0,606284.0,609087.0,647875.0,686160.0,681480.0,676246.0,679668.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Lithuania,82020.0,80336.0,80211.0,80790.0,79011.0,78957.0,79821.0,79105.0,79803.0,77079.0,71603.0,71556.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Luxembourg,7955.0,8163.0,8461.0,8948.0,9367.0,9459.0,9229.0,9022.0,8930.0,8922.0,9192.0,9249.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Latvia,40577.0,42452.0,43737.0,44981.0,45935.0,47169.0,47720.0,48785.0,49061.0,49374.0,50633.0,51302.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Montenegro,:,:,2847.0,2761.0,2774.0,2450.0,2632.0,2579.0,2493.0,2340.0,2244 p,2022.0
Annual,Total,All schemes,Total disability pensions,Females,Person,North Macedonia,:,:,:,:,4829.0,4265.0,3775.0,:,:,:,:,:
Annual,Total,All schemes,Total disability pensions,Females,Person,Malta,2575.0,2474.0,2598.0,2697.0,2752.0,2790.0,2884.0,3047.0,3183.0,3212.0,3368.0,3731.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Netherlands,387300.0,386900.0,384300.0,388200.0,385200.0,387300.0,390700.0,396000.0,402500.0,410500.0,415400.0,424700.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Norway,174806.0,177730.0,176137.0,180644.0,182526.0,184660.0,189318.0,197637.0,205470.0,208684.0,236932.0,239437.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Poland,555872.0,537544.0,516241.0,491375.0,466488.0,436655 e,445614.0,390415.0,341476.0,343937.0,365367.0,388993.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Portugal,185049.0,177635.0,171105 e,164327 e,158929 e,153470 e,147267 e,118988 e,122838 e,118217 e,113499 e,111269 e
Annual,Total,All schemes,Total disability pensions,Females,Person,Romania,455821 e,410299 e,382077 e,362782 e,342996 e,317725 e,286169 e,268534 e,249251 e,221388 e,212608 e,197083 e
Annual,Total,All schemes,Total disability pensions,Females,Person,Serbia,43656.0,39683.0,36111.0,32198.0,33306.0,31522.0,32654.0,32674.0,31904.0,32132.0,33763.0,28750.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Sweden,237089.0,222958.0,214548.0,209330.0,203013.0,194212.0,182996.0,170706.0,160660.0,152496.0,144524.0,142373 p
Annual,Total,All schemes,Total disability pensions,Females,Person,Slovenia,13888.0,11080.0,10503.0,9958.0,9328.0,8732.0,7875.0,7303.0,6913.0,7007.0,6530.0,6155.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Slovakia,111250.0,114443.0,118890.0,121151.0,124163.0,126154.0,127774.0,130118.0,128062.0,146635.0,147608.0,150795.0
Annual,Total,All schemes,Total disability pensions,Females,Person,Türkiye,228789.0,256730.0,301439.0,306491.0,323927.0,334339.0,345450.0,353272.0,360010.0,355568.0,332633.0,338056.0
Annual,Total,All schemes,Total disability pensions,Females,Person,United Kingdom,988490 e,1006670 e,1018190 e,1029155.0,1087908 p,1190290 p,1232168 p,1347536 p,:,:,:,:
Annual,Total,All schemes,Total disability pensions,Males,Person,Albania,:,:,:,:,:,:,:,40971.0,41133.0,40422.0,39569.0,38724.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Austria,208456.0,203211.0,198780.0,188524.0,177146.0,172433.0,166497.0,160141.0,154088.0,147499.0,138510.0,131216.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Bosnia and Herzegovina,:,:,57605.0,54287.0,49015.0,47937.0,44614.0,40538.0,37548.0,35012.0,42158.0,39271.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Belgium,356429.0,361362.0,367312.0,373076.0,380608.0,389128.0,390693.0,396430.0,405933.0,413528.0,419939.0,424349.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Bulgaria,148445.0,150779.0,153875.0,153884.0,153257.0,152567.0,151607.0,149522.0,141323.0,137233.0,134037.0,132931.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Switzerland,198923 e,194439 e,192020 e,184475 e,176450 e,173092 e,168607 e,165156 e,160942 e,157332 e,155729 e,152648 e
Annual,Total,All schemes,Total disability pensions,Males,Person,Cyprus,5970.0,5921.0,5824.0,5815.0,5888.0,8170.0,9828.0,9845.0,9837.0,9538.0,9347.0,9935.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Czechia,225441.0,221603.0,217483.0,212825.0,208091.0,207894.0,204823.0,200377.0,196112.0,192007.0,189098.0,188209.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Germany,1161371 e,1164710 e,1165599 e,1178773 e,1172005 e,1168544 e,1151681 e,1135323 e,1112684 e,1098024 e,1076512 e,1048855 e
Annual,Total,All schemes,Total disability pensions,Males,Person,Denmark,125717 e,125189 e,120877 e,116928 e,113133 e,110310 e,108355 e,107584 e,110897 e,118696 e,121374 e,129102.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Euro area – 20 countries (from 2023),6328599 p,6289402 p,6240496 e,6237022 e,6214540 e,6210622 e,6175632 e,6154730 e,6761319 e,6738709 e,6648934 p,6471773 p
Annual,Total,All schemes,Total disability pensions,Males,Person,Estonia,47277.0,48667.0,48488.0,48593.0,49223.0,49452.0,47718.0,49125.0,51094.0,51482.0,51643.0,51136.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Greece,90285.0,75622.0,75638.0,82878.0,86476.0,82010.0,78783.0,77865.0,74521.0,70947.0,67324 p,64996 p
Annual,Total,All schemes,Total disability pensions,Males,Person,Spain,731033.0,729142.0,724261.0,722909.0,725280.0,728443.0,728546.0,726138.0,724547.0,711319.0,708325.0,700909.0
Annual,Total,All schemes,Total disability pensions,Males,Person,European Union - 27 countries (from 2020),8460870 p,8187859 p,8079436 e,8015626 e,7923160 e,7840498 e,7725017 e,7638154 e,8215783 e,8127336 e,8009307 p,7756699 p
Annual,Total,All schemes,Total disability pensions,Males,Person,Finland,135888.0,130657.0,125324.0,119869.0,114233.0,109554.0,105060.0,101936.0,99742.0,97582.0,94481.0,91772.0
Annual,Total,All schemes,Total disability pensions,Males,Person,France,1506000 p,1543000 p,1532000.0,1531000.0,1535840.0,1543620.0,1549845.0,1546484 e,2142886.0,2156079.0,2140972.0,2022263.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Croatia,169515 e,164552 e,156984 e,145514 e,137501 e,130794 e,123250 e,115886 e,107145 e,99414 e,92024 e,85700 e
Annual,Total,All schemes,Total disability pensions,Males,Person,Hungary,162468.0,6366.0,2024.0,0.0,:,:,:,:,:,:,:,:
Annual,Total,All schemes,Total disability pensions,Males,Person,Ireland,85218.0,84356.0,88121.0,91435.0,94813.0,97903.0,102313.0,105394.0,108128.0,110892.0,110899.0,110769.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Iceland,7078.0,7250.0,7482.0,7670.0,7886.0,8143.0,8302.0,8506.0,8763.0,8997.0,9107.0,9314.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Italy,906659.0,869307.0,863953.0,864604.0,865440.0,867214.0,867343.0,914029.0,957398.0,941542.0,927751.0,925266.0
Annual,Total,All schemes,Total disability pensions,Males,Person,Lithuania,91782.0,90373.0,89979.0,89995.0,87838.0,87392.0,88261.0,87346.0,86472.0,83599.0,77493.0,76929.0
