Time frequency,International classification of crime for statistical purposes (ICCS),Unit of measure,Geopolitical entity (reporting)\Time,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Acts against computer systems,Number,Albania,84.0,77.0,67.0,84.0,107.0,202.0,152.0
Annual,Acts against computer systems,Number,Austria,13103.0,3187.0,2762.0,7292.0,12585.0,15089.0,21974.0
Annual,Acts against computer systems,Number,Bosnia and Herzegovina,:,:,5.0,8.0,63.0,24.0,24.0
Annual,Acts against computer systems,Number,Belgium,3660.0,3985.0,5461.0,6553.0,9430.0,8837.0,9544.0
Annual,Acts against computer systems,Number,Bulgaria,58.0,71.0,58.0,66.0,48.0,51.0,60.0
Annual,Acts against computer systems,Number,Cyprus,40.0,49.0,59.0,72.0,174.0,146.0,114.0
Annual,Acts against computer systems,Number,Czechia,:,784.0,893.0,1092.0,1287.0,1866.0,2848.0
Annual,Acts against computer systems,Number,Germany,15060.0,12954.0,11495.0,13026.0,14416.0,19704.0,16566.0
Annual,Acts against computer systems,Number,Estonia,130.0,167.0,205.0,197.0,255.0,250.0,231.0
Annual,Acts against computer systems,Number,Greece,142.0,193.0,280.0,349.0,367.0,387.0,801.0
Annual,Acts against computer systems,Number,Spain,:,4441.0,4576.0,5477.0,6243.0,7480.0,7240.0
Annual,Acts against computer systems,Number,Finland,1008.0,935.0,918.0,1142.0,1594.0,1972.0,2280.0
Annual,Acts against computer systems,Number,France,10549.0,10169.0,9943.0,11400.0,13807.0,16035.0,16244.0
Annual,Acts against computer systems,Number,Croatia,1703.0,1186.0,1376.0,2812.0,1033.0,1297.0,1540.0
Annual,Acts against computer systems,Number,Hungary,:,5069.0,3622.0,3242.0,4301.0,3860.0,5892.0
Annual,Acts against computer systems,Number,Ireland,:,:,37.0,102.0,72.0,108.0,100.0
Annual,Acts against computer systems,Number,Italy,:,9430.0,12042.0,14915.0,17990.0,20103.0,32720.0
Annual,Acts against computer systems,Number,Lithuania,497.0,629.0,545.0,439.0,460.0,705.0,917.0
Annual,Acts against computer systems,Number,Latvia,:,5.0,18.0,5.0,5.0,16.0,41.0
Annual,Acts against computer systems,Number,Montenegro,:,1.0,1.0,6.0,5.0,9.0,5.0
Annual,Acts against computer systems,Number,Malta,:,187.0,224.0,211.0,320.0,398.0,469.0
Annual,Acts against computer systems,Number,Netherlands,:,2320.0,2945.0,4865.0,:,:,:
Annual,Acts against computer systems,Number,Poland,3130.0,2873.0,2852.0,5540.0,6115.0,6171.0,7290.0
Annual,Acts against computer systems,Number,Portugal,801.0,976.0,924.0,1319.0,1672.0,1496.0,2219.0
Annual,Acts against computer systems,Number,Romania,:,1074.0,1320.0,1226.0,1203.0,1502.0,2157.0
Annual,Acts against computer systems,Number,Sweden,7553.0,7058.0,8827.0,9052.0,8949.0,11566.0,9299.0
Annual,Acts against computer systems,Number,Slovenia,273.0,202.0,237.0,239.0,222.0,167.0,215.0
Annual,Acts against computer systems,Number,Slovakia,243.0,26.0,57.0,71.0,62.0,72.0,44.0
Annual,Acts against computer systems,Number,Kosovo*,181.0,154.0,:,:,:,:,:
Annual,Acts against computer systems,Per hundred thousand inhabitants,Albania,2.92,2.68,2.33,2.93,3.76,7.14,5.44
Annual,Acts against computer systems,Per hundred thousand inhabitants,Austria,150.6,36.33,31.31,82.31,141.39,168.92,244.73
Annual,Acts against computer systems,Per hundred thousand inhabitants,Belgium,32.36,35.1,47.91,57.2,81.84,76.48,82.15
Annual,Acts against computer systems,Per hundred thousand inhabitants,Bulgaria,0.81,1.0,0.82,0.94,0.69,0.74,0.88
Annual,Acts against computer systems,Per hundred thousand inhabitants,Cyprus,4.72,5.73,6.83,8.22,19.59,16.29,12.6
Annual,Acts against computer systems,Per hundred thousand inhabitants,Czechia,:,7.41,8.42,10.25,12.03,17.44,27.08
Annual,Acts against computer systems,Per hundred thousand inhabitants,Germany,18.33,15.7,13.88,15.69,17.33,23.7,19.9
Annual,Acts against computer systems,Per hundred thousand inhabitants,Estonia,9.88,12.69,15.54,14.87,19.19,18.8,17.34
Annual,Acts against computer systems,Per hundred thousand inhabitants,Greece,1.32,1.79,2.61,3.25,3.42,3.62,7.66
Annual,Acts against computer systems,Per hundred thousand inhabitants,Spain,:,9.54,9.81,11.67,13.19,15.78,15.26
Annual,Acts against computer systems,Per hundred thousand inhabitants,Finland,18.37,16.99,16.65,20.7,28.85,35.64,41.09
Annual,Acts against computer systems,Per hundred thousand inhabitants,France,15.83,15.22,14.83,16.97,20.51,23.7,23.93
Annual,Acts against computer systems,Per hundred thousand inhabitants,Croatia,40.64,28.55,33.52,68.99,25.45,32.13,39.87
Annual,Acts against computer systems,Per hundred thousand inhabitants,Hungary,:,51.74,37.04,33.17,44.02,39.67,60.81
Annual,Acts against computer systems,Per hundred thousand inhabitants,Ireland,:,:,0.77,2.08,1.45,2.16,1.98
Annual,Acts against computer systems,Per hundred thousand inhabitants,Italy,:,15.56,19.91,24.93,30.16,33.94,55.43
Annual,Acts against computer systems,Per hundred thousand inhabitants,Lithuania,17.21,22.09,19.4,15.71,16.46,25.22,32.68
Annual,Acts against computer systems,Per hundred thousand inhabitants,Latvia,:,0.26,0.93,0.26,0.26,0.85,2.19
Annual,Acts against computer systems,Per hundred thousand inhabitants,Montenegro,:,0.16,0.16,0.96,0.8,1.45,0.81
Annual,Acts against computer systems,Per hundred thousand inhabitants,Malta,:,40.63,47.09,42.75,62.19,77.12,90.02
Annual,Acts against computer systems,Per hundred thousand inhabitants,Netherlands,:,13.58,17.14,28.15,:,:,:
Annual,Acts against computer systems,Per hundred thousand inhabitants,Poland,8.24,7.57,7.51,14.59,16.11,16.31,19.36
Annual,Acts against computer systems,Per hundred thousand inhabitants,Portugal,7.75,9.47,8.98,12.83,16.24,14.53,21.44
Annual,Acts against computer systems,Per hundred thousand inhabitants,Romania,:,5.47,6.76,6.31,6.22,7.82,11.33
Annual,Acts against computer systems,Per hundred thousand inhabitants,Sweden,76.67,70.61,87.22,88.48,86.65,111.43,88.97
Annual,Acts against computer systems,Per hundred thousand inhabitants,Slovenia,13.23,9.78,11.47,11.49,10.59,7.92,10.2
Annual,Acts against computer systems,Per hundred thousand inhabitants,Slovakia,4.48,0.48,1.05,1.3,1.14,1.32,0.81
Annual,Acts against computer systems,Per hundred thousand inhabitants,Kosovo*,10.22,8.63,:,:,:,:,:
