Time frequency,Currency,Geopolitical entity (reporting)\Time,Janvier-Juin 2019,Juillet-Décembre 2019,Janvier-Juin 2020,Juillet-Décembre 2020,Janvier-Juin 2021,Juillet-Décembre 2021,Janvier-Juin 2022,Juillet-Décembre 2022,Janvier-Juin 2023,Juillet-Décembre 2023,Janvier-Juin 2024,Juillet-Décembre 2024
"Half-yearly, semesterly",Euro,Albania,210.66,211.99,213.45,209.1,242.52,244.56,248.43,268.61,297.65,375.8,385.06,398.76
"Half-yearly, semesterly",Euro,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
"Half-yearly, semesterly",Euro,Belgium,1593.81,1593.81,1593.81,1625.72,1625.72,1625.72,1658.23,1842.28,1955.04,1955.04,1994.18,2070.48
"Half-yearly, semesterly",Euro,Bulgaria,286.33,286.33,311.89,311.89,332.34,332.34,332.34,363.02,398.81,398.81,477.04,477.04
"Half-yearly, semesterly",Euro,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
"Half-yearly, semesterly",Euro,Cyprus,:,:,:,:,:,:,:,:,940.0,940.0,1000.0,1000.0
"Half-yearly, semesterly",Euro,Czechia,518.97,524.62,574.62,546.0,579.22,596.36,651.7,654.84,717.37,728.67,764.44,755.24
"Half-yearly, semesterly",Euro,Germany,1561.0,1561.0,1544.0,1544.0,1585.0,1602.0,1634.0,1739.0,1997.0,1997.0,2054.0,2054.0
"Half-yearly, semesterly",Euro,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
"Half-yearly, semesterly",Euro,Estonia,540.0,540.0,584.0,584.0,584.0,584.0,654.0,654.0,725.0,725.0,820.0,820.0
"Half-yearly, semesterly",Euro,Greece,683.76,758.33,758.33,758.33,758.33,758.33,773.5,831.83,831.83,910.0,910.0,968.33
"Half-yearly, semesterly",Euro,Spain,1050.0,1050.0,1108.33,1108.33,1108.33,1108.33,1125.83,1166.67,1166.67,1260.0,1323.0,1323.0
"Half-yearly, semesterly",Euro,Finland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
"Half-yearly, semesterly",Euro,France,1521.22,1521.22,1539.42,1539.42,1554.58,1554.58,1603.12,1645.58,1709.28,1747.2,1766.92,1766.92
"Half-yearly, semesterly",Euro,Croatia,505.9,506.94,546.07,546.07,562.77,567.32,623.7,622.45,700.0,700.0,840.0,840.0
"Half-yearly, semesterly",Euro,Hungary,464.2,460.74,487.1,451.51,442.44,476.0,541.73,503.73,578.74,623.77,696.97,675.27
"Half-yearly, semesterly",Euro,Ireland,1656.2,1656.2,1656.2,1706.9,1723.8,1723.8,1774.5,1774.5,1909.7,1909.7,2146.3,2146.3
"Half-yearly, semesterly",Euro,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
"Half-yearly, semesterly",Euro,Italy,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
"Half-yearly, semesterly",Euro,Lithuania,555.0,555.0,607.0,607.0,642.0,642.0,730.0,730.0,840.0,840.0,924.0,924.0
"Half-yearly, semesterly",Euro,Luxembourg,2089.75,2089.75,2141.99,2141.99,2201.93,2201.93,2256.95,2313.38,2387.4,2508.24,2570.93,2570.93
"Half-yearly, semesterly",Euro,Latvia,430.0,430.0,430.0,430.0,500.0,500.0,500.0,500.0,620.0,620.0,700.0,700.0
"Half-yearly, semesterly",Euro,Moldova,51.23,48.43,51.92,51.43,47.33,46.73,49.77,49.72,196.28,200.31,258.3,260.55
"Half-yearly, semesterly",Euro,Montenegro,288.05,331.33,331.33,331.33,331.33,331.33,532.54,532.54,532.54,532.54,532.54,532.54
"Half-yearly, semesterly",Euro,North Macedonia,341.44,341.0,343.28,342.12,352.97,358.96,:,:,:,:,:,:
"Half-yearly, semesterly",Euro,Malta,761.97,761.97,777.1,777.1,784.68,784.68,792.26,792.26,835.16,835.16,925.34,925.34
"Half-yearly, semesterly",Euro,Netherlands,1615.8,1635.6,1653.6,1680.0,1684.8,1701.0,1725.0,1756.2,1934.4,1995.0,2070.12,2134.08
"Half-yearly, semesterly",Euro,Norway,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
"Half-yearly, semesterly",Euro,Poland,523.09,529.46,610.79,583.48,614.08,619.46,654.79,641.74,745.6,811.03,977.53,997.91
