Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Cities,Percentage of disposable income,Austria,14.6 i,16.8 i,18.6 i
Annual,Cities,Percentage of disposable income,Belgium,7.2 i,16.5 i,25.8 i
Annual,Cities,Percentage of disposable income,Bulgaria,43.4 e,19.7 i,31.7 i
Annual,Cities,Percentage of disposable income,Cyprus,13.8 i,9.9 i,25.7 i
Annual,Cities,Percentage of disposable income,Czechia,23.1 i,25 i,33.2 i
Annual,Cities,Percentage of disposable income,Germany,12.6 i,11 i,14.5 i
Annual,Cities,Percentage of disposable income,Denmark,1.5 i,17.8 i,30.8 i
Annual,Cities,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,19.7 i,23.8 i
Annual,Cities,Percentage of disposable income,Euro area – 20 countries (from 2023),:,19.7 i,23.8 i
Annual,Cities,Percentage of disposable income,Estonia,37 i,37.3 i,42.5 i
Annual,Cities,Percentage of disposable income,Greece,-12.5 i,-4.8 i,14.3 i
Annual,Cities,Percentage of disposable income,Spain,19.8 i,21.3 i,34.7 i
Annual,Cities,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,19 i,25.8 i
Annual,Cities,Percentage of disposable income,European Union - 27 countries (from 2020),:,20.4 i,25.8 i
Annual,Cities,Percentage of disposable income,Finland,21.6 i,17.9 i,:
Annual,Cities,Percentage of disposable income,France,28.9 i,33.3 i,29.9 i
Annual,Cities,Percentage of disposable income,Croatia,10.1 i,10.6 i,22 i
Annual,Cities,Percentage of disposable income,Hungary,17.2 i,15.1 i,23 i
Annual,Cities,Percentage of disposable income,Ireland,21.4 i,27.1 i,:
Annual,Cities,Percentage of disposable income,Italy,29 i,:,:
Annual,Cities,Percentage of disposable income,Lithuania,31.2 i,37.7 i,47 i
Annual,Cities,Percentage of disposable income,Luxembourg,24.7 i,25.3 i,29.7 i
Annual,Cities,Percentage of disposable income,Latvia,12.1 i,25.7 i,28.4 i
Annual,Cities,Percentage of disposable income,Malta,13.6 i,17.7 i,27.7 i
Annual,Cities,Percentage of disposable income,Netherlands,:,12.9 i,15.9 i
Annual,Cities,Percentage of disposable income,Poland,26.4 i,30.9 i,49.8 i
Annual,Cities,Percentage of disposable income,Portugal,14.8 i,19.7 i,:
Annual,Cities,Percentage of disposable income,Romania,3.7 i,12.3 i,2.5 i
Annual,Cities,Percentage of disposable income,Sweden,14.6 i,23.9 i,:
Annual,Cities,Percentage of disposable income,Slovenia,18.9 i,23.4 i,22.3 i
Annual,Cities,Percentage of disposable income,Slovakia,28.2 i,18.6 i,28.1 i
Annual,Cities,Percentage of disposable income,United Kingdom,22.3 i,13.4 i,:
Annual,Towns and suburbs,Percentage of disposable income,Austria,21.4 i,21.6 i,24.2 i
Annual,Towns and suburbs,Percentage of disposable income,Belgium,11.5 i,20.1 i,35.5 i
Annual,Towns and suburbs,Percentage of disposable income,Bulgaria,40.1 e,16.1 i,27.1 i
Annual,Towns and suburbs,Percentage of disposable income,Cyprus,6.1 i,11 i,24 i
Annual,Towns and suburbs,Percentage of disposable income,Czechia,25.1 i,25.2 i,29.4 i
Annual,Towns and suburbs,Percentage of disposable income,Germany,15.2 i,16.6 i,20.1 i
Annual,Towns and suburbs,Percentage of disposable income,Denmark,5.3 i,28.4 i,39.2 i
Annual,Towns and suburbs,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,20 i,25.7 i
Annual,Towns and suburbs,Percentage of disposable income,Euro area – 20 countries (from 2023),:,19.8 i,25.7 i
Annual,Towns and suburbs,Percentage of disposable income,Estonia,36 i,31.8 i,39.4 i
Annual,Towns and suburbs,Percentage of disposable income,Greece,-9.2 i,-6 i,16.3 i
Annual,Towns and suburbs,Percentage of disposable income,Spain,13 i,18.9 i,30.7 i
