Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 65 to 74 years,Average,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.0,15.4,18.9,:,:
Annual,From 65 to 74 years,Average,Austria,38.4,27.4,32.8,38.2,38.9,41.7,42.2,42.1,43.1,42.4,40.9,42.4,41.4,40.5,40.5,38.8,35.0,36.2,35.1,33.1,33.8
Annual,From 65 to 74 years,Average,Belgium,31.2,33.1,34.2,33.8,31.4,27.2,36.3,37.4,29.2,32.7,34.3,31.0,35.8,25.1,22.7,22.0,33.6,35.6,25.4,21.5,27.6
Annual,From 65 to 74 years,Average,Bulgaria,:,:,:,35.2,31.2,26.4,30.1,33.5,32.0,35.2,30.1,24.1,27.5,24.7,24.9,24.6,20.9,19.6,15.5,22.4,14.9
Annual,From 65 to 74 years,Average,Switzerland,:,:,:,:,35.2,44.6,38.9,34.2,33.8,35.3,35.2,34.9,32.6,33.3,33.6,32.0,33.2,33.2,31.5,30.4,31.5
Annual,From 65 to 74 years,Average,Cyprus,:,:,46.1,48.1,48.5,45.6,45.0,46.0,47.1,43.4,51.6,51.6,46.9,47.6,35.7,33.4,35.4,33.0,29.5,34.6,25.6
Annual,From 65 to 74 years,Average,Czechia,:,:,14.1,16.5,12.7,12.3,12.8,15.8,16.0,14.1,12.6,13.6,14.0,14.2,14.6,15.3,14.9,15.0,14.6,14.8,12.2
Annual,From 65 to 74 years,Average,Germany,:,:,44.7,45.3,46.1,42.7,44.3,43.1,43.7,43.1,43.8,43.9,42.3,39.7,37.4,35.9,32.7,32.0,31.6,28.1,27.4
Annual,From 65 to 74 years,Average,Denmark,24.0,20.4,13.3,20.7,19.1,18.9,23.7,19.3,13.6,8.8,15.9,18.2,13.5,6.8,4.0,3.8,6.7,4.6,7.7,7.6,0.5
Annual,From 65 to 74 years,Average,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,41.1 e,41.5 e,34.8 e,40.2 e,39.9 e,39.1 e,38.1 e,38.1 e,37.4 e,36.1 e,35.0 e,33.4 e,31.5 e,30.7,29.7 b,28.4,:,:
Annual,From 65 to 74 years,Average,Euro area - 18 countries (2014),:,:,:,40.5 e,40.8,34.2,39.8,39.5,38.9,37.9,37.9,37.4,36.3,35.2,33.5,31.7,30.8,29.9 b,:,:,:
Annual,From 65 to 74 years,Average,Euro area - 19 countries  (2015-2022),:,:,:,40.1 e,40.5,34.0,39.5,39.2,38.6,37.6,37.7,37.2,36.1,35.0,33.4,31.5,30.7,29.7 b,28.4,:,:
Annual,From 65 to 74 years,Average,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,37.2,36.0,34.8,33.2,31.4,30.6,29.7,28.3,27.8,26.5
Annual,From 65 to 74 years,Average,Estonia,:,3.9,3.3,5.1,1.7,0.4,0.4,1.8,0.1,2.9,3.0,2.5,3.7,0.3,1.1,0.1,0.2,0.1,3.0,3.6,5.6
Annual,From 65 to 74 years,Average,Greece,:,:,:,:,42.1,42.0,41.3,42.3,33.4,22.2,25.1,25.4,26.6,27.2,25.2,24.5,22.1,21.7,23.5,23.9,21.2
Annual,From 65 to 74 years,Average,Spain,:,:,:,36.7,37.0,36.1,33.3,36.5,36.9,38.1,36.3,34.8,35.0,35.5,32.0,31.2,27.4,25.2,23.4,24.9,23.7
Annual,From 65 to 74 years,Average,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,38.6 e,38.6 e,37.9 e,33.2 e,37.5 e,37.1 e,36.5 e,35.4 e,34.8 e,34.8 e,34.9 e,32.1 e,30.6 e,29.1 e,28.5 e,:,:,:,:
Annual,From 65 to 74 years,Average,European Union - 27 countries (2007-2013),:,:,:,:,37.9,33.2,37.5,37.2,36.6,35.5,34.9,34.9,35.0,32.2,30.7,29.2,28.6 e,:,:,:,:
Annual,From 65 to 74 years,Average,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,36.2 e,35.4 e,34.5 e,34.2 e,34.0 e,34.3 e,31.6 e,30.1 e,28.6 e,27.9 e,26.9 b,25.9,25.2,24.1
Annual,From 65 to 74 years,Average,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,37.1,36.5,35.4,34.8,34.8,34.9,32.1,30.6,29.1,28.5 e,:,:,:,:
Annual,From 65 to 74 years,Average,Finland,:,25.7,24.2,:,23.5,24.0,25.3,25.9,26.4,26.9,24.6,26.2,25.3,25.2,24.7,22.6,21.8,21.1,22.1,21.8,22.4
Annual,From 65 to 74 years,Average,France,:,39.0,39.7,35.6,39.3,-2.4,38.2,39.6,36.4,35.8,35.1,35.1,33.0,32.6,31.8,28.3,29.4,29.0,27.6,29.6 b,27.2
Annual,From 65 to 74 years,Average,Croatia,:,:,:,:,:,:,:,25.6,25.0,23.2,22.3,17.8,21.0,19.8,20.0,22.5,18.9,23.3,25.1,19.0,22.1
Annual,From 65 to 74 years,Average,Hungary,:,:,11.9,14.3,15.8,13.0,15.0,13.7,15.5,14.8,14.8,13.6,15.6,16.8,13.8,16.9,11.3,2.4,9.8,9.1,15.7
