Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,85.2 u
Annual,Percentage,From 15 to 24 years,Females,Belgium,76.0 u
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,100.0 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,95.9 u
Annual,Percentage,From 15 to 24 years,Females,Czechia,100.0 u
Annual,Percentage,From 15 to 24 years,Females,Germany,92.8 u
Annual,Percentage,From 15 to 24 years,Females,Denmark,86.9 u
Annual,Percentage,From 15 to 24 years,Females,Estonia,75.6 u
Annual,Percentage,From 15 to 24 years,Females,Greece,100.0 u
Annual,Percentage,From 15 to 24 years,Females,Spain,78.5
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),90.8
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),90.2
Annual,Percentage,From 15 to 24 years,Females,Finland,82.8 u
Annual,Percentage,From 15 to 24 years,Females,France,91.7 u
Annual,Percentage,From 15 to 24 years,Females,Croatia,87.7 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,46.8 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,100.0 u
Annual,Percentage,From 15 to 24 years,Females,Italy,100.0 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,100.0 u
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,79.1 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,89.4 u
Annual,Percentage,From 15 to 24 years,Females,Malta,90.2 u
Annual,Percentage,From 15 to 24 years,Females,Netherlands,89.0 u
Annual,Percentage,From 15 to 24 years,Females,Poland,100.0 u
Annual,Percentage,From 15 to 24 years,Females,Portugal,100.0 u
Annual,Percentage,From 15 to 24 years,Females,Romania,90.8 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,57.1 u
Annual,Percentage,From 15 to 24 years,Females,Slovenia,79.7 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,100.0 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,88.7
Annual,Percentage,From 15 to 24 years,Males,Austria,94.5 u
Annual,Percentage,From 15 to 24 years,Males,Belgium,92.3 u
Annual,Percentage,From 15 to 24 years,Males,Bulgaria,100.0 u
Annual,Percentage,From 15 to 24 years,Males,Cyprus,82.1 u
Annual,Percentage,From 15 to 24 years,Males,Czechia,79.0 u
Annual,Percentage,From 15 to 24 years,Males,Germany,88.2
Annual,Percentage,From 15 to 24 years,Males,Denmark,77.5 u
Annual,Percentage,From 15 to 24 years,Males,Estonia,100.0 u
Annual,Percentage,From 15 to 24 years,Males,Greece,100.0 u
Annual,Percentage,From 15 to 24 years,Males,Spain,86.2 u
Annual,Percentage,From 15 to 24 years,Males,European Union - 27 countries (from 2020),86.9
Annual,Percentage,From 15 to 24 years,Males,European Union - 28 countries (2013-2020),86.9
Annual,Percentage,From 15 to 24 years,Males,Finland,59.7 u
Annual,Percentage,From 15 to 24 years,Males,France,86.0 u
Annual,Percentage,From 15 to 24 years,Males,Croatia,85.5 u
Annual,Percentage,From 15 to 24 years,Males,Hungary,100.0 u
Annual,Percentage,From 15 to 24 years,Males,Ireland,100.0 u
Annual,Percentage,From 15 to 24 years,Males,Italy,100.0 u
Annual,Percentage,From 15 to 24 years,Males,Lithuania,86.2 u
Annual,Percentage,From 15 to 24 years,Males,Luxembourg,91.3 u
Annual,Percentage,From 15 to 24 years,Males,Latvia,100.0 u
Annual,Percentage,From 15 to 24 years,Males,Malta,88.6 u
Annual,Percentage,From 15 to 24 years,Males,Netherlands,74.2 u
Annual,Percentage,From 15 to 24 years,Males,Poland,80.6 u
Annual,Percentage,From 15 to 24 years,Males,Portugal,100.0 u
Annual,Percentage,From 15 to 24 years,Males,Romania,100.0 u
Annual,Percentage,From 15 to 24 years,Males,Sweden,92.5 u
Annual,Percentage,From 15 to 24 years,Males,Slovenia,76.7 u
Annual,Percentage,From 15 to 24 years,Males,Slovakia,53.2 u
Annual,Percentage,From 15 to 24 years,Males,United Kingdom,87.1
Annual,Percentage,From 15 to 24 years,Total,Austria,90.3
Annual,Percentage,From 15 to 24 years,Total,Belgium,84.2
Annual,Percentage,From 15 to 24 years,Total,Bulgaria,100.0 u
Annual,Percentage,From 15 to 24 years,Total,Cyprus,92.6 u
Annual,Percentage,From 15 to 24 years,Total,Czechia,88.4 u
Annual,Percentage,From 15 to 24 years,Total,Germany,90.2
Annual,Percentage,From 15 to 24 years,Total,Denmark,82.0 u
Annual,Percentage,From 15 to 24 years,Total,Estonia,82.4 u
Annual,Percentage,From 15 to 24 years,Total,Greece,100.0 u
Annual,Percentage,From 15 to 24 years,Total,Spain,82.2
Annual,Percentage,From 15 to 24 years,Total,European Union - 27 countries (from 2020),88.7
Annual,Percentage,From 15 to 24 years,Total,European Union - 28 countries (2013-2020),88.5
Annual,Percentage,From 15 to 24 years,Total,Finland,73.5 u
Annual,Percentage,From 15 to 24 years,Total,France,88.4
Annual,Percentage,From 15 to 24 years,Total,Croatia,86.4 u
Annual,Percentage,From 15 to 24 years,Total,Hungary,88.1 u
Annual,Percentage,From 15 to 24 years,Total,Ireland,100.0
Annual,Percentage,From 15 to 24 years,Total,Italy,100.0 u
Annual,Percentage,From 15 to 24 years,Total,Lithuania,91.5 u
Annual,Percentage,From 15 to 24 years,Total,Luxembourg,84.4 u
Annual,Percentage,From 15 to 24 years,Total,Latvia,95.4 u
Annual,Percentage,From 15 to 24 years,Total,Malta,89.3
Annual,Percentage,From 15 to 24 years,Total,Netherlands,82.5
Annual,Percentage,From 15 to 24 years,Total,Poland,89.4
Annual,Percentage,From 15 to 24 years,Total,Portugal,100.0 u
Annual,Percentage,From 15 to 24 years,Total,Romania,95.2 u
Annual,Percentage,From 15 to 24 years,Total,Sweden,76.5 u
Annual,Percentage,From 15 to 24 years,Total,Slovenia,77.8 u
Annual,Percentage,From 15 to 24 years,Total,Slovakia,69.7 u
Annual,Percentage,From 15 to 24 years,Total,United Kingdom,88.0
Annual,Percentage,From 15 to 64 years,Females,Austria,82.5
Annual,Percentage,From 15 to 64 years,Females,Belgium,78.7
Annual,Percentage,From 15 to 64 years,Females,Bulgaria,96.1
Annual,Percentage,From 15 to 64 years,Females,Cyprus,92.9
Annual,Percentage,From 15 to 64 years,Females,Czechia,86.6
Annual,Percentage,From 15 to 64 years,Females,Germany,89.0
Annual,Percentage,From 15 to 64 years,Females,Denmark,83.0
Annual,Percentage,From 15 to 64 years,Females,Estonia,84.7
Annual,Percentage,From 15 to 64 years,Females,Greece,88.2
Annual,Percentage,From 15 to 64 years,Females,Spain,84.0
Annual,Percentage,From 15 to 64 years,Females,European Union - 27 countries (from 2020),84.1
Annual,Percentage,From 15 to 64 years,Females,European Union - 28 countries (2013-2020),84.2
Annual,Percentage,From 15 to 64 years,Females,Finland,83.4
Annual,Percentage,From 15 to 64 years,Females,France,77.2
Annual,Percentage,From 15 to 64 years,Females,Croatia,86.5
Annual,Percentage,From 15 to 64 years,Females,Hungary,80.8
Annual,Percentage,From 15 to 64 years,Females,Ireland,88.9
Annual,Percentage,From 15 to 64 years,Females,Italy,81.2
Annual,Percentage,From 15 to 64 years,Females,Lithuania,93.7
Annual,Percentage,From 15 to 64 years,Females,Luxembourg,77.2
Annual,Percentage,From 15 to 64 years,Females,Latvia,91.1
Annual,Percentage,From 15 to 64 years,Females,Malta,95.1
Annual,Percentage,From 15 to 64 years,Females,Netherlands,80.7
Annual,Percentage,From 15 to 64 years,Females,Poland,88.2
Annual,Percentage,From 15 to 64 years,Females,Portugal,89.2
Annual,Percentage,From 15 to 64 years,Females,Romania,89.5
Annual,Percentage,From 15 to 64 years,Females,Sweden,74.3
Annual,Percentage,From 15 to 64 years,Females,Slovenia,83.7
Annual,Percentage,From 15 to 64 years,Females,Slovakia,82.2
Annual,Percentage,From 15 to 64 years,Females,United Kingdom,84.7
Annual,Percentage,From 15 to 64 years,Males,Austria,83.7
Annual,Percentage,From 15 to 64 years,Males,Belgium,76.2
Annual,Percentage,From 15 to 64 years,Males,Bulgaria,92.3
Annual,Percentage,From 15 to 64 years,Males,Cyprus,93.5
Annual,Percentage,From 15 to 64 years,Males,Czechia,87.0
Annual,Percentage,From 15 to 64 years,Males,Germany,82.0
Annual,Percentage,From 15 to 64 years,Males,Denmark,80.5
Annual,Percentage,From 15 to 64 years,Males,Estonia,84.5
Annual,Percentage,From 15 to 64 years,Males,Greece,86.7
Annual,Percentage,From 15 to 64 years,Males,Spain,87.0
