Time frequency,annex,indic_sb,priority,unit,nace_r1,cpa02,partner,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6512BC,TOTAL,NO,:,:,0.0,0.0,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6512BD,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6512BE,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6512C,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6512C,TOTAL,ES,7.095,24.0,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J652,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J652,TOTAL,ES,:,0.0,144.0,165.0,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6521,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6522,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6522,TOTAL,SE,108.887,113.953 b,141.697,159.617,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6522A,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6522B,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6522C,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6522D,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6522D,TOTAL,ES,:,:,43.0,47.0,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6522E,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6522E,TOTAL,ES,:,:,101.0,118.0,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6523,TOTAL,BE,: m,: m,: m,: m,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6523,TOTAL,ES,0.0,0.0,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6523,TOTAL,FI,51.015,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6523,TOTAL,NO,1.122 p,0.709,1.083 p,0.986,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6523A,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6523B,TOTAL,BE,: m,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J67,TOTAL,BE,: m,: m,: m,: m,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J67,TOTAL,ES,:,0.0,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J67,TOTAL,NO,:,105.719,103.244 p,138.298,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J671,TOTAL,BE,: m,: m,: m,: m,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J671,TOTAL,ES,0.03,0.0,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J671,TOTAL,FI,71.081,:,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J671,TOTAL,NO,94.655 p,105.246,103.003 p,138.298,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6712,TOTAL,BE,: m,: m,: m,: m,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6712,TOTAL,CH,0.0,0.0,: @C,: @C,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6712A,TOTAL,BE,: m,: m,: m,: m,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6712B,TOTAL,BE,: m,: m,: m,: m,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J6713,TOTAL,BE,: m,: m,: m,: m,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J672,TOTAL,BE,: m,: m,: m,: m,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J672,TOTAL,ES,0.0,0.0,:,:,:
Annual,6.0,V44130,O,MIO_EUR,J6522,CPA_J672,TOTAL,NO,0.499 p,0.472,0.241 p,0.0,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512,TOTAL,BE,:,:,:,0.0,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512,TOTAL,BG,:,:,20.77,13.6,10.6
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512,TOTAL,ES,1066.979,1157.0,1282.0,1477.0,1643.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512,TOTAL,HU,:,:,112.424,119.406,165.056
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512,TOTAL,LV,:,:,:,:,25.02 p
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512,TOTAL,NO,54.623 p,44.059,45.726 p,44.62,42.12
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512,TOTAL,SE,1439.805,355.207 b,379.676,477.313,464.716
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512A,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512AA,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512AB,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512AC,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512B,TOTAL,ES,:,:,897.0,1035.0,1135.0
