Time frequency,itm_newa,indic_ag,unit,geo\TIME_PERIOD,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,10000.0,PROD_PP,MIO_EUR,BE,3771.09,3461.39,3626.37,3596.12,3569.65,3639.85,3916.1,4033.51,4934.72,4934.72,5159.72,4998.32 e
Annual,10000.0,PROD_PP,MIO_EUR,BG,2620.81,2698.55,2520.02,2572.88,2718.69,2824.48,2822.95,2616.22,4089.8,4902.19,3586.78,3084.91 e
Annual,10000.0,PROD_PP,MIO_EUR,CH,3114.28,3582.01,3486.97,3828.2,3541.03,3533.67,3905.09,3828.91,3360.31,4221.03,4411.4,4184.05 e
Annual,10000.0,PROD_PP,MIO_EUR,CY,310.65,263.02,289.32,247.28,285.02,273.82,285.41,279.41,290.85,324.25,322.08,331.13 e
Annual,10000.0,PROD_PP,MIO_EUR,CZ,2919.57,2882.08,2742.58,2949.7,2815.37,2961.97,3110.53,3300.66,4042.31,4643.11,3927.32,3742.67 e
Annual,10000.0,PROD_PP,MIO_EUR,DE,28210.79,28123.45,24727.02,24877.92,25401.15,22794.05,27518.33,28007.64,29970.78,36278.62,35328.43,34643.31 e
Annual,10000.0,PROD_PP,MIO_EUR,DK,3473.08,3460.5,3691.48,3206.14,3635.94,3510.28,3758.23,4000.92,4542.11,5551.75,4289.6,3680.41 e
Annual,10000.0,PROD_PP,MIO_EUR,EA19,167993.68,163735.96,167214.84,164147.28,168032.97,174800.7,178916.43,179698.43,196958.44,227415.19,217569.31,215432.49 e
Annual,10000.0,PROD_PP,MIO_EUR,EA20,169393.64,164850.18,168392.23,165404.19,169258.35,176173.0,180283.92,181099.17,198558.85,229355.05,219115.01,216992.85 e
Annual,10000.0,PROD_PP,MIO_EUR,EE,382.24,384.39,467.22,317.75,369.28,348.97,502.79,483.79,565.29,815.39,517.92,505.58 e
Annual,10000.0,PROD_PP,MIO_EUR,EL,6862.88,6995.73,7560.27,7122.63,7808.62,7592.88,7882.88,7948.64,8289.55,10365.11,9510.83,10490.73 e
Annual,10000.0,PROD_PP,MIO_EUR,ES,25659.64,25370.64,26890.47,29098.22,29684.21,31105.74,29807.02,30188.76,34931.38,36903.46,35308.37,38469.27 e
Annual,10000.0,PROD_PP,MIO_EUR,EU27_2020,209307.54,203292.82,204609.81,201985.05,208927.28,216701.07,222557.41,222418.21,248896.75,288428.82,270975.9,264312.21 e
Annual,10000.0,PROD_PP,MIO_EUR,FI,1772.59,1627.53,1594.09,1582.8,1527.78,1576.03,2118.91,1836.13,1716.03,2458.06,2039.83,2096.67 e
Annual,10000.0,PROD_PP,MIO_EUR,FR,41029.5,41355.3,42222.07,38963.46,40269.39,44672.45,43678.17,42440.55,45180.66,54000.16,50159.3,43273.70 e
Annual,10000.0,PROD_PP,MIO_EUR,HR,1399.95,1114.23,1177.38,1256.92,1225.39,1372.3,1367.49,1400.73,1600.41,1939.86,1545.7,1560.36 e
Annual,10000.0,PROD_PP,MIO_EUR,HU,4588.46,4702.26,4591.52,4929.98,4784.16,4795.71,4890.51,4859.28,5746.78,5825.47,6356.64,5507.23 e
Annual,10000.0,PROD_PP,MIO_EUR,IE,2066.36,1747.49,1737.28,1767.43,1889.64,2125.24,1885.0,1957.37,2150.89,2656.0,2491.21,2627.84 e
Annual,10000.0,PROD_PP,MIO_EUR,IS,110.85,132.27,114.34,118.77,134.62,106.5,111.48,114.8,124.94,147.52,149.77,126.49 e
Annual,10000.0,PROD_PP,MIO_EUR,IT,31340.26,28581.27,30881.69,29271.33,29373.92,32328.94,31567.09,32690.03,34849.83,40862.99,38730.07,40477.88 e
