Time frequency,Unit of measure,Forestry indicators,Protected or protective area,Geopolitical entity (reporting)\Time,1990.0,2000.0,2005.0,2010.0,2015.0
Annual,Thousand hectares,Forest,Area with a protective function,Austria,654 e,679 e,697 e,713 e,713 e
Annual,Thousand hectares,Forest,Area with a protective function,Belgium,:,179.1,175.0,170.9,167.6
Annual,Thousand hectares,Forest,Area with a protective function,Bulgaria,630.0,665.0,597.0,583.0,569.0
Annual,Thousand hectares,Forest,Area with a protective function,Cyprus,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Area with a protective function,Czechia,:,179.97,251.56,281.25,312.27
Annual,Thousand hectares,Forest,Area with a protective function,Germany,:,2981.0,3737.0,4616.0,4616 e
Annual,Thousand hectares,Forest,Area with a protective function,Denmark,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Area with a protective function,Estonia,153.29 e,256.04,207.61,138.93,137.95
Annual,Thousand hectares,Forest,Area with a protective function,Spain,3260.19,4328.99,4406.81,4608.7,4651.81
Annual,Thousand hectares,Forest,Area with a protective function,European Union - 27 countries (from 2020),15382.4,24151.5,29173.8,31654.1,32542.4
Annual,Thousand hectares,Forest,Area with a protective function,European Union - 28 countries (2013-2020),15382.4 e,24151.5 e,29173.8 e,31654.1 e,32542.4 e
Annual,Thousand hectares,Forest,Area with a protective function,Finland,:,654.0,497.0,307.0,307.0
Annual,Thousand hectares,Forest,Area with a protective function,France,:,:,:,906.39,906.39 e
Annual,Thousand hectares,Forest,Area with a protective function,Croatia,53.0,68.0,75.0,82.0,73.0
Annual,Thousand hectares,Forest,Area with a protective function,Hungary,202.7,218.24,181.46,197.82,200.65
Annual,Thousand hectares,Forest,Area with a protective function,Italy,7034.17,7488.14,7715.12,7950.13,8185.14
Annual,Thousand hectares,Forest,Area with a protective function,Lithuania,:,230.0,258.0,246.0,251.0
Annual,Thousand hectares,Forest,Area with a protective function,Latvia,51.0,71.0,122.0,131.0,141.0
Annual,Thousand hectares,Forest,Area with a protective function,Netherlands,:,:,:,4.5,4.5
Annual,Thousand hectares,Forest,Area with a protective function,Poland,1356 e,2753.0,2907.0,2991.29,3152.4
Annual,Thousand hectares,Forest,Area with a protective function,Portugal,:,:,:,:,380.09
Annual,Thousand hectares,Forest,Area with a protective function,Romania,1988.0,3009.0,3013.0,3087.0,3087 e
Annual,Thousand hectares,Forest,Area with a protective function,Sweden,:,:,3894.0,4032.0,4032.0
Annual,Thousand hectares,Forest,Area with a protective function,Slovenia,:,74.14,94.84,249.4,299.9
Annual,Thousand hectares,Forest,Area with a protective function,Slovakia,:,316.9,344.4,357.8,354.7
Annual,Thousand hectares,Forest,Area with a protective function,United Kingdom,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Austria,654.0,679.0,697.0,713.0,713.0
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Belgium,:,179.1,175.0,170.9,167.6
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Bulgaria,430.0,433.0,451.0,439.0,427.0
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Cyprus,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Czechia,:,170.35,228.59,251.33,278.22
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Germany,:,2981.0,3737.0,4616.0,4616 e
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Denmark,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Estonia,153.29,256.04,207.61,138.93,137.95
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Spain,3260.19,4328.99,4406.81,4608.7,4651.81
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",European Union - 27 countries (from 2020),15003.1,22049.5,23436.2,25108.9,25562.3
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",European Union - 28 countries (2013-2020),15003.05,22049.46 e,23436.23 e,25108.86 e,25562.3 e
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Croatia,51.0,66.0,73.0,80.0,71.0
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Hungary,195.4,181.84,149.9,169.03,172.33
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Italy,6973.17,7427.14,7654.12,7889.13,8124.14
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Lithuania,:,217.0,236.0,222.0,227.0
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Luxembourg,:,1.2,1.2,1.2,1.2
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Latvia,51.0,71.0,122.0,131.0,141.0
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Netherlands,:,:,:,4.5,4.5
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Poland,1356.0,1838.0,2021.0,2155.04,2309.2
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Portugal,:,:,:,:,380.09
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Romania,1879.0,2843.0,2847.0,2917.0,2490.0
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Slovenia,:,74.0,94.7,249.1,299.6
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",Slovakia,:,302.8,334.3,353.0,350.7
Annual,Thousand hectares,Forest,"Area protecting soil, water and other ecosystems",United Kingdom,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Belgium,:,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Bulgaria,200.0,232.0,146.0,144.0,142.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Cyprus,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Czechia,:,179.97,251.56,281.25,312.27
Annual,Thousand hectares,Forest,Area protecting infrastructure,Denmark,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Estonia,:,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Spain,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,European Union - 27 countries (from 2020),379.3,1619.6,1576.4,1552.4,1417.1
Annual,Thousand hectares,Forest,Area protecting infrastructure,European Union - 28 countries (2013-2020),379.3,1619.61,1576.36 e,1552.39 e,1417.09
Annual,Thousand hectares,Forest,Area protecting infrastructure,Croatia,2.0,2.0,2.0,2.0,2.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Hungary,7.3,36.4,31.56,28.79,28.32
Annual,Thousand hectares,Forest,Area protecting infrastructure,Italy,61.0,61.0,61.0,61.0,61.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Lithuania,:,13.0,22.0,24.0,24.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Luxembourg,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Latvia,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Netherlands,:,:,:,0.0,0.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,Poland,:,915.0,886.0,836.25,843.2
Annual,Thousand hectares,Forest,Area protecting infrastructure,Romania,109.0,166.0,166.0,170.0,:
Annual,Thousand hectares,Forest,Area protecting infrastructure,Slovenia,:,0.14,0.14,0.3,0.3
Annual,Thousand hectares,Forest,Area protecting infrastructure,Slovakia,:,14.1,10.1,4.8,4.0
Annual,Thousand hectares,Forest,Area protecting infrastructure,United Kingdom,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Austria,746.0,773.0,801.0,833.0,833.0
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Belgium,:,179.1 e,175 e,170.9 e,167.6 e
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Bulgaria,630.0,665.0,597.0,583.0,569.0
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Cyprus,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Czechia,:,179.97,251.56,281.25,312.27
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Germany,:,2981.0,3737.0,4616.0,5500.0
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Denmark,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Estonia,:,275.72,231.64,157.88,157.38
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Spain,5382.74,6510.21,6566.68,6600.71,6628.92
