Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2006.0
Annual,Euro,Ostösterreich,13.83
Annual,Euro,Südösterreich,12.4
Annual,Euro,Westösterreich,13.07
Annual,Euro,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,18.9
Annual,Euro,Vlaams Gewest,16.48
Annual,Euro,Région wallonne,16.52
Annual,Euro,Severna i Yugoiztochna Bulgaria,1.04
Annual,Euro,Yugozapadna i Yuzhna tsentralna Bulgaria,1.19
Annual,Euro,Cyprus,11.04
Annual,Euro,Czechia,4.21
Annual,Euro,Baden-Württemberg,17.29
Annual,Euro,Bayern,16.5
Annual,Euro,Berlin,15.64
Annual,Euro,Brandenburg,12.49
Annual,Euro,Bremen,16.63
Annual,Euro,Hamburg,18.61
Annual,Euro,Hessen,18.53
Annual,Euro,Mecklenburg-Vorpommern,11.81
Annual,Euro,Niedersachsen,15.37
Annual,Euro,Nordrhein-Westfalen,16.2
Annual,Euro,Rheinland-Pfalz,15.83
Annual,Euro,Saarland,15.41
Annual,Euro,Sachsen,11.71
Annual,Euro,Sachsen-Anhalt,11.54
Annual,Euro,Schleswig-Holstein,14.82
Annual,Euro,Thüringen,17.41
Annual,Euro,Denmark,22.38
Annual,Euro,Estonia,3.55
Annual,Euro,Noroeste,9.31
Annual,Euro,Noreste,10.94
Annual,Euro,Comunidad de Madrid,11.31
Annual,Euro,Centro (ES),8.97
Annual,Euro,Este,10.17
Annual,Euro,Sur,9.14
Annual,Euro,Canarias,8.5
Annual,Euro,Manner-Suomi,15.52
Annual,Euro,Åland,15.34
Annual,Euro,Ile de France,19.14
Annual,Euro,Bassin Parisien (NUTS 2013),14.26
Annual,Euro,Nord-Pas-de-Calais (NUTS 2013),14.56
Annual,Euro,Est (FR) (NUTS 2013),14.74
Annual,Euro,Ouest (FR) (NUTS 2013),14.23
Annual,Euro,Sud-Ouest (FR) (NUTS 2013),14.32
Annual,Euro,Centre-Est (FR) (NUTS 2013),15.01
Annual,Euro,Méditerranée (NUTS 2013),15.04
Annual,Euro,Közép-Magyarország,4.15
Annual,Euro,Dunántúl,3.14
Annual,Euro,Alföld és Észak,2.92
Annual,Euro,Ireland,20.83
Annual,Euro,Iceland,17.92
Annual,Euro,Nord-Ovest,13.27
Annual,Euro,Nord-Est (NUTS 2006),12.54
Annual,Euro,Centro (I) (NUTS 2006),13.81
Annual,Euro,Sud,14.52
Annual,Euro,Isole,14.75
Annual,Euro,Lithuania,2.74
Annual,Euro,Luxembourg,19.19
Annual,Euro,Latvia,2.64
Annual,Euro,Malta,7.4
Annual,Euro,Noord-Nederland,14.33
Annual,Euro,Oost-Nederland,14.13
Annual,Euro,West-Nederland,16.05
Annual,Euro,Zuid-Nederland,14.5
Annual,Euro,Norway,23.83
Annual,Euro,Poland,4.12
Annual,Euro,Continente,7.02
Annual,Euro,Região Autónoma dos Açores,5.61
Annual,Euro,Região Autónoma da Madeira,7.0
Annual,Euro,Macroregiunea Unu,1.68
Annual,Euro,Macroregiunea Doi,1.59
Annual,Euro,Macroregiunea Trei,2.24
Annual,Euro,Macroregiunea Patru,1.68
Annual,Euro,Östra Sverige,16.95
Annual,Euro,Södra Sverige,15.38
Annual,Euro,Norra Sverige,14.88
Annual,Euro,Slovenia,6.75
Annual,Euro,Slovakia,3.1
Annual,Euro,Türkiye,3.1
Annual,Euro,North East (UK) (NUTS 2021),16.73
Annual,Euro,North West (UK) (NUTS 2021),18.28
Annual,Euro,Yorkshire and The Humber (NUTS 2021),17.22
Annual,Euro,East Midlands (UK) (NUTS 2021),17.43
Annual,Euro,West Midlands (UK) (NUTS 2021),17.68
Annual,Euro,East of England (NUTS 2021),18.89
Annual,Euro,London (NUTS 2021),26.91
Annual,Euro,South East (UK) (NUTS 2021),20.45
Annual,Euro,South West (UK) (NUTS 2021),18.1
Annual,Euro,Wales (NUTS 2021),16.94
Annual,Euro,Scotland (NUTS 2021),18.35
Annual,Euro,Northern Ireland (UK) (NUTS 2021),16.95
Annual,Euro,Unknown,8.73
