Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2009.0,2012.0,2015.0,2018.0
Annual,"Index, 2009=100",Austria,100.0,105.8,109.1,106.2
Annual,"Index, 2009=100",Belgium,100.0,109.3,114.8,118.4
Annual,"Index, 2009=100",Czechia,100.0,103.5,108.5,102.6
Annual,"Index, 2009=100",Germany,100.0,103.2,107.9,110.4
Annual,"Index, 2009=100",Denmark,100.0,103.3,106.8,106.0
Annual,"Index, 2009=100",Estonia,100.0,104.7,110.2,96.4
Annual,"Index, 2009=100",Greece,100.0,112.2,117.3,139.4
Annual,"Index, 2009=100",Spain,100.0,104.0,107.6,117.0
Annual,"Index, 2009=100",European Union (aggregate changing according to the context),100.0,103.7,107.8,111.2
Annual,"Index, 2009=100",Finland,100.0,103.7,107.7,109.8
Annual,"Index, 2009=100",France,100.0,102.6,105.6,110.9
Annual,"Index, 2009=100",Hungary,100.0,105.5,113.8,111.7
Annual,"Index, 2009=100",Ireland,100.0,103.5,104.0,114.6
Annual,"Index, 2009=100",Italy,100.0,102.7,105.2,100.0
Annual,"Index, 2009=100",Lithuania,100.0,102.1,106.0,82.2
Annual,"Index, 2009=100",Luxembourg,100.0,109.6,110.9,83.9
Annual,"Index, 2009=100",Latvia,100.0,101.8,104.9,112.3
Annual,"Index, 2009=100",Netherlands,100.0,106.0,112.1,116.6
Annual,"Index, 2009=100",Poland,100.0,103.0,107.1,111.7
Annual,"Index, 2009=100",Portugal,100.0,102.5,105.2,126.5
Annual,"Index, 2009=100",Sweden,100.0,103.4,110.8,121.3
Annual,"Index, 2009=100",Slovenia,100.0,105.9,108.9,144.5
Annual,"Index, 2009=100",Slovakia,100.0,107.0,114.9,132.0
Annual,"Index, 2009=100",United Kingdom,100.0,103.7,108.9,107.0
Annual,"Index, 2012=100",Austria,:,100.0,103.0,100.3
Annual,"Index, 2012=100",Belgium,:,100.0,105.1,108.3
Annual,"Index, 2012=100",Bulgaria,:,100.0,107.2,133.6
Annual,"Index, 2012=100",Cyprus,:,100.0,104.7,121.2
Annual,"Index, 2012=100",Czechia,:,100.0,104.9,99.2
Annual,"Index, 2012=100",Germany,:,100.0,104.5,107.0
Annual,"Index, 2012=100",Denmark,:,100.0,103.3,102.6
Annual,"Index, 2012=100",Estonia,:,100.0,105.3,92.1
Annual,"Index, 2012=100",Greece,:,100.0,104.6,124.3
Annual,"Index, 2012=100",Spain,:,100.0,103.5,112.5
Annual,"Index, 2012=100",European Union - 27 countries (2007-2013),:,100.0,104.0,108.4
Annual,"Index, 2012=100",European Union (aggregate changing according to the context),:,100.0,103.9,107.2
Annual,"Index, 2012=100",Finland,:,100.0,103.8,105.8
Annual,"Index, 2012=100",France,:,100.0,102.9,108.1
Annual,"Index, 2012=100",Hungary,:,100.0,107.9,105.8
Annual,"Index, 2012=100",Ireland,:,100.0,100.5,110.7
Annual,"Index, 2012=100",Italy,:,100.0,102.4,97.4
Annual,"Index, 2012=100",Lithuania,:,100.0,103.8,80.5
Annual,"Index, 2012=100",Luxembourg,:,100.0,101.2,76.6
Annual,"Index, 2012=100",Latvia,:,100.0,103.0,110.3
Annual,"Index, 2012=100",Malta,:,100.0,100.0,115.9
Annual,"Index, 2012=100",Netherlands,:,100.0,105.7,110.0
Annual,"Index, 2012=100",Poland,:,100.0,103.9,108.4
Annual,"Index, 2012=100",Portugal,:,100.0,102.6,123.4
Annual,"Index, 2012=100",Romania,:,100.0,105.4,139.5
Annual,"Index, 2012=100",Sweden,:,100.0,107.1,117.3
Annual,"Index, 2012=100",Slovenia,:,100.0,102.8,136.5
Annual,"Index, 2012=100",Slovakia,:,100.0,107.3,123.4
Annual,"Index, 2012=100",United Kingdom,:,100.0,105.1,103.2
Annual,"Index, 2015=100",Austria,:,:,100.0,97.4
Annual,"Index, 2015=100",Belgium,:,:,100.0,103.1
Annual,"Index, 2015=100",Bulgaria,:,:,100.0,124.6
Annual,"Index, 2015=100",Cyprus,:,:,100.0,115.8
Annual,"Index, 2015=100",Czechia,:,:,100.0,94.6
Annual,"Index, 2015=100",Germany,:,:,100.0,102.3
Annual,"Index, 2015=100",Denmark,:,:,100.0,99.3
Annual,"Index, 2015=100",Estonia,:,:,100.0,87.5
Annual,"Index, 2015=100",Greece,:,:,100.0,118.8
Annual,"Index, 2015=100",Spain,:,:,100.0,108.7
Annual,"Index, 2015=100",European Union - 27 countries (2007-2013),:,:,100.0,104.3
Annual,"Index, 2015=100",European Union - 27 countries (from 2020),:,:,100.0,104.6
Annual,"Index, 2015=100",European Union - 28 countries (2013-2020),:,:,100.0,104.0
Annual,"Index, 2015=100",European Union (aggregate changing according to the context),:,:,100.0,103.1
Annual,"Index, 2015=100",Finland,:,:,100.0,101.9
Annual,"Index, 2015=100",France,:,:,100.0,105.0
Annual,"Index, 2015=100",Croatia,:,:,100.0,85.9
Annual,"Index, 2015=100",Hungary,:,:,100.0,98.1
Annual,"Index, 2015=100",Ireland,:,:,100.0,110.2
Annual,"Index, 2015=100",Italy,:,:,100.0,95.1
Annual,"Index, 2015=100",Lithuania,:,:,100.0,77.5
Annual,"Index, 2015=100",Luxembourg,:,:,100.0,75.7
Annual,"Index, 2015=100",Latvia,:,:,100.0,107.0
Annual,"Index, 2015=100",Malta,:,:,100.0,115.9
Annual,"Index, 2015=100",Netherlands,:,:,100.0,104.0
Annual,"Index, 2015=100",Poland,:,:,100.0,104.3
Annual,"Index, 2015=100",Portugal,:,:,100.0,120.3
Annual,"Index, 2015=100",Romania,:,:,100.0,132.4
Annual,"Index, 2015=100",Sweden,:,:,100.0,109.5
Annual,"Index, 2015=100",Slovenia,:,:,100.0,132.8
Annual,"Index, 2015=100",Slovakia,:,:,100.0,114.9
Annual,"Index, 2015=100",United Kingdom,:,:,100.0,98.3
