Time frequency,Waste management operations,Waste categories,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2020.0,2021.0,2022.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Austria,136.0,134.0,131.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Belgium,146.0,149.0,151.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Bulgaria,114.0,109.0,95.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Cyprus,273.0,285 e,294 e
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Czechia,91 e,108.0,101.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Germany,131.0,131.0,129.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Denmark,221.0,230.0,254.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Estonia,125.0,128.0,134.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Greece,191.0,193.0,:
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Spain,69.0,67.0,65.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,European Union - 27 countries (from 2020),128 i,129 i,127 i
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Finland,113.0,122.0,109.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,France,129.0,129.0,139.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Croatia,73.0,72 e,72 e
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Hungary,94.0,92.0,84.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Ireland,152.0,147.0,144.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Iceland,:,:,159.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Italy,136.0,140.0,139.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Lithuania,137 e,139 e,:
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Luxembourg,147.0,127.0,122.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Latvia,145.0,130.0,124.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Malta,160.0,156.0,162.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Netherlands,161.0,148.0,129.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Norway,165.0,159.0,165.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Poland,120.0,122 e,123.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Portugal,175 e,181 e,184 e
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Romania,166.0,177.0,181.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Sweden,121 e,118 e,117 e
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Slovenia,74.0,73.0,71.0
Annual,Waste collected,"Food waste - bio, household and similar waste",Total (aggregate changing according to the context),Kilograms per capita,Slovakia,107.0,101.0,106.0
