Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,Total area (km²),Algeria,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,2381741.0,:
Annual,Total area (km²),Egypt,1009450 i,1009450 i,1009450 i,:,:,1001450 i,:,:,:,:,:,:,:,:,:
Annual,Total area (km²),Israel,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i,22072 i
Annual,Total area (km²),Jordan,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,89318.0,:
Annual,Total area (km²),Lebanon,10452.0,10452.0,10452.0,10452.0,10452.0,10452.0,:,:,:,:,:,:,:,:,:
Annual,Total area (km²),Morocco,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,710850.0,:,:,:,:,:,:,:
Annual,Total area (km²),Tunisia,164150.0,164150.0,164150.0,164150.0,164150.0,164150.0,164150.0,164150.0,:,:,:,:,:,:,:
Annual,Population density (Inhab / Km²),Algeria,13.8,14.1,14.3,14.5,14.8,15.1,15.4,15.7,16.1,16.4,16.8,17.0,17.3,:,:
Annual,Population density (Inhab / Km²),Egypt,70.3,71.5,73.0,74.6,76.2,78.0,79.8,81.8,83.8,85.0,87.0,90.4,92.4,96.6,98.1
Annual,Population density (Inhab / Km²),Israel,299.2 d,305.2 d,310.5 d,315.6 d,320.9 d,328.7 d,334.5 d,347.1 d,353.1 d,359.0 d,366.0 d,373.0 d,380.2 d,387.4 d,394.6 d
Annual,Population density (Inhab / Km²),Jordan,63.0 d,64.9 d,66.8 d,68.8 d,70.9 d,73.1 d,75.4 d,78.8 d,83.7 d,91.4 d,99.2 d,107.7 d,110.3 d,113.2 d,:
Annual,Population density (Inhab / Km²),Lebanon,:,:,359.7,:,362.0,:,:,362.0,:,:,:,:,:,:,:
Annual,Population density (Inhab / Km²),Morocco,42.0,43.0,43.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
Annual,Population density (Inhab / Km²),Palestine*,582.7,600.0,608.4,625.7,642.6,659.4,676.2,693.1,709.9,726.7,743.6,760.4,777.2,795.7,815.8
Annual,Population density (Inhab / Km²),Tunisia,61.1,61.7,62.3,62.9,63.6,64.3,65.0,65.7,66.4,67.1,68.0,68.4,:,:,:
