Time frequency,Unit of measure,Severity (days lost),Activity and employment status,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Number,4 days or over,Contributing family workers,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,24414.0,16935.0,17682.0,16363.0,15067.0,13347.0,13603.0,13326.0,12522.0,19852.0,18934.0,16434 p
Annual,Number,4 days or over,Contributing family workers,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,28915.0,17775.0,18575.0,18023.0,17191.0,15463.0,15432.0,15218.0,14733.0,22453.0,21398.0,18593 p
Annual,Number,4 days or over,Contributing family workers,Manufacturing,European Union - 15 countries (1995-2004) and Norway,615.0,349.0,382.0,651.0,774.0,794.0,665.0,636.0,721.0,977.0,835.0,757 p
Annual,Number,4 days or over,Contributing family workers,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,0.0,7.0,7.0,0.0,1.0,0.0,0.0,: p,: p,:,:,: p
Annual,Number,4 days or over,Contributing family workers,Construction,European Union - 15 countries (1995-2004) and Norway,377.0,288.0,276.0,593.0,793.0,729.0,687.0,748.0,870.0,995.0,1041.0,839 p
Annual,Number,4 days or over,Contributing family workers,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,187.0,102.0,116.0,199.0,245.0,272.0,221.0,242.0,223.0,311.0,248.0,246 p
Annual,Number,4 days or over,Contributing family workers,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,11.0,8.0,9.0,12.0,27.0,30.0,12.0,24.0,135.0,40.0,24.0,31 p
Annual,Number,4 days or over,Contributing family workers,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,79.0,64.0,78.0,163.0,216.0,228.0,191.0,189.0,203.0,220.0,235.0,210 p
Annual,Number,4 days or over,Contributing family workers,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,32.0,22.0,25.0,42.0,66.0,63.0,52.0,53.0,60.0,59.0,80.0,75 p
Annual,Number,4 days or over,Contributing family workers,Total - all NACE activities,European Union - 15 countries (1995-2004) and Norway,28959.0,17815.0,18619.0,18089.0,17289.0,15584.0,15509.0,15299.0,14833.0,22650.0,21530.0,18699 p
Annual,Number,4 days or over,Employed persons,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,362241.0,352013.0,346934.0,362931.0,342588.0,319215.0,284998.0,271568.0,260458.0,233072.0,200786.0,179078 p
Annual,Number,4 days or over,Employed persons,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,4010391.0,3938564.0,4002123.0,4108755.0,4131112.0,4022507.0,3729775.0,3522747.0,3345092.0,3315074.0,3243998.0,3082443 p
Annual,Number,4 days or over,Employed persons,Manufacturing,European Union - 15 countries (1995-2004) and Norway,1380485.0,1361948.0,1381397.0,1365190.0,1351293.0,1311366.0,1170136.0,1086018.0,1020907.0,986033.0,961490.0,893919 p
Annual,Number,4 days or over,Employed persons,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,21319.0,21529.0,20825.0,17812.0,18505.0,16558.0,21596.0,21756.0,20902.0,21338.0,18498.0,17168 p
Annual,Number,4 days or over,Employed persons,Construction,European Union - 15 countries (1995-2004) and Norway,838895.0,833024.0,840198.0,854295.0,855708.0,834266.0,795229.0,761353.0,728945.0,735377.0,725995.0,680887 p
Annual,Number,4 days or over,Employed persons,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,494554.0,488016.0,504301.0,530309.0,547658.0,537176.0,548073.0,520314.0,495037.0,503122.0,487288.0,470551 p
Annual,Number,4 days or over,Employed persons,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,177782.0,182052.0,189210.0,202638.0,215111.0,207984.0,201984.0,198518.0,193351.0,198097.0,195245.0,189581 p
Annual,Number,4 days or over,Employed persons,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,445853.0,442782.0,446888.0,453407.0,457192.0,446806.0,350334.0,320748.0,320710.0,321941.0,324355.0,313254 p
Annual,Number,4 days or over,Employed persons,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,241782.0,257200.0,272370.0,322173.0,343058.0,349135.0,357425.0,342473.0,304781.0,316095.0,330342.0,338005 p
Annual,Number,4 days or over,Employed persons,Total - all NACE activities,European Union - 15 countries (1995-2004) and Norway,4832329.0,4695933.0,4766484.0,4871588.0,4904162.0,4779030.0,4479911.0,4244294.0,4035176.0,4048491.0,3955550.0,3808859 p
Annual,Number,4 days or over,Others,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,2504.0,1400.0,1407.0,1603.0,1306.0,950.0,839.0,812.0,902.0,3415.0,3138.0,3064 p
Annual,Number,4 days or over,Others,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,108095.0,63357.0,61706.0,65456.0,60899.0,52700.0,47043.0,44312.0,44796.0,77435.0,76532.0,72822 p
Annual,Number,4 days or over,Others,Manufacturing,European Union - 15 countries (1995-2004) and Norway,35590.0,23560.0,23736.0,23630.0,21254.0,17865.0,15061.0,13355.0,12938.0,24696.0,23662.0,22136 p
Annual,Number,4 days or over,Others,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,235.0,192.0,211.0,184.0,165.0,135.0,136.0,136.0,119.0,351.0,346.0,330 p
Annual,Number,4 days or over,Others,Construction,European Union - 15 countries (1995-2004) and Norway,25568.0,17459.0,16928.0,19114.0,18782.0,16963.0,15542.0,15159.0,15910.0,24148.0,24114.0,24317 p
Annual,Number,4 days or over,Others,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,21409.0,12981.0,11996.0,12442.0,11611.0,10160.0,9678.0,9296.0,9115.0,14426.0,14203.0,12584 p
Annual,Number,4 days or over,Others,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,7890.0,4963.0,4715.0,5235.0,5023.0,4283.0,4098.0,3898.0,4058.0,7012.0,7142.0,6920 p
Annual,Number,4 days or over,Others,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,8855.0,1276.0,1229.0,1420.0,1166.0,1043.0,731.0,812.0,838.0,1126.0,1567.0,1098 p
Annual,Number,4 days or over,Others,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,5716.0,1526.0,1484.0,1828.0,1591.0,1301.0,957.0,843.0,915.0,2260.0,2360.0,2372 p
Annual,Number,4 days or over,Others,Total - all NACE activities,European Union - 15 countries (1995-2004) and Norway,156639.0,79099.0,75731.0,78637.0,72662.0,62779.0,54908.0,52095.0,53226.0,94058.0,93686.0,86829 p
Annual,Number,4 days or over,Employees,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,85991.0,93411.0,99857.0,98098.0,90336.0,86959.0,84698.0,85151.0,83121.0,112235.0,83635.0,84160 p
Annual,Number,4 days or over,Employees,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,1891133.0,1907162.0,2042282.0,2105974.0,2104700.0,2265474.0,2319660.0,2266817.0,2123860.0,2803803.0,2746142.0,2761356 p
Annual,Number,4 days or over,Employees,Manufacturing,European Union - 15 countries (1995-2004) and Norway,700547.0,700267.0,739472.0,722105.0,704852.0,753098.0,739536.0,700494.0,658350.0,868718.0,851416.0,838171 p
Annual,Number,4 days or over,Employees,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,15769.0,16421.0,16604.0,13775.0,14180.0,13419.0,13786.0,14399.0,14206.0,19088.0,16579.0,15962 p
Annual,Number,4 days or over,Employees,Construction,European Union - 15 countries (1995-2004) and Norway,357489.0,357618.0,396519.0,413664.0,420890.0,460872.0,473838.0,471519.0,452658.0,597019.0,593284.0,589336 p
Annual,Number,4 days or over,Employees,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,287457.0,288281.0,306281.0,320421.0,322094.0,351701.0,381695.0,375281.0,348361.0,447386.0,430835.0,442736 p
Annual,Number,4 days or over,Employees,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,103007.0,106262.0,114639.0,124566.0,127867.0,133503.0,142567.0,142362.0,136030.0,174975.0,170689.0,174184 p
Annual,Number,4 days or over,Employees,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,163128.0,164867.0,174726.0,186391.0,192595.0,205692.0,219635.0,220631.0,214800.0,290194.0,292031.0,290494 p
Annual,Number,4 days or over,Employees,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,166474.0,180035.0,194184.0,226954.0,231886.0,260230.0,263907.0,256980.0,216334.0,294188.0,307673.0,326313 p
Annual,Number,4 days or over,Employees,Total - all NACE activities,European Union - 15 countries (1995-2004) and Norway,2264807.0,2266139.0,2421026.0,2502680.0,2504503.0,2693931.0,2771794.0,2727693.0,2576133.0,3468874.0,3396724.0,3424216 p
Annual,Number,4 days or over,Self-employed persons,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,123853.0,112324.0,94748.0,88934.0,81148.0,79890.0,60888.0,60017.0,58166.0,91256.0,88803.0,74556 p
Annual,Number,4 days or over,Self-employed persons,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,259130.0,295271.0,231155.0,220086.0,209439.0,214508.0,166755.0,169524.0,166151.0,222742.0,213454.0,192799 p
Annual,Number,4 days or over,Self-employed persons,Manufacturing,European Union - 15 countries (1995-2004) and Norway,33226.0,57299.0,38967.0,35650.0,30488.0,29785.0,22048.0,21407.0,20758.0,23657.0,20793.0,19687 p
Annual,Number,4 days or over,Self-employed persons,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,88.0,781.0,150.0,101.0,52.0,81.0,30.0,47.0,192.0,128.0,127.0,243 p
Annual,Number,4 days or over,Self-employed persons,Construction,European Union - 15 countries (1995-2004) and Norway,57572.0,75237.0,57186.0,55636.0,57483.0,66046.0,54106.0,56677.0,56824.0,64749.0,60643.0,58568 p
Annual,Number,4 days or over,Self-employed persons,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,12591.0,20335.0,13716.0,12885.0,12528.0,12084.0,9122.0,9072.0,8179.0,10908.0,10596.0,10347 p
Annual,Number,4 days or over,Self-employed persons,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,827.0,1880.0,861.0,1082.0,1091.0,1519.0,915.0,1147.0,1398.0,7598.0,7546.0,7325 p
Annual,Number,4 days or over,Self-employed persons,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,11282.0,21583.0,20706.0,21074.0,19815.0,17648.0,14860.0,14562.0,14326.0,17721.0,17816.0,16111 p
Annual,Number,4 days or over,Self-employed persons,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,3457.0,5832.0,4821.0,4724.0,6835.0,7457.0,4784.0,6594.0,6308.0,6726.0,7130.0,5963 p
Annual,Number,4 days or over,Self-employed persons,Total - all NACE activities,European Union - 15 countries (1995-2004) and Norway,276346.0,315384.0,242349.0,230127.0,219547.0,228262.0,175609.0,178831.0,176484.0,234808.0,224981.0,204776 p
Annual,Number,4 days or over,Unknown,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,125479.0,127943.0,133240.0,157933.0,154730.0,138069.0,124970.0,112261.0,105748.0,6315.0,6274.0,864 p
Annual,Number,4 days or over,Unknown,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,1723118.0,1654999.0,1648405.0,1699216.0,1738883.0,1474363.0,1180886.0,1026875.0,995552.0,188641.0,186471.0,36874 p
Annual,Number,4 days or over,Unknown,Manufacturing,European Union - 15 countries (1995-2004) and Norway,610507.0,580473.0,578840.0,583154.0,593924.0,509825.0,392826.0,350126.0,328139.0,67985.0,64785.0,13168 p
Annual,Number,4 days or over,Unknown,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,5227.0,4128.0,3853.0,3752.0,4107.0,2924.0,7644.0,7174.0,6385.0,1771.0,1444.0,633 p
Annual,Number,4 days or over,Unknown,Construction,European Union - 15 countries (1995-2004) and Norway,397889.0,382422.0,369289.0,365288.0,357760.0,289656.0,251056.0,217249.0,202683.0,48466.0,46913.0,7826 p
Annual,Number,4 days or over,Unknown,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,172910.0,166317.0,172192.0,184362.0,201179.0,162960.0,147356.0,126422.0,129158.0,30091.0,31406.0,4637 p
Annual,Number,4 days or over,Unknown,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,66047.0,68939.0,68986.0,71743.0,81104.0,68650.0,54391.0,51087.0,51730.0,8472.0,9844.0,1121 p
