Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Females,Total,Diabetes mellitus,Austria,32.62,33.62,31.79,32.88,35.57,32.98,31.77,29.76,24.65,25.44,29.74
Annual,Rate,Females,Total,Diabetes mellitus,Belgium,14.08,15.02,13.51,12.78,12.16,10.75,11.05,10.67,10.62,10.79,9.27
Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,21.53,22.96,18.87,20.16,22.92,19.84,19.39,20.85,18.47,20.95,22.03
Annual,Rate,Females,Total,Diabetes mellitus,Switzerland,14.51,14.02,14.96,13.29,14.08,14.07,11.69,11.19,10.26,8.75,9.63
Annual,Rate,Females,Total,Diabetes mellitus,Cyprus,68.15,62.23,64.86,66.04,59.49,41.61,53.95,52.31,51.22,50.74,63.17
Annual,Rate,Females,Total,Diabetes mellitus,Czechia,26.76,23.73,40.19,36.88,38.16,38.26,35.93,41.33,39.36,45.83,43.55
Annual,Rate,Females,Total,Diabetes mellitus,Germany,26.22,26.35,25.61,23.16,24.13,22.01,23.13,22.45,20.95,22.31,21.85
Annual,Rate,Females,Total,Diabetes mellitus,Denmark,21.43,20.27,20.69,19.09,20.65,19.16,18.57,19.9,18.18,16.48,18.07
Annual,Rate,Females,Total,Diabetes mellitus,Estonia,12.86,8.93,10.13,11.58,9.56,10.82,11.97,15.19,15.68,22.64,22.93
Annual,Rate,Females,Total,Diabetes mellitus,Greece,8.04,8.33,10.32,11.68,12.45,12.19,15.08,14.72,15.92,15.7,16.98
Annual,Rate,Females,Total,Diabetes mellitus,Spain,21.06,20.02,18.29,18.12,18.33,16.34,16.54,16.28,15.31,17.52,16.34
Annual,Rate,Females,Total,Diabetes mellitus,European Union - 27 countries (from 2020),22.62,22.55,21.79,20.58,21.72,20.35,20.83,20.38,19.81,22.32,21.67
Annual,Rate,Females,Total,Diabetes mellitus,Finland,6.86,6.82,7.01,6.94,7.15,7.18,7.04,6.75,8.0,7.93,7.69
Annual,Rate,Females,Total,Diabetes mellitus,France,14.4,14.5,14.23,13.55,14.09,13.16,12.87,12.14,11.69,12.44,12.26
Annual,Rate,Females,Total,Diabetes mellitus,Croatia,28.22,31.05 d,28.29 d,32.31,38.91,44.21,54.39,63.92,86.56,103.79,104.02
Annual,Rate,Females,Total,Diabetes mellitus,Hungary,30.14 d,29.61 d,26.18 d,25.88,27.34,26.36,29.72,28.82,28.74,34.23,35.64
Annual,Rate,Females,Total,Diabetes mellitus,Ireland,13.83,15.45,15.43,12.68,13.87,12.29,13.25,12.16,11.0,12.54,13.3
Annual,Rate,Females,Total,Diabetes mellitus,Iceland,7.82,7.33,13.77,8.38,5.97,7.25,11.47,8.2,6.3,6.73,11.83
Annual,Rate,Females,Total,Diabetes mellitus,Italy,29.1,28.7,26.61,25.07,26.85,24.81,25.39,23.67,23.52,27.48,26.38
Annual,Rate,Females,Total,Diabetes mellitus,Liechtenstein,6.81,5.33,:,6.28,:,5.8,0.0,0.0,5.88,11.35,0.0
Annual,Rate,Females,Total,Diabetes mellitus,Lithuania,8.71,10.07,9.46,8.77,9.55,8.88,12.27,16.26,17.35,20.64,20.96
Annual,Rate,Females,Total,Diabetes mellitus,Luxembourg,13.83,12.89,19.07,17.66,16.19,10.6,14.26,10.61,15.63,13.28,11.92
Annual,Rate,Females,Total,Diabetes mellitus,Latvia,26.25,23.17,23.68,24.55,22.14,26.83,28.1,27.65,28.48,31.87,33.58
Annual,Rate,Females,Total,Diabetes mellitus,Malta,10.11,9.71,25.71,37.94,35.02,44.76,43.55,43.92,44.55,49.47,44.5
Annual,Rate,Females,Total,Diabetes mellitus,Netherlands,18.78,17.77,18.61,17.56,17.24,16.64,15.96,14.24,14.5,14.02,13.14
Annual,Rate,Females,Total,Diabetes mellitus,Norway,14.13,14.13,12.74,11.47,10.47,11.38,11.59,9.17,9.49,12.97,11.87
Annual,Rate,Females,Total,Diabetes mellitus,Poland,21.97,22.52,22.71,20.02,24.36,23.29,23.94,23.82,24.06,30.83,27.8
Annual,Rate,Females,Total,Diabetes mellitus,Portugal,41.47,42.62,39.74,35.67,36.05,35.01,33.54,33.19,28.83,30.06,24.03
Annual,Rate,Females,Total,Diabetes mellitus,Romania,11.62,12.03,11.02,11.35,12.47,13.46,12.94,13.51,13.99,18.82,20.77
Annual,Rate,Females,Total,Diabetes mellitus,Serbia,48.84,45.83,40.52,36.7,43.19,46.41,49.12,44.06,42.83,47.16,48.29
Annual,Rate,Females,Total,Diabetes mellitus,Sweden,16.45,17.01,15.51,14.86,16.37,15.86,17.67,16.68,15.76,17.69,16.28
Annual,Rate,Females,Total,Diabetes mellitus,Slovenia,13.73,17.36,15.75,13.39,13.62,13.08,13.7,12.08,15.78,17.0,17.95
Annual,Rate,Females,Total,Diabetes mellitus,Slovakia,21.11,23.34,18.91,21.3,17.87,16.8,16.03,17.77,13.86,17.2,15.73
Annual,Rate,Females,Total,Diabetes mellitus,Türkiye,62.23 d,57.81 d,55.81 d,50.58 d,49.93 d,50.67 d,46 d,44.7 d,38.58 d,46.32 d,45.57 d
Annual,Rate,Females,Total,Diabetes mellitus,United Kingdom,9.04 d,8.93,8.84,9.48,9.29,9.32,9.97,9.85,:,:,:
Annual,Rate,Males,Total,Diabetes mellitus,Austria,45.7,43.6,41.27,45.47,49.41,47.16,42.47,41.98,36.46,38.94,42.75
Annual,Rate,Males,Total,Diabetes mellitus,Belgium,17.28,18.02,17.48,15.88,15.28,15.23,16.41,15.81,14.27,14.64,14.21
Annual,Rate,Males,Total,Diabetes mellitus,Bulgaria,24.19,25.35,20.63,21.65,28.0,26.31,23.12,25.47,23.92,28.37,26.9
Annual,Rate,Males,Total,Diabetes mellitus,Switzerland,20.41,21.28,21.52,19.99,20.9,18.5,21.15,17.7,18.04,15.44,16.16
Annual,Rate,Males,Total,Diabetes mellitus,Cyprus,79.52,80.9,74.64,79.51,71.44,67.44,61.59,56.79,60.75,70.78,83.38
Annual,Rate,Males,Total,Diabetes mellitus,Czechia,31.48,30.83,51.33,47.86,51.58,50.34,49.21,52.86,53.87,60.74,64.71
Annual,Rate,Males,Total,Diabetes mellitus,Germany,32.68,32.25,31.97,29.88,31.45,29.28,31.29,31.04,29.6,31.06,31.14
