Time frequency,Category of voters,Country of citizenship,Unit of measure,Geopolitical entity (reporting)\Time,2024.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Austria,288589.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Belgium,835531.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Bulgaria,347494.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Cyprus,59493.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Czechia,500782 e
Annual,First time voters,European Union - 27 countries (from 2020),Number,Germany,5100000 e
Annual,First time voters,European Union - 27 countries (from 2020),Number,Denmark,321928 e
Annual,First time voters,European Union - 27 countries (from 2020),Number,Estonia,69939.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Greece,581075.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Spain,2452800.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Finland,346686.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,France,4545710 e
Annual,First time voters,European Union - 27 countries (from 2020),Number,Croatia,218415.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Hungary,481923.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Italy,2781706 e
Annual,First time voters,European Union - 27 countries (from 2020),Number,Lithuania,129091 e
Annual,First time voters,European Union - 27 countries (from 2020),Number,Latvia,105005 e
Annual,First time voters,European Union - 27 countries (from 2020),Number,Malta,25723.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Portugal,640075.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Romania,1181358 e
Annual,First time voters,European Union - 27 countries (from 2020),Number,Sweden,572265.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Slovenia,94845.0
Annual,First time voters,European Union - 27 countries (from 2020),Number,Slovakia,260300 e
Annual,Total,European Union - 27 countries (from 2020),Number,Austria,6372204.0
Annual,Total,European Union - 27 countries (from 2020),Number,Belgium,8537902.0
Annual,Total,European Union - 27 countries (from 2020),Number,Bulgaria,6138178.0
Annual,Total,European Union - 27 countries (from 2020),Number,Cyprus,684893.0
Annual,Total,European Union - 27 countries (from 2020),Number,Czechia,8448475 e
Annual,Total,European Union - 27 countries (from 2020),Number,Germany,61941751 e
Annual,Total,European Union - 27 countries (from 2020),Number,Denmark,4525302 e
Annual,Total,European Union - 27 countries (from 2020),Number,Estonia,980010.0
Annual,Total,European Union - 27 countries (from 2020),Number,Greece,9809353.0
Annual,Total,European Union - 27 countries (from 2020),Number,Spain,38050286.0
Annual,Total,European Union - 27 countries (from 2020),Number,Finland,4546589.0
Annual,Total,European Union - 27 countries (from 2020),Number,France,50693220 e
Annual,Total,European Union - 27 countries (from 2020),Number,Croatia,3734780.0
Annual,Total,European Union - 27 countries (from 2020),Number,Hungary,7803555.0
Annual,Total,European Union - 27 countries (from 2020),Number,Ireland,3558051 e
Annual,Total,European Union - 27 countries (from 2020),Number,Italy,47340098 e
Annual,Total,European Union - 27 countries (from 2020),Number,Lithuania,2819567 e
Annual,Total,European Union - 27 countries (from 2020),Number,Luxembourg,489669 e
Annual,Total,European Union - 27 countries (from 2020),Number,Latvia,1541102 e
Annual,Total,European Union - 27 countries (from 2020),Number,Malta,370184.0
Annual,Total,European Union - 27 countries (from 2020),Number,Netherlands,13542363 e
Annual,Total,European Union - 27 countries (from 2020),Number,Poland,32148844 e
Annual,Total,European Union - 27 countries (from 2020),Number,Portugal,10830572.0
Annual,Total,European Union - 27 countries (from 2020),Number,Romania,18976027 e
Annual,Total,European Union - 27 countries (from 2020),Number,Sweden,7942272.0
Annual,Total,European Union - 27 countries (from 2020),Number,Slovenia,1689465.0
Annual,Total,European Union - 27 countries (from 2020),Number,Slovakia,4390400 e
