Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Austria,2060.0,2035.0,2035.0,2000.0,1995.0,2035.0,2045.0,2125.0,2140.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Belgium,3335.0,3270.0,3350.0,3190.0,3175.0,3340.0,3305.0,3240.0,3285.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Bulgaria,1315.0,915.0,665.0,860.0,1185.0,1455.0,1630.0,1720.0,1585.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Switzerland,1375.0,1280.0,1290.0,1295.0,1310.0,1365.0,1435.0,1475.0,1470.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Cyprus,1140.0,1240.0,1210.0,1160.0,1100.0,1090.0,1140.0,1125.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Czechia,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Germany,26375.0,26615.0,26505.0,26370.0,26340.0,26335.0,26355.0,26475.0,26290.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Denmark,140.0,145.0,145.0,140.0,140.0,140.0,145.0,145.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Estonia,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Greece,3000.0,2735.0,2660.0,2595.0,2675.0,2920.0,2995.0,3370.0,3840.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Spain,9825.0,10280.0,10585.0,11020.0,11660.0,11545.0,11915.0,:,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,European Union - 27 countries (from 2020),65680.0,65880.0,65550.0,65485.0,66830.0,66080.0,67425.0,:,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Finland,430.0,420.0,390.0,370.0,350.0,325.0,320.0,325.0,325.0,325.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,France,5320.0,5470.0,5340.0,5475.0,5535.0,3955.0,4160.0,5835.0,6005.0,5940.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Croatia,120.0,120.0,85.0,75.0,75.0,75.0,60.0,55.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Ireland,925.0,975.0,1015.0,1060.0,1120.0,1200.0,1260.0,1280.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Iceland,90.0,85.0,75.0,75.0,70.0,65.0,55.0,45.0,50.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Italy,3440.0,3485.0,3520.0,3740.0,3860.0,3965.0,4090.0,4045.0,4150.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Liechtenstein,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Lithuania,15.0,10.0,15.0,15.0,15.0,20.0,15.0,15.0,10.0,5.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Luxembourg,300.0,295.0,295.0,285.0,280.0,280.0,285.0,285.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Latvia,30.0,30.0,35.0,35.0,40.0,40.0,40.0,40.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Montenegro,5.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Malta,75.0,80.0,75.0,75.0,75.0,70.0,65.0,60.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Netherlands,6485.0,6505.0,6435.0,5935.0,5975.0,6125.0,6335.0,6355.0,6255.0,6295.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Norway,445.0,425.0,415.0,375.0,395.0,415.0,435.0,445.0,430.0,440.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Poland,575.0,565.0,590.0,615.0,635.0,630.0,670.0,690.0,705.0,680.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Portugal,30.0,15.0,20.0,20.0,20.0,15.0,15.0,15.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Romania,60.0,70.0,55.0,40.0,50.0,40.0,65.0,25.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Sweden,535.0,520.0,395.0,355.0,385.0,350.0,370.0,350.0,355.0,345.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovenia,110.0,45.0,105.0,35.0,100.0,105.0,110.0,100.0,115.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovakia,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Austria,6755.0,6835.0,7125.0,6835.0,6360.0,5980.0,5710.0,5865.0,5765.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Belgium,6110.0,6370.0,6940.0,6915.0,7075.0,7345.0,7570.0,7500.0,7505.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Bulgaria,880.0,765.0,625.0,545.0,490.0,480.0,470.0,480.0,480.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Switzerland,3340.0,3270.0,3220.0,3170.0,3165.0,3180.0,3250.0,3315.0,3420.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Cyprus,3145.0,3290.0,3210.0,3150.0,3065.0,3050.0,3035.0,3060.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Czechia,70.0,75.0,75.0,60.0,65.0,65.0,65.0,65.0,65.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Germany,78500.0,78105.0,78025.0,78185.0,78375.0,78820.0,79300.0,79625.0,78945.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Denmark,450.0,445.0,440.0,435.0,430.0,420.0,435.0,450.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Estonia,20.0,25.0,25.0,20.0,20.0,20.0,15.0,15.0,15.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Greece,4680.0,3575.0,3025.0,2600.0,2255.0,2260.0,2320.0,3005.0,3695.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Spain,31695.0,32795.0,33385.0,34735.0,36225.0,35455.0,36270.0,:,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,European Union - 27 countries (from 2020),183785.0,185360.0,186005.0,188045.0,190125.0,179155.0,182480.0,:,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Finland,1050.0,1040.0,1030.0,1010.0,985.0,985.0,945.0,945.0,940.0,945.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,France,26940.0,27890.0,27855.0,28635.0,29145.0,17875.0,19060.0,31480.0,31925.0,32010.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Croatia,325.0,315.0,240.0,230.0,230.0,225.0,215.0,205.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Ireland,4105.0,4515.0,4810.0,5035.0,5280.0,5540.0,5790.0,5845.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Iceland,355.0,310.0,285.0,265.0,245.0,230.0,180.0,165.0,175.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Italy,8905.0,9130.0,9380.0,9925.0,10260.0,10595.0,10890.0,11090.0,11570.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Liechtenstein,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Lithuania,50.0,45.0,40.0,30.0,35.0,45.0,40.0,25.0,15.0,25.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Luxembourg,710.0,710.0,715.0,720.0,700.0,720.0,735.0,730.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Latvia,35.0,35.0,40.0,45.0,50.0,55.0,55.0,55.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Montenegro,25.0,30.0,20.0,25.0,15.0,20.0,20.0,20.0,20.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Malta,215.0,220.0,215.0,210.0,205.0,200.0,185.0,160.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Netherlands,5690.0,5815.0,5930.0,5825.0,5890.0,6130.0,6405.0,6450.0,6500.0,6620.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Norway,595.0,555.0,540.0,505.0,540.0,545.0,590.0,645.0,620.0,615.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Poland,1615.0,1550.0,1535.0,1610.0,1640.0,1605.0,1685.0,1715.0,1740.0,1645.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Portugal,15.0,20.0,20.0,25.0,25.0,15.0,25.0,30.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Romania,85.0,90.0,85.0,65.0,65.0,50.0,85.0,50.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Sweden,1650.0,1620.0,1150.0,1110.0,1165.0,1140.0,1110.0,1020.0,950.0,920.0
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Slovenia,85.0,70.0,70.0,70.0,70.0,65.0,55.0,50.0,60.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Slovakia,10.0,15.0,15.0,15.0,15.0,10.0,10.0,10.0,10.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Austria,8820.0,8870.0,9155.0,8835.0,8360.0,8010.0,7755.0,7990.0,7910.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Belgium,9445.0,9640.0,10295.0,10105.0,10250.0,10685.0,10875.0,10740.0,10795.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Bulgaria,2195.0,1680.0,1290.0,1405.0,1675.0,1940.0,2105.0,2200.0,2070.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Switzerland,4715.0,4550.0,4515.0,4460.0,4475.0,4545.0,4685.0,4790.0,4890.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Cyprus,4285.0,4530.0,4420.0,4310.0,4170.0,4140.0,4175.0,4185.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Czechia,95.0,100.0,95.0,80.0,85.0,85.0,85.0,80.0,85.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Germany,104870.0,104720.0,104530.0,104550.0,104720.0,105155.0,105655.0,106105.0,105235.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Denmark,590.0,590.0,585.0,575.0,570.0,560.0,580.0,595.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Estonia,20.0,25.0,25.0,25.0,30.0,30.0,20.0,20.0,20.0,:
