Time frequency,Level of financial situation,Unit of measure,Geopolitical entity (reporting)\Time,2019.0,2023.0
Annual,Bad,Percentage,Albania,25.3,:
Annual,Bad,Percentage,Austria,12.4,13.8
Annual,Bad,Percentage,Belgium,20.6,20.1
Annual,Bad,Percentage,Bulgaria,40.1,48.1
Annual,Bad,Percentage,Switzerland,9.6,10.7
Annual,Bad,Percentage,Cyprus,17.4,20.6
Annual,Bad,Percentage,Czechia,10.2,9.5 u
Annual,Bad,Percentage,Germany,16.9,: u
Annual,Bad,Percentage,Denmark,10.3,8.5
Annual,Bad,Percentage,Euro area – 20 countries (from 2023),:,19.3 e
Annual,Bad,Percentage,Estonia,15.1,15.6
Annual,Bad,Percentage,Greece,28.3,26.1
Annual,Bad,Percentage,Spain,30.0,23.0
Annual,Bad,Percentage,European Union - 27 countries (from 2020),23.0 e,20.0 e
Annual,Bad,Percentage,Finland,10.5,10.1
Annual,Bad,Percentage,France,13.8,14.4
Annual,Bad,Percentage,Croatia,19.4,22.2
Annual,Bad,Percentage,Hungary,16.2,20.0
Annual,Bad,Percentage,Ireland,14.8,12.0
Annual,Bad,Percentage,Italy,30.7,34.0
Annual,Bad,Percentage,Lithuania,24.6,22.2
Annual,Bad,Percentage,Luxembourg,22.1,17.8
Annual,Bad,Percentage,Latvia,16.6,18.3
Annual,Bad,Percentage,Montenegro,35.5,:
Annual,Bad,Percentage,North Macedonia,32.9,:
Annual,Bad,Percentage,Malta,16.0,12.6
Annual,Bad,Percentage,Netherlands,16.2,13.6
Annual,Bad,Percentage,Norway,18.2,13.8
Annual,Bad,Percentage,Poland,19.2 u,16.1 u
Annual,Bad,Percentage,Portugal,23.2,21.2
Annual,Bad,Percentage,Romania,32.7,42.1
Annual,Bad,Percentage,Serbia,29.3,:
Annual,Bad,Percentage,Sweden,15.9,14.5
Annual,Bad,Percentage,Slovenia,11.4,10.9
Annual,Bad,Percentage,Slovakia,19.1,20.2
Annual,Bad,Percentage,Türkiye,:,22.7
Annual,Good,Percentage,Albania,19.2,:
Annual,Good,Percentage,Austria,11.7,11.5
Annual,Good,Percentage,Belgium,10.2,7.7
Annual,Good,Percentage,Bulgaria,12.5,14.4
Annual,Good,Percentage,Switzerland,11.5,11.3
Annual,Good,Percentage,Cyprus,9.6,9.7
Annual,Good,Percentage,Czechia,5.9,6.2 u
Annual,Good,Percentage,Germany,12.0,: u
Annual,Good,Percentage,Denmark,11.1,8.9
Annual,Good,Percentage,Euro area – 20 countries (from 2023),:,12.7 e
Annual,Good,Percentage,Estonia,13.3,12.9
Annual,Good,Percentage,Greece,14.8,14.9
Annual,Good,Percentage,Spain,16.6,16.6
Annual,Good,Percentage,European Union - 27 countries (from 2020),13.4 e,12.4 e
Annual,Good,Percentage,Finland,8.5,9.2
Annual,Good,Percentage,France,11.6,12.4
Annual,Good,Percentage,Croatia,10.9,10.7
Annual,Good,Percentage,Hungary,10.3,7.5
Annual,Good,Percentage,Ireland,8.7,7.7
Annual,Good,Percentage,Italy,15.9,14.4
Annual,Good,Percentage,Lithuania,12.8,13.8
Annual,Good,Percentage,Luxembourg,14.6,13.2
Annual,Good,Percentage,Latvia,16.0,14.9
Annual,Good,Percentage,Montenegro,14.6,:
Annual,Good,Percentage,North Macedonia,13.0,:
Annual,Good,Percentage,Malta,11.2,9.8
Annual,Good,Percentage,Netherlands,9.6,10.3
Annual,Good,Percentage,Norway,11.2,9.0
Annual,Good,Percentage,Poland,12.3 u,11.9 u
Annual,Good,Percentage,Portugal,12.1,12.2
Annual,Good,Percentage,Romania,15.6,14.6
Annual,Good,Percentage,Serbia,17.3,:
Annual,Good,Percentage,Sweden,13.0,13.1
Annual,Good,Percentage,Slovenia,9.1,10.4
Annual,Good,Percentage,Slovakia,7.9,10.4
Annual,Good,Percentage,Türkiye,:,13.7
