Time frequency,Unit of measure,Sex,Age class,Income situation in relation to the risk of poverty threshold,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Albania,:,:,:,:,:,11.1,9.8,10.0,9.9,9.7,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Austria,12.9,13.1,12.7,12.8,12.7,11.9,12.1,12.1,11.6,11.6,12.1,11.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Belgium,15.6,14.4,14.2,13.8,12.9,13.1,12.2,12.4 b,11.5,11.5,12.1,12.5
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Bulgaria,17.6,18.4,16.8,17.6,19.8 b,18.6,18.5,16.5,15.4,14.3,15.2,14.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Switzerland,19.8,19.2,19.6 b,19.2,19.6,19.5,19.3,19.7,19.0,19.3,18.3,18.9
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Cyprus,7.7,8.4,8.5,8.7,7.7,7.3,7.1,7.1,6.9,6.9,6.9,7.4
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Czechia,18.0,19.8,19.2,18.4,17.7,16.9,16.1,15.4,14.6,14.7,14.7,16.7
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Germany,20.8,20.9,19.9,20.0,19.7,19.1,18.8,19.2,15.1 b,16.6,18.1,18.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Denmark,23.5,23.2,21.3,21.1,19.3,20.6,20.3,19.7,19.4 b,18.4,17.4,18.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Euro area - 19 countries  (2015-2022),14.8,15.0,14.7,14.7,13.9,13.4,13.1,13.2,11.7,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Euro area – 20 countries (from 2023),:,:,14.7,14.7,13.9,13.3,13.1,13.2,11.7,12.6 u,12.7,12.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Estonia,13.1,12.7,11.3 b,10.5,9.4,9.0,8.6,8.7,8.4,8.6,8.8,10.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Greece,26.8,28.3,31.7,32.1,28.6,28.6,29.6,28.5,27.0,24.3,26.1,27.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Spain,10.6,11.1,10.4,10.5,10.0,9.6,9.6,9.2,8.9,9.4,9.6,9.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,European Union - 27 countries (2007-2013),15.0,15.1,15.4,15.1,14.4,14.1,13.6,13.4 e,:,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,European Union - 27 countries (from 2020),15.6 e,15.7 e,15.4 e,15.1 e,14.3 e,13.8 e,13.4 e,13.2 e,12.0,12.7 u,12.9,13.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,European Union - 28 countries (2013-2020),15.0,15.1,15.4,15.1,14.4,14.1,13.6,13.4 e,:,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Finland,11.8,12.1,11.4,11.5,11.5,11.4,10.8,10.9,10.7,11.0,11.5,12.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,France,11.3,11.6,11.8,12.1,11.0,10.8,10.4,10.5,9.8 b,:,10.2 b,10.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Croatia,12.3,13.4,14.2,13.0,12.5,11.8,11.5,11.4,10.9,10.7,10.5,9.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Hungary,21.4,20.4,19.8,16.7,16.5,16.0,15.3,9.3,8.4,9.2,14.2,12.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Ireland,10.4,7.5,10.8,10.3,10.0,9.7,8.8,9.3 b,9.5 b,9.0,9.4,11.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Iceland,15.9,16.0,15.5,15.4,14.6,16.7,17.1,18.1,:,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Italy,9.8,10.2,10.1,9.8,9.7,8.8,8.8,8.9,8.5,9.0,8.9,8.7
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Lithuania,13.7,13.4,12.4,11.7,10.9,9.7,8.8,8.6,7.8,7.2,7.5,9.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Luxembourg,7.1,7.0,6.6,6.6,8.1 b,7.9,9.0,8.4,8.6 b,5.8 b,11.0 b,13.4
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Latvia,14.7,14.5,12.9,12.2,11.2,11.0,10.6,9.7,9.4,9.2,9.9,11.7
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Montenegro,:,18.2,16.0,15.3,15.0,14.8,15.0,13.9,13.2,13.1,11.9,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,North Macedonia,16.2,15.3,16.1,15.2,14.3,14.2,13.4,12.9,12.1,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Malta,6.4,5.8,4.7,4.0,4.2,3.2,3.8,3.9,4.3,4.3,4.2,4.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Netherlands,25.8,25.8,25.5,25.0,18.4 b,16.9,16.6,16.5,15.2,14.1,15.1,15.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Norway,15.8,15.7,13.7,14.5,13.2,13.8,13.7,14.8,14.1,14.0 b,16.4,19.1
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Poland,16.6,16.7,16.7,15.7,14.5,13.6,13.3,12.8,12.5 b,12.9,12.4,12.5
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Portugal,11.5,11.2,11.5,11.5,10.9,10.7,10.4,9.8,9.3,9.1,9.2,8.7
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Romania,19.2,18.3,17.4,16.7,15.4,14.6,12.2,11.3,10.7,10.1,11.8,11.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Serbia,:,23.3,25.1,25.3,23.7,25.5,24.7,21.5,19.8,19.7,18.9,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Sweden,16.6,16.8,16.3,15.5,15.3,14.8,14.7,14.8,14.6,15.4,15.1,16.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Slovenia,11.4,11.4,11.7,10.7,10.8,10.7,10.5,10.2,9.9,10.0,9.9,9.5
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Slovakia,15.2,15.5,15.2,16.0,15.6,15.9,13.5,14.0,12.6,14.3,12.0,13.4
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Türkiye,12.5,12.9,12.3,12.6,11.8,11.3,11.1,11.1,11.3,11.8,11.8,12.5
Annual,Percentage,Total,Total,Above 60% of median equivalised income,United Kingdom,10.8 b,11.2,15.4,14.8,14.7,16.1 b,15.0,:,:,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Albania,:,:,:,:,:,28.5,23.6,24.1,22.0,21.5,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Austria,31.6,33.1,31.7,32.6,33.4,33.6,34.0,35.1,33.7,31.1,33.9,29.6
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Belgium,36.6,34.9,36.0,33.6,35.2,33.4,33.2,31.6 b,31.4,29.6,30.1,31.8
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Bulgaria,37.7,32.8,33.9,36.5,43.2 b,40.1,40.6,38.6,36.0,34.2,40.1,35.5
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Switzerland,40.3,37.6,38.9 b,37.7,37.5,40.7,39.2,42.6,41.5,43.7,40.7,40.9
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Cyprus,12.3,14.2,14.6,15.5,13.4,12.7,12.0,12.1,12.0,11.8,12.0,12.7
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Czechia,38.3,41.5,37.6,39.0,37.4,36.7,36.3,34.0,34.4,35.0,34.2,38.5
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Germany,40.8,39.4,43.1,41.1,40.3,39.3,39.7,39.0,32.8 b,35.1,34.7,36.1
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Denmark,52.0,56.8,56.5,51.0,54.8,53.7,50.3,52.3,49.6 b,51.3,49.5,52.0
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Euro area - 19 countries  (2015-2022),31.7,31.8,33.1,32.9,32.4,31.3,30.9,30.4,27.5,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Euro area – 20 countries (from 2023),:,:,33.1,32.9,32.4,31.2,30.8,30.4,27.4,30.1 u,28.5,28.3
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Estonia,28.5,27.5,29.8 b,26.4,23.1,22.6,22.1,21.3,19.8,21.5,22.0,26.4
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Greece,63.4,68.3,85.9,89.0,78.5,74.2,73.1,69.4,60.2,55.6,56.4,56.9
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Spain,30.7,30.9,30.1,31.8,27.4,28.4,26.6,26.1,24.9,28.7,28.5,26.5
Annual,Percentage,Total,Total,Below 60% of median equivalised income,European Union - 27 countries (2007-2013),31.0,31.2,33.4,33.2,32.8,32.1,32.4,31.7 e,:,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,European Union - 27 countries (from 2020),32.6 e,32.4 e,33.3 e,33.1 e,32.6 e,31.7 e,31.2 e,30.3 e,27.6,29.9 u,29.0,28.9
Annual,Percentage,Total,Total,Below 60% of median equivalised income,European Union - 28 countries (2013-2020),31.0,31.2,33.4,33.1,32.8,32.0,32.4,31.6 e,:,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Finland,22.8,23.4,23.8,23.7,23.1,21.9,21.9,22.8,21.5,22.7,24.1,25.0
Annual,Percentage,Total,Total,Below 60% of median equivalised income,France,20.6,22.4,21.5,21.0,21.7,21.0,22.1,23.8,22.3 b,:,24.3 b,25.0
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Croatia,29.2,30.9,30.0,31.3,29.5,28.1,27.8,27.6,25.6,25.6,25.6,24.0
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Hungary,33.2,34.7,33.2,31.6,33.0,39.4,37.5,22.9,19.0,18.9,30.1,32.4
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Ireland,24.5,22.7,24.4,21.5,21.7,21.8,19.1,21.4 b,17.9 b,15.9,16.4,21.7
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Iceland,40.2,35.6,33.0,35.2,29.6,34.8,30.9,40.3,:,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Italy,24.7,24.0,25.1,26.2,29.5,26.4,26.6,26.2,23.2,25.1,22.4,20.7
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Lithuania,29.7,28.1,26.8,28.8,27.1,26.2,24.3,23.9,20.4,19.0,20.0,23.0
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Luxembourg,26.9,23.7,25.9,29.1,26.9 b,28.2,34.4,30.9,29.9 b,19.9 b,26.3 b,33.9
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Latvia,30.7,32.4,29.4,26.9,25.5,26.2,24.9,22.6,22.8,22.2,23.9,26.6
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Montenegro,:,35.0,35.3,35.9,35.7,32.1,34.8,30.7,25.3,25.1,21.7,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,North Macedonia,50.0,44.4,42.1,37.6,40.1,37.5,36.6,33.0,29.8,:,:,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Malta,13.0,12.9,8.9,6.9,7.2,5.9,6.6,7.1,8.0,8.3,7.9,14.4
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Netherlands,37.9,38.4,40.9,40.0,36.1 b,35.0,34.8,34.2,31.4,32.8,35.5,30.5
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Norway,35.5,35.2,33.0,36.4,34.9,34.9,39.3,36.8,35.9,35.7 b,38.7,40.2
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Poland,33.1,31.6,30.6,30.2,29.8,28.8,28.2,27.1,26.5 b,28.2,29.7,29.1
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Portugal,24.5,27.2,28.7,28.9,26.5,24.1,23.2,22.4,20.6,22.9,20.1,20.0
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Romania,36.6,35.2,34.1,34.4,31.3,31.6,30.1,26.4,23.9,24.9,23.6,24.8
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Serbia,:,56.3,63.7,66.0,63.8,70.4,65.5,48.4,43.3,41.0,38.4,:
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Sweden,35.4,34.1,35.8,35.6,33.4,32.6,32.4,34.8,32.8,34.8,35.9,37.3
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Slovenia,26.5,27.1,28.4,26.4,27.6,26.3,25.9,25.3,25.2,26.1,25.8,23.9
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Slovakia,32.4,31.9,33.2,31.3,30.6,33.1,26.8,24.4,26.4,31.3,22.5,30.6
Annual,Percentage,Total,Total,Below 60% of median equivalised income,Türkiye,17.7,19.2,18.4,18.8,18.4,17.7,18.1,19.0,20.2,21.7,21.9,24.6
Annual,Percentage,Total,Total,Below 60% of median equivalised income,United Kingdom,19.4 b,21.8,34.0,33.5,33.9,34.2 b,40.2,:,:,:,:,:
Annual,Percentage,Total,Total,Total,Albania,:,:,:,:,:,13.1,11.3,11.7,11.5,11.1,:,:
Annual,Percentage,Total,Total,Total,Austria,14.3,14.3,14.0,14.0,13.9,13.2,13.7,13.4,13.0,13.3,13.7,12.3
Annual,Percentage,Total,Total,Total,Belgium,17.4,16.4,16.2,15.5,15.0,15.0,13.9,13.9 b,12.9,12.8,13.4,13.8
Annual,Percentage,Total,Total,Total,Bulgaria,19.9,20.2,18.6,20.0,22.7 b,21.5,21.0,19.2,18.4,17.1,18.1,16.6
Annual,Percentage,Total,Total,Total,Switzerland,21.5,20.9,21.1 b,20.9,21.3,21.2,21.0,21.7,21.1,21.3,20.6,21.4
Annual,Percentage,Total,Total,Total,Cyprus,8.2,9.0,9.3,9.5,8.3,8.1,7.8,7.6,7.6,7.4,7.5,8.1
Annual,Percentage,Total,Total,Total,Czechia,19.0,20.7,20.1,19.4,18.6,17.8,17.1,16.3,15.4,15.4,15.6,17.7
Annual,Percentage,Total,Total,Total,Germany,22.3,22.3,21.6,21.6,21.3,20.8,20.4,20.7,16.4 b,18.0,19.4,19.6
Annual,Percentage,Total,Total,Total,Denmark,24.8,24.7,22.9,22.6,21.1,22.4,22.2,21.4,20.9 b,20.3,19.3,20.1
Annual,Percentage,Total,Total,Total,Euro area - 19 countries  (2015-2022),16.3,16.5,16.3,16.2,15.5,14.8,14.6,14.6,13.0,:,:,:
Annual,Percentage,Total,Total,Total,Euro area – 20 countries (from 2023),:,:,16.3,16.2,15.5,14.8,14.6,14.5,13.0,14.0 u,14.1,14.1
Annual,Percentage,Total,Total,Total,Estonia,14.6,14.0,13.2 b,12.1,10.9,10.4,10.1,10.0,9.7,9.9,10.5,12.1
Annual,Percentage,Total,Total,Total,Greece,31.0,33.0,36.9,37.5,33.7,33.6,33.8,32.3,30.3,27.8,29.2,29.8
Annual,Percentage,Total,Total,Total,Spain,12.6,12.9,12.5,12.5,12.0,11.3,11.3,10.8,10.6,11.2,11.4,11.5
Annual,Percentage,Total,Total,Total,European Union - 27 countries (2007-2013),16.4,16.6,17.0,16.7,16.0,15.6,15.2,15.0 e,:,:,:,:
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),17.1 e,17.2 e,17.0 e,16.7 e,16.0 e,15.3 e,14.9 e,14.6 e,13.3,14.1 u,14.3,14.3
Annual,Percentage,Total,Total,Total,European Union - 28 countries (2013-2020),16.4,16.6,17.0,16.7,16.0,15.6,15.2,14.9 e,:,:,:,:
Annual,Percentage,Total,Total,Total,Finland,12.8,13.0,12.3,12.3,12.4,12.3,11.7,11.7,11.5,11.9,12.7,13.0
Annual,Percentage,Total,Total,Total,France,12.4,12.7,12.7,13.1,12.0,11.5,11.3,11.4,11.1 b,:,11.4 b,11.6
Annual,Percentage,Total,Total,Total,Croatia,14.1,15.2,15.8,14.7,14.3,13.5,13.0,12.8,12.2,12.0,11.8,10.6
Annual,Percentage,Total,Total,Total,Hungary,22.5,21.6,21.0,18.0,17.7,17.4,16.5,10.0,9.0,9.9,15.2,13.7
Annual,Percentage,Total,Total,Total,Ireland,12.7,8.5,12.8,12.1,11.8,11.3,10.2,10.8 b,10.4 b,9.6,10.0,11.5
Annual,Percentage,Total,Total,Total,Iceland,16.5,16.8,16.1,16.0,15.4,17.6,17.7,18.8,:,:,:,:
Annual,Percentage,Total,Total,Total,Italy,11.3,11.8,11.7,11.4,11.7,10.3,10.5,10.6,9.8,10.5,10.4,9.9
Annual,Percentage,Total,Total,Total,Lithuania,15.4,15.3,14.1,13.8,12.5,11.8,10.6,10.3,9.1,8.4,8.8,11.0
Annual,Percentage,Total,Total,Total,Luxembourg,8.5,8.1,7.9,8.0,9.2 b,9.0,10.4,10.0,9.8 b,6.7 b,12.6 b,14.9
Annual,Percentage,Total,Total,Total,Latvia,16.3,16.4,14.7,14.1,12.9,12.9,12.6,11.6,10.8,11.0,11.4,13.2
Annual,Percentage,Total,Total,Total,Montenegro,:,21.2,18.8,17.9,17.3,17.1,17.2,16.1,14.6,15.0,13.2,:
Annual,Percentage,Total,Total,Total,North Macedonia,20.0,18.3,18.9,18.0,16.8,16.5,15.4,15.2,13.7,:,:,:
Annual,Percentage,Total,Total,Total,Malta,7.0,6.5,5.3,4.4,4.6,3.6,4.3,4.3,4.9,4.7,4.6,5.6
Annual,Percentage,Total,Total,Total,Netherlands,26.7,26.8,26.8,26.3,19.6 b,18.2,17.8,17.8,16.4,15.3,16.4,16.3
Annual,Percentage,Total,Total,Total,Norway,16.7,16.8,14.6,15.5,14.3,14.9,15.0,16.2,15.3,15.2 b,17.6,20.4
Annual,Percentage,Total,Total,Total,Poland,18.3,18.4,18.4,17.4,16.2,14.8,14.7,14.0,13.6 b,14.1,13.6,13.8
Annual,Percentage,Total,Total,Total,Portugal,13.0,12.9,13.4,13.4,12.4,12.3,11.7,11.0,10.4,10.5,10.2,9.7
Annual,Percentage,Total,Total,Total,Romania,21.4,20.5,19.6,18.8,17.5,16.5,14.2,13.3,12.2,11.9,13.1,13.0
Annual,Percentage,Total,Total,Total,Serbia,:,27.3,29.6,30.3,28.0,29.9,28.8,24.4,22.4,22.1,20.8,:
Annual,Percentage,Total,Total,Total,Sweden,17.9,17.9,17.3,16.9,16.5,16.2,15.9,16.4,16.0,16.8,16.7,18.3
Annual,Percentage,Total,Total,Total,Slovenia,12.3,12.7,13.1,11.8,11.9,11.8,11.5,11.2,10.9,11.0,10.9,10.5
Annual,Percentage,Total,Total,Total,Slovakia,16.4,16.9,16.4,17.1,16.7,16.9,14.3,14.9,13.2,15.7,12.8,14.6
Annual,Percentage,Total,Total,Total,Türkiye,13.6,14.2,13.5,13.7,13.3,12.8,12.7,12.7,13.1,13.8,13.7,14.7
Annual,Percentage,Total,Total,Total,United Kingdom,11.6 b,12.2,16.9,16.5,16.4,18.1 b,17.4,:,:,:,:,:
