Time frequency,Entity,Balance of payments indicator,Foreign direct investment item,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Austria,66.7,69.1,66.6,54.4,: @C,: @C,44.6,: @C,: @C,: @C,: @C
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Belgium,101.6,113.1,121.4,118.2,112.4,109.4,112.0,112.0,104.1,92.8,95.8
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Bulgaria,87.4,87.0,87.2,83.6,80.9,78.5,75.1,76.1,68.2,59.9,58.6
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Switzerland,:,:,:,:,:,:,197.7,181.7,158.3,137.6,126.6
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Cyprus,1626.9,1895.1,2074.7,2005.2,1860.6,2009.2,2367.8,2109.7,1884.0,1675.0,1555.3
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Czechia,60.6,63.2 p,60.3 p,64.5,66.1,67.2,66.5,72.2,72.0,67.4,61.7 p
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Germany,24.5,23.7,23.3,23.6,24.1,23.9,24.3,27.2,26.5,25.9,27.2
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Denmark,29.0,37.7,38.5,45.4,42.9,44.7,41.0,42.1,39.4,35.8,35.4
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Estonia,83.3,84.5,82.4,83.7,82.2,82.6,87.8,100.6,101.7,91.2,97.7
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Greece,10.5,10.1,12.6,13.4,15.7,17.3,21.7,19.0,20.8,23.7,26.4
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Spain,45.5,47.0,47.6,50.4,51.2,54.3,55.4,63.2,62.5,59.2,58.3
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,European Union - 27 countries (from 2020),85.7,92.5 p,103.3 p,105.7,104.8,98.8,99.3,102.0,98.1 p,91.5 p,84.1
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Finland,31.6,37.2,35.7,35.2,33.4,27.1,32.1,31.1,30.5,29.4,29.9
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,France,27.5,27.4,29.3,29.9,30.8,29.7,30.6,33.7,33.3,33.5,32.6
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Croatia,41.4,47.5,43.2,46.4,47.0,47.5,49.7,54.4,53.6,48.9,50.1
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Hungary,174.6,171.0,157.9,193.3,162.9,110.9,138.6,202.4,204.8,190.6,152.9
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Ireland,175.3,191.2,310.2,295.2,300.8,282.0,311.3,303.5,280.0,259.2,254.9
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Iceland,:,:,:,:,:,:,:,:,41.2,33.4,33.6
