Time frequency,Unit of measure,Waste management operations,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Recovery - recycling,Algeria,:,:,:,:,:,:,:,:,:,751.5 de,:,:,:,:,:,1330.7 de,:,:
Annual,Thousand tonnes,Recovery - recycling,Egypt,:,:,:,:,:,2464.8,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Recovery - recycling,Israel,:,:,:,576.4,591.6,508.3,617.0,670.1,353.6,379.9,368.3,375.7,428.5,455.6,489.3,490.2,519.4,534.8
Annual,Thousand tonnes,Recovery - recycling,Lebanon,:,:,:,:,:,126.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Recovery - recycling,Morocco,:,:,:,:,:,500.0,500.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Recovery - recycling,Palestine*,11.2 e,11.5 e,11.6 e,11.8 e,12.2 e,12.7 e,13.5 e,13.9 e,14.2 e,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Recycling - composting and digestion,Algeria,:,:,:,:,:,:,:,:,:,107.4 de,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Recycling - composting and digestion,Egypt,:,:,:,:,:,821.6,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Recycling - composting and digestion,Israel,:,:,:,:,:,:,:,185.6,525.8 bd,521.4 d,600.4 d,696.8 d,791.8 d,891.6 d,867.0 d,842.3 d,916.6 d,966.5 d
Annual,Thousand tonnes,Recycling - composting and digestion,Lebanon,:,:,:,:,:,141.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Recycling - composting and digestion,Morocco,:,:,:,:,:,:,:,67.6,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Waste treatment,Algeria,:,:,:,:,:,:,:,:,:,4816.8 d,5182.2 d,5779.0 d,6000.0 d,6000.0,6271.3 d,6583.9 d,6762.7 d,:
Annual,Thousand tonnes,Waste treatment,Egypt,:,:,:,:,:,3665.2 d,6172.0 d,8658.6 d,6843.6 d,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Waste treatment,Israel,4085.9,4226.5,4304.0,4433.9,4550.8,4623.2,4745.9,4837.5,4861.9,4955.3,5081.7,5261.4,5438.9,5658.2,5759.3,5982.3,6147.8,6189.6
Annual,Thousand tonnes,Waste treatment,Jordan,2358.9,2309.5,2207.0,2111.0,1922.0,2069.0,2025.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Waste treatment,Lebanon,1474.0,:,:,:,:,1570.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Waste treatment,Morocco,:,:,:,:,:,5000.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Waste treatment,Palestine*,951.3 e,972.0 e,1007.1 de,1034.1 e,1060.2 e,1088.1 e,1115.1 e,1141.2 e,1168.2 e,1195.2,1222.2,:,:,1307.7,1340.1,1373.4,:,:
Annual,Thousand tonnes,Waste treatment,Tunisia,1333.1 e,1350.4 e,1367.6 e,1385.6 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
