Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Number,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,50.0,82.0,60.0,60.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,55.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,25.0,25.0,25.0,22.0,12.0,6.0,6.0,6.0,6.0,6.0
Annual,Number,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,104.0,119.0,102.0,108.0,84.0,84.0,76.0,76.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,65.0,65.0,64.0,64.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0,49.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Italy,:,:,:,:,:,:,:,:,:,1693.0,1583.0,1534.0,1456.0,1414.0,1444.0,1898.0,1890.0,2106.0,2078.0,:,:,:,:,:,:,1559.0,1515.0,1472.0,1420.0,1362.0,1332.0,:,:,140.0,409.0,395.0,314.0,314.0,314.0,185.0,185.0,152.0,50.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Luxembourg,:,:,:,:,:,:,:,:,:,3.0,3.0,3.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,101.0,101.0,101.0,:,:,:,:,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,18.0,:,15.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Moldova,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Netherlands,:,:,:,:,:,:,:,:,:,7.0,6.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,33.0,28.0,32.0,32.0,32.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,355.0,381.0,147.0,144.0,139.0,139.0,127.0,127.0,118.0,134.0,84.0,84.0,22.0,16.0,: m,: m,:,:,:,:,:,:,:,: m,:,:,:,:,:,:,:,:
Annual,Number,Portugal,:,:,:,:,:,:,:,:,:,146.0,167.0,137.0,136.0,137.0,131.0,131.0,131.0,123.0,129.0,82.0,90.0,75.0,75.0,72.0,69.0,52.0,42.0,27.0,31.0,56.0,11.0,4.0,4.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,384.0,384.0,378.0,381.0,381.0,380.0,329.0,305.0,306.0,305.0,327.0,:,310.0,317.0,308.0,308.0,312.0,:,:,:,:,:,:,:,:,:,:,: m,:,:,:,:
Annual,Number,Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,:,17.0,16.0,16.0,16.0,11.0,:,45.0,43.0,43.0,39.0,33.0
Annual,Number,Sweden,489.0,429.0,389.0,359.0,342.0,334.0,332.0,310.0,279.0,273.0,267.0,262.0,260.0,249.0,263.0,256.0,242.0,242.0,256.0,233.0,215.0,206.0,202.0,213.0,210.0,210.0,187.0,164.0,178.0,170.0,: @C,41.0,40.0,36.0,26.0,19.0,22.0,21.0,21.0,23.0,22.0,19.0,17.0,15.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
Annual,Number,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.0,7.0,:,:,8.0,8.0,8.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,349.0,414.0,274.0,254.0,253.0,253.0,:,220.0,57.0,42.0,137.0,36.0,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,340.0,:,323.0,440.0,439.0,425.0,406.0,389.0,389.0,:,299.0,298.0,298.0,295.0,288.0,287.0,286.0,284.0,284.0,283.0,292.0,252.0,250.0,246.0,210.0,207.0,200.0,191.0,191.0,172.0,151.0,:,:,169.0
Annual,Number,United Kingdom,:,:,:,:,:,:,:,:,:,4344.0,4034.0,2804.0,2236.0,2162.0,2130.0,3146.0,2380.0,2167.0,1837.0,1781.0,1609.0,1562.0,1157.0,910.0,818.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,22.0,0.0,0.0,:,:,:
