Time frequency,Information society indicator,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2009.0,2010.0,2011.0,2012.0,2013.0,2015.0,2017.0
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Austria,76.09,78.28,77.92,83.48,82.97,84.51,85.89
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Belgium,69.97,76.06,78.29,79.49,81.36,79.61,82.55
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Bulgaria,44.74,49.51,59.05,67.73,67.01,71.26,73.83
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Cyprus,62.53,64.57,67.06,:,75.29,74.42,81.43
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Czechia,66.1,68.06,74.28,79.66,77.69,84.21,84.94
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Germany,84.44,85.89,87.05,:,89.34,91.28,93.47
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Denmark,88.54,90.88,92.62,94.74,93.9,91.5,94.41
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",75.46,78.51,79.83,79.45,83.12,84.03,86.15
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Estonia,70.08,72.27,76.36,81.54,85.87,89.69,89.37
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Greece,57.97,62.2,66.04,:,:,75.83,78.03
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Spain,69.38,70.87,73.33,75.51,76.67,79.75,81.95
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,European Union - 15 countries (1995-2004),76.85,79.43,81.02,81.7,84.51,85.43,87.64
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,European Union - 25 countries (2004-2006),75.97,78.5,:,:,:,:,:
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,European Union - 27 countries (2007-2013),75.21,77.79,79.75,80.85,83.33,84.6,87.05
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,European Union - 27 countries (from 2020),74.08,77.04,78.87,79.36,82.3,83.68,86.0
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,European Union - 28 countries (2013-2020),75.14,77.73,79.7,80.79,83.25,84.59,87.0
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Finland,87.17,88.1,88.27,92.31,92.44,93.24,96.85
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,France,75.22,81.04,80.74,83.65,83.35,82.97,85.32
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Croatia,64.66,67.04,72.06,73.71,70.52,82.48,77.93
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Hungary,69.14,72.03,77.15,78.09,78.97,82.44,86.39
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Ireland,77.56,80.93,84.58,:,85.52,86.93,87.7
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Iceland,: u,: u,95.94,96.8,97.43,:,98.06
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Italy,63.56,67.72,69.03,69.43,73.79,74.71,75.21
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Lithuania,67.84,71.42,71.89,71.41,75.37,74.11,81.69
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Luxembourg,88.58,89.34,90.06,:,94.63,93.97,91.33
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Latvia,65.71,66.78,68.31,75.75,75.83,81.55,82.09
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Malta,68.56,72.13,76.75,75.01,80.58,78.1,82.38
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Netherlands,91.34,92.33,94.44,94.02,95.46,96.79,98.04
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Norway,90.73,93.87,86.63,:,96.03,98.05,97.58
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Poland,70.99,72.58,74.75,78.19,78.27,81.15,84.79
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Portugal,63.29,67.1,70.31,73.62,72.51,77.04,77.06
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Romania,64.57,67.74,71.63,76.03,79.32,80.52,86.41
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Sweden,89.89,93.17,95.7,93.85,92.48,89.5,95.58
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Slovenia,75.14,68.06,74.94,81.41,83.64,81.89,83.08
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,Slovakia,70.32,78.08,79.88,84.48,85.06,82.64,84.23
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in cities,United Kingdom,80.26,81.16,83.93,86.03,88.35,89.16,92.21
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Austria,75.56,74.57,79.14,80.98,79.41,82.12,84.44
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Belgium,73.35,78.47,80.3,80.74,81.74,83.32,86.6
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Bulgaria,30.69,32.65,52.04,51.05,56.03,59.63,61.58
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Cyprus,68.26,70.69,65.08,69.68,67.84,74.02,75.0
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Czechia,57.78,63.39,68.08,73.12,74.72,76.58,81.1
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Germany,84.71,86.44,87.51,:,88.41,90.66,92.55
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Denmark,86.26,87.52,88.9,91.91,92.4,94.4,93.13
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",73.9,75.46,77.05,75.39,81.17,82.36,83.26
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Estonia,77.94 u,75.45 u,66.08 u,67.68,72.36,89.71,84.89
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Greece,59.46,60.24,68.98,:,:,72.74,73.26
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Spain,66.03,70.44,71.72,74.16,73.89,76.07,78.89
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,European Union - 15 countries (1995-2004),75.08,76.97,78.41,78.99,82.52,83.9,84.85
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,European Union - 25 countries (2004-2006),74.19,76.15,:,:,:,:,:
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,European Union - 27 countries (2007-2013),74.02,75.97,77.67,76.59,80.87,82.56,83.91
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,European Union - 27 countries (from 2020),73.13,74.83,76.76,74.64,79.85,81.42,82.95
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,European Union - 28 countries (2013-2020),73.86,75.86,77.58,76.54,80.75,82.52,83.86
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Finland,81.81,81.24,87.18,84.83,87.34,88.8,94.22
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,France,74.25,74.8,76.19,76.78,79.62,79.19,80.59
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Croatia,55.75,57.57,62.81,68.33,65.8,76.58,74.96
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Hungary,61.12,62.8,66.81,69.49,71.92,76.89,82.16
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Ireland,70.04,77.33,81.21,:,84.76,84.35,84.7
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Iceland,93.2,94.39,:,93.56,95.62,:,96.74
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Italy,60.42,62.99,64.64,67.42,70.96,72.39,71.71
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Lithuania,:,:,:,65.99,72.71,71.25,75.35
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Luxembourg,87.75,91.56,92.68,92.13,91.78,93.99,94.53
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Latvia,67.16,80.2,83.17,67.7,72.05,76.55,76.28
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Malta,67.51,74.74,73.28,81.62,79.55,83.29,84.23
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Netherlands,93.05,92.77,93.45,94.71,94.58,94.76,96.89
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Norway,91.13,94.1,90.5,:,91.53,95.41,93.21
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Poland,66.43,67.93,72.15,72.06,74.39,76.1,81.19
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Portugal,55.58,59.0,64.02,65.75,68.01,72.34,72.11
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Romania,68.19,74.17,63.89,59.03,64.36,72.0,72.91
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Sweden,89.12,90.85,93.85,92.9,91.85,88.43,92.71
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Slovenia,72.13,77.75,75.99,77.81,74.12,77.96,80.92
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,Slovakia,: u,:,:,80.01,82.01,83.32,84.72
