Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Switzerland,102.0,101.9,102.0,102.7,102.7,102.4,102.3,102.3,102.1,101.0,101.0,101.0
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Germany,110.6,110.8,110.7,110.7,110.6,110.6,110.4,110.5,110.4,110.6,110.7,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Denmark,113.0,113.2,113.5,113.7,114.2,113.5,113.7,113.4,112.9,113.4,114.1,114.5
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Euro area - 19 countries  (2015-2022),109.8,109.8,109.6,109.9,109.9,109.9,109.7,109.7 i,:,:,:,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Euro area – 20 countries (from 2023),109.7,109.7,109.5,109.8,109.8,109.7,109.7,109.6,109.5,109.5,109.9 i,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Estonia,118.9,118.6,119.3,118.0,118.0,118.9,119.3,119.7,120.0,120.2,121.0,120.5
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Greece,108.4,107.8,107.7,107.4,107.4,107.6,108.4,108.3,108.3,107.6,107.7,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Spain,114.6,114.6,114.6,114.7,115.2,114.8,114.9,115.0,115.1 p,115.1 p,115.4 p,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",European Union - 27 countries (from 2020),110.2,110.3,110.1,110.4,110.5,110.5,110.3,110.3,110.1,110.2,110.6 i,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Finland,110.5,110.6,110.5,110.6,110.8,110.8,110.8,110.4,110.1,110.3,110.5,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",France,109.0,108.7,108.6,108.8,109.0,108.7,108.8,108.7,108.5 p,108.6 p,108.6 p,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Croatia,99.6,101.5,87.1,88.6,88.3,88.1,88.3,87.2,87.8,87.8,87.4,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Italy,109.7,109.4,108.9,109.3,109.1,109.5,109.4,109.3,109.4,109.2,109.5 p,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Lithuania,114.1,114.0,114.1,114.1,114.2,114.1,113.9,114.7,114.0,114.0,113.8,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Latvia,109.1,108.4,108.9,109.0,109.0,108.3,107.5,107.7,108.2,108.7,108.7,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Montenegro,113.4,113.4,113.4,113.4,113.4,113.4,113.3,113.4,113.4,113.4,113.3,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Netherlands,107.0,107.2,106.8,108.1,108.0,107.9,107.6 p,107.0 p,107.0 p,107.0 p,107.5 p,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Norway,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Serbia,104.3,105.5,105.2,102.5,101.9,101.9,101.2,101.4,101.1,101.8,103.0,102.7
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Sweden,118.6,120.8,120.3,121.0,122.9,122.5,120.4,123.4,121.2,121.9,122.7,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Slovenia,117.0,117.4,118.0,117.9,117.9,118.2,118.0,117.8,117.6,117.6,118.3,:
Monthly,Import prices,MIG - capital goods,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Index, 2021=100 (NSA)",Slovakia,104.7,104.7,104.7,104.9,104.5,104.4,104.8,105.0,104.8,104.6,104.9,:
