Annual,Percentage,Discharges,Italy,:,:,:,:,:,:,:,:,0.82,0.82,0.79,0.82,0.87,0.93,0.87,0.82,0.85
Annual,Percentage,Discharges,Lithuania,:,:,:,:,:,:,:,:,0.11,0.19,0.21,0.24,0.25,0.29,0.44,0.48,0.37
Annual,Percentage,Discharges,Luxembourg,:,:,:,2.56,2.93,3.38,3.7,3.98,4.13,4.44,5.02,5.22,5.51,5.99,:,:,:
Annual,Percentage,Discharges,Latvia,:,:,:,:,:,:,:,:,:,0.14,0.17,0.06,0.06,0.06,0.06,0.08,0.1
Annual,Percentage,Discharges,Malta,:,:,:,:,:,:,:,:,:,3.54,3.97,5.34,5.53,4.63,6.0,5.78,:
Annual,Percentage,Discharges,Netherlands,:,:,:,:,:,:,:,0.31,0.31,0.31,0.3,0.3,0.32,0.34,0.35,0.38,0.41
Annual,Percentage,Discharges,Norway,:,:,:,:,:,:,:,:,:,0.36,0.38,0.38,0.44,0.36,0.36,0.51,0.54
Annual,Percentage,Discharges,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.41,0.35
Annual,Percentage,Discharges,Romania,:,:,:,:,:,:,:,:,:,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.12
Annual,Percentage,Discharges,Serbia,:,:,:,:,:,:,:,:,:,:,:,1.03,1.24,1.5,1.71,1.78,1.64
Annual,Percentage,Discharges,Slovenia,:,:,:,:,:,:,:,:,1.25,:,:,1.82,1.86,1.7,1.66,1.9,2.03
Annual,Percentage,Discharges,Slovakia,:,:,:,:,:,:,:,:,:,0.22,:,0.24,0.25,0.29,0.32,0.29,0.31
Annual,Percentage,in-patients (total number),Austria,:,:,1.73,1.77,1.81,1.86,1.78,1.8,1.9,1.84,1.9,1.89,1.86,1.83,1.87,1.91,1.99
Annual,Percentage,in-patients (total number),Belgium,:,:,:,:,:,:,:,:,:,2.02,:,1.53,:,:,1.62,1.65,1.7
Annual,Percentage,in-patients (total number),Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,0.28,0.34,0.35,0.37,0.37
Annual,Percentage,in-patients (total number),Switzerland,3.1,2.97,3.15,3.06,3.12,3.2,3.13,3.18,3.03,2.98,2.91,2.83,2.63,2.57,2.6,2.67,2.69
Annual,Percentage,in-patients (total number),Czechia,:,:,:,:,:,:,:,:,0.38,0.38,0.41,0.46,0.51,0.6,0.66,0.74,0.87
Annual,Percentage,in-patients (total number),Germany,:,:,:,:,:,:,:,:,0.47,0.5,0.52,0.53,0.55,0.54,0.52,0.52,:
Annual,Percentage,in-patients (total number),Denmark,:,:,:,:,:,:,:,:,:,:,:,0.91,0.93,0.95,:,:,:
Annual,Percentage,in-patients (total number),Estonia,:,:,:,:,:,:,:,:,:,:,:,:,0.48,0.5,0.5,0.56,0.49
Annual,Percentage,in-patients (total number),Spain,:,:,:,:,:,:,:,:,0.9,0.89,0.94,1.0,1.1,1.05,1.17,1.24,1.12
Annual,Percentage,in-patients (total number),Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.45,0.46,:
Annual,Percentage,in-patients (total number),France,:,:,:,:,:,:,:,:,:,:,:,:,:,0.37,0.41,0.36,0.38
Annual,Percentage,in-patients (total number),Croatia,:,:,:,:,:,:,:,:,0.53,0.54,0.69,0.82,0.77,0.81,1.37,1.36,1.3
Annual,Percentage,in-patients (total number),Hungary,:,0.69,0.67,0.67,0.62,0.58,0.6,0.59,0.57,0.58,0.59,0.58,0.57,:,0.53,0.5,0.5
Annual,Percentage,in-patients (total number),Ireland,:,:,:,:,:,:,:,0.43,0.44,0.46,0.46,0.48,0.51,0.54,0.56,0.59,0.6
Annual,Percentage,in-patients (total number),Italy,:,:,:,:,:,:,:,:,0.93,0.91,0.89,0.92,0.98,1.04,0.96,0.9,0.92
Annual,Percentage,in-patients (total number),Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,8.33,13.4,17.69,5.87,9.33
Annual,Percentage,in-patients (total number),Lithuania,:,:,:,:,:,:,:,:,0.11,0.19,0.21,0.24,0.25,0.3,0.41,0.45,0.37
Annual,Percentage,in-patients (total number),Luxembourg,:,:,:,2.41,2.78,3.2,3.61,3.84,3.92,4.26,4.78,4.89,5.16,5.68,:,:,:
Annual,Percentage,in-patients (total number),Latvia,:,:,:,:,:,:,:,:,:,0.19,0.24,0.08,0.08,0.08,0.09,0.11,0.14
Annual,Percentage,in-patients (total number),Malta,:,:,:,:,:,:,:,:,:,4.6,5.12,6.54,6.84,5.9,7.47,7.63,:
Annual,Percentage,in-patients (total number),Netherlands,:,:,:,:,:,:,:,0.41,0.42,0.41,0.4,0.41,0.42,0.46,0.48,0.53,0.57
Annual,Percentage,in-patients (total number),Norway,:,:,:,:,:,:,:,:,:,0.5,0.52,0.52,0.52,0.4,0.41,0.62,0.66
Annual,Percentage,in-patients (total number),Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.39,0.36
Annual,Percentage,in-patients (total number),Romania,:,:,:,:,:,:,:,:,:,0.12,0.12,0.13,0.13,0.14,0.15,0.16,0.17
Annual,Percentage,in-patients (total number),Serbia,:,:,:,:,:,:,:,:,:,:,:,1.0,1.34,1.57,1.77,1.9,1.86
Annual,Percentage,in-patients (total number),Slovenia,:,:,:,:,:,:,:,:,1.3,:,:,1.88,1.93,1.76,1.71,1.97,2.05
Annual,Percentage,in-patients (total number),Slovakia,:,:,:,:,:,:,:,:,:,0.22,:,0.24,0.25,0.29,0.31,0.29,0.31
Annual,Percentage,Day cases (total number),Austria,:,:,1.54,1.41,1.52,1.62,1.61,1.49,1.43,1.41,1.38,1.35,1.37,1.27,1.21,1.34,1.58
Annual,Percentage,Day cases (total number),Belgium,:,:,:,:,:,:,:,:,:,1.57,:,1.91,:,:,2.16,2.15,2.23
Annual,Percentage,Day cases (total number),Czechia,:,:,:,:,:,:,:,:,0.46,0.4,0.43,0.49,0.55,0.67,0.74,0.75,0.79
Annual,Percentage,Day cases (total number),Germany,:,:,:,:,:,:,:,:,0.94,1.07,1.14,1.16,1.09,1.09,1.06,1.09,:
Annual,Percentage,Day cases (total number),Denmark,:,:,:,:,:,:,:,:,:,:,:,0.08,0.1,0.11,:,:,:
Annual,Percentage,Day cases (total number),Estonia,:,:,:,:,:,:,:,:,:,:,:,:,0.22,0.13,0.2,0.31,0.3
Annual,Percentage,Day cases (total number),Spain,:,:,:,:,:,:,:,:,1.62,0.68,1.62,1.02,1.63,1.29,0.82,0.54,0.48
Annual,Percentage,Day cases (total number),Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.47,0.47,:
Annual,Percentage,Day cases (total number),France,:,:,:,:,:,:,:,:,:,:,:,:,:,0.2,0.28,0.17,0.23
Annual,Percentage,Day cases (total number),Croatia,:,:,:,:,:,:,:,:,0.17,0.14,0.31,0.29,0.36,0.35,0.43,0.31,0.34
Annual,Percentage,Day cases (total number),Hungary,:,0.86,0.84,0.79,0.94,1.23,1.19,1.06,0.86,0.83,0.8,0.7,0.69,:,0.58,0.43,0.31
Annual,Percentage,Day cases (total number),Ireland,:,:,:,:,:,:,:,0.07,0.07,0.08,0.06,0.05,0.07,0.1,0.09,0.08,0.09
Annual,Percentage,Day cases (total number),Italy,:,:,:,:,:,:,:,:,0.53,0.55,0.51,0.52,0.54,0.57,0.57,0.52,0.56
Annual,Percentage,Day cases (total number),Lithuania,:,:,:,:,:,:,:,:,0.12,0.2,0.18,0.24,0.23,0.25,0.79,0.71,0.34
Annual,Percentage,Day cases (total number),Luxembourg,:,:,:,3.25,3.66,4.23,4.13,4.67,5.04,5.18,5.9,6.43,6.76,7.05,:,:,:
Annual,Percentage,Day cases (total number),Latvia,:,:,:,:,:,:,:,:,:,0.02,0.0,0.04,0.0,0.01,0.01,0.01,0.01
Annual,Percentage,Day cases (total number),Malta,:,:,:,:,:,:,:,:,:,1.58,1.91,3.27,3.2,2.56,3.27,2.47,:
Annual,Percentage,Day cases (total number),Netherlands,:,:,:,:,:,:,:,0.21,0.2,0.23,0.22,0.19,0.21,0.21,0.2,0.22,0.24
Annual,Percentage,Day cases (total number),Norway,:,:,:,:,:,:,:,:,:,0.16,0.16,0.16,0.25,0.24,0.23,0.26,0.27
Annual,Percentage,Day cases (total number),Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.49,0.32
Annual,Percentage,Day cases (total number),Romania,:,:,:,:,:,:,:,:,:,0.07,0.08,0.09,0.06,0.06,0.05,0.05,0.06
Annual,Percentage,Day cases (total number),Serbia,:,:,:,:,:,:,:,:,:,:,:,1.25,0.74,1.19,1.45,1.44,1.24
Annual,Percentage,Day cases (total number),Slovenia,:,:,:,:,:,:,:,:,0.79,:,:,1.35,1.25,1.2,1.35,1.52,1.96
Annual,Percentage,Day cases (total number),Slovakia,:,:,:,:,:,:,:,:,:,0.27,:,0.33,0.37,0.4,0.63,0.46,0.43
