Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Stock or flow,Geopolitical entity (partner),Seasonal adjustment,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Albania,-426.7,-236.4,-205.9,-152.1,-448.2,-126.1,-120.1,311.1,-290.9,-434.1,-277.6,287.6
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Austria,2816.0,497.0,-2871.0,-2122.0,408.0,4413.0,-2218.0,1441.0,4757.0,7399.0,340.0,-231.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Bosnia and Herzegovina,-66.7,-156.0,-327.2,-84.9,-288.8,-141.9,-175.0,28.7,-138.4,-438.3,-213.4,3.6
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Belgium,-2538.0,4014.0,-1115.0,-13404.0,3840.0,-584.0,-4985.0,-1306.0,3992.0,2232.0,-1223.0,-2611.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Bulgaria,-972.8,-1458.2,63.4,-168.9,127.1,-145.3,1213.1,755.8,488.4,760.8,210.9,1882.3
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Switzerland,-15139.6,18762.2,14571.5,27104.2,13547.8,286.3,12548.2,18467.2,16135.7,9119.1,18797.6,6581.2
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Cyprus,-107.4,-536.7,-1078.1,-181.9,239.0,-1858.4,-282.0,-409.0,-449.6,-878.6,-76.6,-53.9
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Czechia,-161.3,516.0,-1351.0,-8340.0,-2459.9,1997.2,1245.0,128.4,1315.5,4157.5,1462.3,328.6
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany,63688.0,54018.0,24134.0,24688.0,51377.0,49519.0,40673.0,54493.0,71801.0,67609.0,58106.0,50145.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Denmark,8976.7,6956.9,11787.9,15593.0,10371.6,6731.2,11210.0,8458.4,9274.8,7886.5,13452.0,14836.1
