Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,ICT services,Bulgaria,1.4 b,1.59,1.66,1.74,1.88,1.98,2.04,2.21,2.43,2.55,2.68 b,2.87,3.07,3.31 b
Annual,ICT services,Switzerland,: b,2.51,2.23 b,2.29,2.43 d,2.47,2.56,2.47,2.54,2.6 d,2.64,2.72,2.86,2.84 be
Annual,ICT services,Cyprus,1.71 b,1.67,1.86,1.87,2.0,2.12,2.25,2.25,2.33,2.41 p,2.65 p,2.89 p,3.07 p,3.47 b
Annual,ICT services,Czechia,2.04 b,2.09,2.14,2.2,2.25,2.28,2.35,2.39,2.48,2.6,2.69,2.81,2.91,3.01 b
Annual,ICT services,Germany,1.9 b,1.92,1.92,2.05,2.03,2.15,2.29,2.35,2.44,2.52,2.83 b,2.81 p,2.82 p,2.94 bp
Annual,ICT services,Denmark,2.94 b,2.92,3.0,3.88,3.86,3.85,3.78,3.81,3.25 b,3.28,3.36,3.44,3.51,3.45 b
Annual,ICT services,Estonia,2.05 b,2.19,2.26,2.47,2.6,2.63,2.77,2.82,2.92,3.29,3.51 b,3.97,: @C,: b@C
Annual,ICT services,Greece,1.35 b,1.23,1.21 b,1.26,1.33,1.2,1.44,1.41,1.39,1.41,1.43 b,1.49,1.59 p,1.7 bp
Annual,ICT services,Spain,1.85 b,1.9,1.93,2.02,2.13,2.11,2.13,2.21,2.29,2.34,2.4 b,2.45,2.7 p,2.73 bp
Annual,ICT services,European Union - 27 countries (from 2020),: b,:,:,:,:,:,:,:,:,:,:,2.72,2.84,2.94 be
Annual,ICT services,Finland,2.76 b,2.82,2.8,2.83,2.89,: @C,3.03,3.06,3.14,3.28 b,3.34,3.45,3.62,3.51 b
Annual,ICT services,France,: b,:,2.52,2.56,2.63,2.59,2.75 b,2.7 b,2.73 be,2.85 be,2.76,2.78,2.95,2.95 bp
Annual,ICT services,Croatia,1.5 b,1.55,1.73,1.75,1.81,1.96,2.0,2.08,2.13,2.24,2.31,2.56 b,2.72,3.12 b
Annual,ICT services,Hungary,2.17 b,2.2,2.3,2.35,2.44,2.44,2.52,2.53,2.56,2.61,2.67 b,2.82,2.91,3.1 b
