Time frequency,Frequency,Category of persons,Degree of urbanisation,Household composition,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,Once a month,Friends,Total,Total,Total,Percentage,Serbia,6.2,3.8
Annual,Once a month,Friends,Total,Total,Total,Percentage,Sweden,4.8,7.0
Annual,Once a month,Friends,Total,Total,Total,Percentage,Slovenia,8.2,6.9
Annual,Once a month,Friends,Total,Total,Total,Percentage,Slovakia,10.0,9.5
Annual,Once a month,Friends,Total,Total,Total,Percentage,United Kingdom,6.1 u,:
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Austria,20.5,35.6
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Belgium,24.2,25.4
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Bulgaria,29.7,55.1
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Switzerland,25.5,32.3
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Cyprus,61.1,74.2
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Czechia,24.0,30.7
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Germany,26.2,: u
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Denmark,29.7,18.9
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,33.8 e
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Estonia,14.7,17.5
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Greece,44.3,44.0
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Spain,41.5,44.0
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),26.5,32.6 e
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Finland,24.4,29.5
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,France,20.6,25.7
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Croatia,24.0,25.5
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Hungary,18.6,26.2
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Ireland,45.7 u,31.0
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Iceland,28.3,:
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Italy,29.5,40.2
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Lithuania,14.5,20.2
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Luxembourg,28.1,20.0
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Latvia,12.7,13.9
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Malta,47.4,52.4
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Netherlands,33.1,30.7
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Norway,30.8,30.8
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Poland,10.0 u,21.0
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Portugal,28.2,36.5
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Romania,22.5,35.9
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Serbia,43.9,35.0
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Sweden,26.3,24.6
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Slovenia,20.5,25.0
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,Slovakia,33.7,34.4
Annual,Every day,Family and relatives,Total,Total,Total,Percentage,United Kingdom,36.5 u,:
Annual,Every day,Friends,Total,Total,Total,Percentage,Austria,24.7,32.7
Annual,Every day,Friends,Total,Total,Total,Percentage,Belgium,22.9,21.3
Annual,Every day,Friends,Total,Total,Total,Percentage,Bulgaria,30.4,37.9
Annual,Every day,Friends,Total,Total,Total,Percentage,Switzerland,31.3,34.4
Annual,Every day,Friends,Total,Total,Total,Percentage,Cyprus,48.4,57.4
Annual,Every day,Friends,Total,Total,Total,Percentage,Czechia,18.2,24.1
Annual,Every day,Friends,Total,Total,Total,Percentage,Germany,34.3,: u
Annual,Every day,Friends,Total,Total,Total,Percentage,Denmark,32.7,25.1
Annual,Every day,Friends,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,31.6 e
Annual,Every day,Friends,Total,Total,Total,Percentage,Estonia,20.9,20.4
Annual,Every day,Friends,Total,Total,Total,Percentage,Greece,42.9,45.7
Annual,Every day,Friends,Total,Total,Total,Percentage,Spain,41.1,39.9
Annual,Every day,Friends,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),26.4,29.2 e
Annual,Every day,Friends,Total,Total,Total,Percentage,Finland,29.6,33.5
Annual,Every day,Friends,Total,Total,Total,Percentage,France,20.5,22.9
Annual,Every day,Friends,Total,Total,Total,Percentage,Croatia,32.9,34.3
Annual,Every day,Friends,Total,Total,Total,Percentage,Hungary,17.9,16.7
Annual,Every day,Friends,Total,Total,Total,Percentage,Ireland,34.7 u,32.7
Annual,Every day,Friends,Total,Total,Total,Percentage,Iceland,26.4,:
Annual,Every day,Friends,Total,Total,Total,Percentage,Italy,21.4,33.9
Annual,Every day,Friends,Total,Total,Total,Percentage,Lithuania,16.7,19.1
Annual,Every day,Friends,Total,Total,Total,Percentage,Luxembourg,30.8,20.1
Annual,Every day,Friends,Total,Total,Total,Percentage,Latvia,17.2,11.0
Annual,Every day,Friends,Total,Total,Total,Percentage,Malta,28.5,30.5
Annual,Every day,Friends,Total,Total,Total,Percentage,Netherlands,33.6,33.8
Annual,Every day,Friends,Total,Total,Total,Percentage,Norway,41.9,55.4
Annual,Every day,Friends,Total,Total,Total,Percentage,Poland,9.7 u,18.0
Annual,Every day,Friends,Total,Total,Total,Percentage,Portugal,25.0,31.9
Annual,Every day,Friends,Total,Total,Total,Percentage,Romania,12.5,13.7
Annual,Every day,Friends,Total,Total,Total,Percentage,Serbia,46.1,50.7
Annual,Every day,Friends,Total,Total,Total,Percentage,Sweden,38.7,33.1
Annual,Every day,Friends,Total,Total,Total,Percentage,Slovenia,26.2,27.7
Annual,Every day,Friends,Total,Total,Total,Percentage,Slovakia,23.8,23.9
Annual,Every day,Friends,Total,Total,Total,Percentage,United Kingdom,31.8 u,:
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Austria,4.1,1.9
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Belgium,3.2,2.9
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Bulgaria,5.3,1.7
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Switzerland,2.1,2.2
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Cyprus,0.4,0.2
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Czechia,2.6,1.7
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Germany,4.3,: u
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Denmark,2.8,4.9
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,2.9 e
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Estonia,3.7,5.8
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Greece,1.6,3.1
Annual,At least once a year,Family and relatives,Total,Total,Total,Percentage,Spain,2.9,4.2
