Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,53.6,52.0
Annual,Percentage,From 15 to 24 years,Females,Belgium,58.5,61.4
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,32.2 u,31.6 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,55.0 u,31.5
Annual,Percentage,From 15 to 24 years,Females,Czechia,55.6 u,54.7 u
Annual,Percentage,From 15 to 24 years,Females,Germany,43.7,51.0
Annual,Percentage,From 15 to 24 years,Females,Denmark,48.5,69.4
Annual,Percentage,From 15 to 24 years,Females,Estonia,26.5 u,52.0 u
Annual,Percentage,From 15 to 24 years,Females,Greece,33.5 u,15.9 u
Annual,Percentage,From 15 to 24 years,Females,Spain,33.0,42.4
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),46.0,52.0
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),48.9,56.5
Annual,Percentage,From 15 to 24 years,Females,Finland,58.2,61.2 u
Annual,Percentage,From 15 to 24 years,Females,France,56.5,60.7
Annual,Percentage,From 15 to 24 years,Females,Croatia,47.9 u,35.0 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,20.5 u,28.3 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,23.1,65.9 u
Annual,Percentage,From 15 to 24 years,Females,Italy,29.2,40.0 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,30.1 u,63.5
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,41.4,57.7 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,9.4 u,59.3 u
Annual,Percentage,From 15 to 24 years,Females,Malta,55.9,68.9
Annual,Percentage,From 15 to 24 years,Females,Netherlands,59.6,68.9
Annual,Percentage,From 15 to 24 years,Females,Poland,52.3,42.1
Annual,Percentage,From 15 to 24 years,Females,Portugal,35.0 u,17.3 u
Annual,Percentage,From 15 to 24 years,Females,Romania,69.1 u,42.4 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,40.0 u,59.3 u
Annual,Percentage,From 15 to 24 years,Females,Slovenia,45.2,50.8 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,41.5 u,39.8 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,60.7,71.5
Annual,Percentage,From 15 to 24 years,Males,Austria,41.5,72.7
Annual,Percentage,From 15 to 24 years,Males,Belgium,58.9,63.2
Annual,Percentage,From 15 to 24 years,Males,Bulgaria,50.2 u,54.9 u
Annual,Percentage,From 15 to 24 years,Males,Cyprus,36.2 u,39.7
Annual,Percentage,From 15 to 24 years,Males,Czechia,54.2 u,42.1 u
Annual,Percentage,From 15 to 24 years,Males,Germany,41.3,58.7
Annual,Percentage,From 15 to 24 years,Males,Denmark,45.6,63.2
Annual,Percentage,From 15 to 24 years,Males,Estonia,33.9 u,66.2 u
Annual,Percentage,From 15 to 24 years,Males,Greece,28.3,20.7 u
Annual,Percentage,From 15 to 24 years,Males,Spain,40.0,37.0
Annual,Percentage,From 15 to 24 years,Males,European Union - 27 countries (from 2020),40.4,50.0
Annual,Percentage,From 15 to 24 years,Males,European Union - 28 countries (2013-2020),40.7,52.5
Annual,Percentage,From 15 to 24 years,Males,Finland,40.9,76.9 u
Annual,Percentage,From 15 to 24 years,Males,France,41.5,44.6
Annual,Percentage,From 15 to 24 years,Males,Croatia,23.3,32.0 u
Annual,Percentage,From 15 to 24 years,Males,Hungary,14.1 u,52.5 u
Annual,Percentage,From 15 to 24 years,Males,Ireland,3.1,45.9
Annual,Percentage,From 15 to 24 years,Males,Italy,40.4,38.7 u
Annual,Percentage,From 15 to 24 years,Males,Lithuania,20.0,52.7 u
Annual,Percentage,From 15 to 24 years,Males,Luxembourg,57.5,68.2 u
Annual,Percentage,From 15 to 24 years,Males,Latvia,25.1,41.7 u
Annual,Percentage,From 15 to 24 years,Males,Malta,42.1,62.3
Annual,Percentage,From 15 to 24 years,Males,Netherlands,72.0 u,70.0
Annual,Percentage,From 15 to 24 years,Males,Poland,40.3,26.8
Annual,Percentage,From 15 to 24 years,Males,Portugal,24.8 u,20.4 u
Annual,Percentage,From 15 to 24 years,Males,Romania,14.7 u,60.6 u
Annual,Percentage,From 15 to 24 years,Males,Sweden,40.0 u,44.7 u
Annual,Percentage,From 15 to 24 years,Males,Slovenia,58.8,49.5
Annual,Percentage,From 15 to 24 years,Males,Slovakia,11.9 u,36.5 u
Annual,Percentage,From 15 to 24 years,Males,United Kingdom,42.3,60.9
Annual,Percentage,From 15 to 24 years,Total,Austria,46.9,62.5
Annual,Percentage,From 15 to 24 years,Total,Belgium,58.7,62.4
Annual,Percentage,From 15 to 24 years,Total,Bulgaria,43.3,44.8
Annual,Percentage,From 15 to 24 years,Total,Cyprus,45.8 u,34.9
Annual,Percentage,From 15 to 24 years,Total,Czechia,54.8,47.6
Annual,Percentage,From 15 to 24 years,Total,Germany,42.4,55.2
Annual,Percentage,From 15 to 24 years,Total,Denmark,47.0,66.1
Annual,Percentage,From 15 to 24 years,Total,Estonia,30.6,59.0
Annual,Percentage,From 15 to 24 years,Total,Greece,30.4,18.4
Annual,Percentage,From 15 to 24 years,Total,Spain,36.5,39.3
Annual,Percentage,From 15 to 24 years,Total,European Union - 27 countries (from 2020),42.9,50.9
Annual,Percentage,From 15 to 24 years,Total,European Union - 28 countries (2013-2020),44.5,54.3
Annual,Percentage,From 15 to 24 years,Total,Finland,50.1,66.8 u
Annual,Percentage,From 15 to 24 years,Total,France,48.7,52.2
Annual,Percentage,From 15 to 24 years,Total,Croatia,31.9,33.2
Annual,Percentage,From 15 to 24 years,Total,Hungary,17.0,37.9
Annual,Percentage,From 15 to 24 years,Total,Ireland,14.2,54.9
Annual,Percentage,From 15 to 24 years,Total,Italy,36.3,39.1
Annual,Percentage,From 15 to 24 years,Total,Lithuania,24.8,58.5
Annual,Percentage,From 15 to 24 years,Total,Luxembourg,50.2,61.8
Annual,Percentage,From 15 to 24 years,Total,Latvia,18.2,50.3
Annual,Percentage,From 15 to 24 years,Total,Malta,48.2,65.5
Annual,Percentage,From 15 to 24 years,Total,Netherlands,65.7,69.5
Annual,Percentage,From 15 to 24 years,Total,Poland,45.6,33.1
Annual,Percentage,From 15 to 24 years,Total,Portugal,29.2,18.9
Annual,Percentage,From 15 to 24 years,Total,Romania,28.7,52.0
Annual,Percentage,From 15 to 24 years,Total,Sweden,40.0,52.6
Annual,Percentage,From 15 to 24 years,Total,Slovenia,53.3,50.1
Annual,Percentage,From 15 to 24 years,Total,Slovakia,22.9,37.9
Annual,Percentage,From 15 to 24 years,Total,United Kingdom,51.7,65.8
Annual,Percentage,From 15 to 64 years,Females,Austria,33.2,33.1
Annual,Percentage,From 15 to 64 years,Females,Belgium,43.2,42.6
Annual,Percentage,From 15 to 64 years,Females,Bulgaria,15.6,30.6
Annual,Percentage,From 15 to 64 years,Females,Cyprus,24.4,18.8
Annual,Percentage,From 15 to 64 years,Females,Czechia,29.1,23.1
Annual,Percentage,From 15 to 64 years,Females,Germany,26.4,39.1
Annual,Percentage,From 15 to 64 years,Females,Denmark,48.5,51.9
Annual,Percentage,From 15 to 64 years,Females,Estonia,21.7,38.9
Annual,Percentage,From 15 to 64 years,Females,Greece,21.6,12.4
Annual,Percentage,From 15 to 64 years,Females,Spain,25.8,30.7
Annual,Percentage,From 15 to 64 years,Females,European Union - 27 countries (from 2020),30.1,33.6
Annual,Percentage,From 15 to 64 years,Females,European Union - 28 countries (2013-2020),32.6,36.0
Annual,Percentage,From 15 to 64 years,Females,Finland,48.3,44.4
Annual,Percentage,From 15 to 64 years,Females,France,39.3,39.4
Annual,Percentage,From 15 to 64 years,Females,Croatia,18.3,22.6
Annual,Percentage,From 15 to 64 years,Females,Hungary,11.5,28.3
Annual,Percentage,From 15 to 64 years,Females,Ireland,19.5,45.7
Annual,Percentage,From 15 to 64 years,Females,Italy,26.7,17.9
Annual,Percentage,From 15 to 64 years,Females,Lithuania,13.8,32.1
Annual,Percentage,From 15 to 64 years,Females,Luxembourg,37.5,41.9
Annual,Percentage,From 15 to 64 years,Females,Latvia,15.7,33.0
Annual,Percentage,From 15 to 64 years,Females,Malta,43.8,53.0
Annual,Percentage,From 15 to 64 years,Females,Netherlands,48.7,40.9
Annual,Percentage,From 15 to 64 years,Females,Poland,35.3,31.8
Annual,Percentage,From 15 to 64 years,Females,Portugal,15.5,12.6
Annual,Percentage,From 15 to 64 years,Females,Romania,18.2,34.3
Annual,Percentage,From 15 to 64 years,Females,Sweden,45.8,51.7
Annual,Percentage,From 15 to 64 years,Females,Slovenia,30.2,24.4
Annual,Percentage,From 15 to 64 years,Females,Slovakia,19.9,24.5
Annual,Percentage,From 15 to 64 years,Females,United Kingdom,48.9,51.0
Annual,Percentage,From 15 to 64 years,Males,Austria,29.2,38.8
Annual,Percentage,From 15 to 64 years,Males,Belgium,40.5,43.5
