Time frequency,Risk type,Social insurance coverage,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Sickness,Covered by another job (not by any platform or app),Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,24.0
Annual,Sickness,Covered by another job (not by any platform or app),Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,24.1
Annual,Sickness,Covered by another job (not by any platform or app),Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,24.1
Annual,Sickness,Covered by another job (not by any platform or app),Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,22.1
Annual,Sickness,Covered by another job (not by any platform or app),Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.7
Annual,Sickness,Covered by another job (not by any platform or app),Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,27.3
Annual,Sickness,Covered by another job (not by any platform or app),Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,22.9
Annual,Sickness,Covered by another job (not by any platform or app),Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.0
Annual,Sickness,Covered by another job (not by any platform or app),Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.9
Annual,Sickness,"Covered by platform, app or another source",Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,11.8
Annual,Sickness,"Covered by platform, app or another source",Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,17.6
Annual,Sickness,"Covered by platform, app or another source",Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,20.0
Annual,Sickness,"Covered by platform, app or another source",Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,13.4
Annual,Sickness,"Covered by platform, app or another source",Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,19.8
Annual,Sickness,"Covered by platform, app or another source",Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,22.8
Annual,Sickness,"Covered by platform, app or another source",Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,12.7
Annual,Sickness,"Covered by platform, app or another source",Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,18.8
Annual,Sickness,"Covered by platform, app or another source",Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,21.5
Annual,Sickness,Not covered,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,64.1
Annual,Sickness,Not covered,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,58.4
Annual,Sickness,Not covered,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,55.9
Annual,Sickness,Not covered,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,64.5
Annual,Sickness,Not covered,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,54.6
Annual,Sickness,Not covered,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,49.9
Annual,Sickness,Not covered,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,64.4
Annual,Sickness,Not covered,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,56.3
Annual,Sickness,Not covered,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,52.6
Annual,Unemployment,Covered by another job (not by any platform or app),Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,21.9
Annual,Unemployment,Covered by another job (not by any platform or app),Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,21.6
Annual,Unemployment,Covered by another job (not by any platform or app),Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,21.5
Annual,Unemployment,Covered by another job (not by any platform or app),Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,20.4
Annual,Unemployment,Covered by another job (not by any platform or app),Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,24.7
Annual,Unemployment,Covered by another job (not by any platform or app),Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,26.7
Annual,Unemployment,Covered by another job (not by any platform or app),Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,21.0
Annual,Unemployment,Covered by another job (not by any platform or app),Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,23.3
Annual,Unemployment,Covered by another job (not by any platform or app),Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,24.3
Annual,Unemployment,"Covered by platform, app or another source",Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,12.7
Annual,Unemployment,"Covered by platform, app or another source",Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,13.0
Annual,Unemployment,"Covered by platform, app or another source",Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,13.1
