Time frequency,Type of household,Income situation in relation to the risk of poverty threshold,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Total,Total,Percentage,Total,Females,Albania,:,:,:,:,:,:,:,5.8,6.0,5.7,4.7,:
Annual,Total,Total,Percentage,Total,Females,Austria,0.5,0.4,0.5,0.2,0.3,0.5,0.3,0.2,0.5,0.2,0.7,0.4
Annual,Total,Total,Percentage,Total,Females,Belgium,0.3,0.8,0.7,0.7,0.7,0.6,0.4,0.3,0.2,0.2 b,0.3,0.5
Annual,Total,Total,Percentage,Total,Females,Bulgaria,15.4,15.1,13.7,13.6,12.1,11.5,10.9 b,10.3,9.3,7.4,6.9,4.7
Annual,Total,Total,Percentage,Total,Females,Switzerland,0.2,0.1,0.1,0.0 n,0.2 b,0.0 n,0.0,0.1,0.1,0.1,0.1,:
Annual,Total,Total,Percentage,Total,Females,Cyprus,1.1,1.2,1.0,1.1,1.1,1.0,0.9,0.7,0.6,0.5,0.4,:
Annual,Total,Total,Percentage,Total,Females,Czechia,0.5,0.5,0.6,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.2,:
Annual,Total,Total,Percentage,Total,Females,Germany,0.5,0.1,0.1,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 b,:
Annual,Total,Total,Percentage,Total,Females,Denmark,0.8,2.4,2.5,1.9,2.1,2.3,2.3,1.8,1.7,1.5,2.0,:
Annual,Total,Total,Percentage,Total,Females,Euro area - 19 countries  (2015-2022),0.8,0.8,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,:
Annual,Total,Total,Percentage,Total,Females,Estonia,11.3,10.1,9.2,9.0,7.9 b,7.1,7.1,6.5,6.2,5.5,4.8,:
Annual,Total,Total,Percentage,Total,Females,Greece,0.9,1.4,0.7,0.9,0.7,0.5,0.5,0.6,0.6,0.5,0.2,0.3
Annual,Total,Total,Percentage,Total,Females,Spain,0.0,0.0 n,0.1,0.0 n,0.1,0.1,0.3,0.1,0.2,0.3,0.2,:
Annual,Total,Total,Percentage,Total,Females,European Union - 27 countries (2007-2013),2.9,2.7,2.6,2.4,2.3,2.2,2.1,2.0 e,1.8 e,1.6 e,:,:
Annual,Total,Total,Percentage,Total,Females,European Union - 27 countries (from 2020),3.2 e,3.1 e,2.9 e,2.7 e,2.5 e,2.4 e,2.3 e,2.1 e,2.0 e,1.8 e,1.6,:
