Time frequency,Unit of measure,Country of citizenship,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Foreign country,Serbia,40.9,27.1,19.8,36.3,23.6,16.0 u,50.7 u,: u,: u,:
Annual,Percentage,Foreign country,Sweden,50.2,56.4,58.1,51.8,54.0,57.5,50.2,43.3,43.1,46.1
Annual,Percentage,Foreign country,Slovenia,56.9,46.4,44.6,41.5,35.6,30.2,29.4,32.2,28.4,33.9
Annual,Percentage,Foreign country,Slovakia,: u,: u,: u,: u,: u,33.5 u,25.9 u,: u,: u,: u
Annual,Percentage,Foreign country,Türkiye,20.1 u,13.3,30.7,32.8,21.5,28.1,37.3,38.0,44.3,46.7
Annual,Percentage,Foreign country,United Kingdom,23.9,27.8,23.1,29.4 b,26.5,:,:,:,:,:
Annual,Percentage,Foreign country,Kosovo*,:,:,:,:,29.9,:,:,:,:,:
Annual,Percentage,Reporting country,Albania,:,:,:,29.4,29.7,29.3,31.2,28.5,:,:
Annual,Percentage,Reporting country,Austria,10.8,9.0,9.3,10.2,11.8,9.1,7.8,9.9,10.5,10.9
Annual,Percentage,Reporting country,Belgium,13.2,13.9,14.0,13.0,14.1,13.4 b,10.9,11.3,10.6,9.2
Annual,Percentage,Reporting country,Bulgaria,30.6,24.8,31.0 b,28.5,25.8,27.0,27.4,23.3,25.6,26.5
Annual,Percentage,Reporting country,Switzerland,12.4 b,12.9,12.2,12.3,11.8,10.4,12.5,10.6,10.9,10.4
Annual,Percentage,Reporting country,Cyprus,8.7,11.5,12.9,12.3,11.6,10.6,9.5,10.0,8.9,9.1
Annual,Percentage,Reporting country,Czechia,14.2,14.4,13.5,11.3,11.2,11.2,11.4,11.4,10.8,11.3
Annual,Percentage,Reporting country,Germany,14.3,13.7,14.5,14.4,13.9,11.6,11.1 b,11.1,8.9,7.3
Annual,Percentage,Reporting country,Denmark,7.2,5.8,7.3,8.4,10.1,6.7,6.6 b,6.7,8.9,6.7
Annual,Percentage,Reporting country,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",17.5 e,17.8 e,17.9 e,17.0 e,16.7 e,15.7,15.5,15.7,:,:
Annual,Percentage,Reporting country,Euro area - 18 countries (2014),17.5,17.7,17.8,16.9,16.7,15.6,15.4,:,:,:
Annual,Percentage,Reporting country,Euro area - 19 countries  (2015-2022),17.5,17.8,17.9,17.0,16.7,15.7,15.5,15.7,:,:
Annual,Percentage,Reporting country,Euro area – 20 countries (from 2023),17.5,17.8,17.9,17.0,16.8,15.7,15.5,15.7,15.4,14.9
Annual,Percentage,Reporting country,Estonia,17.5,18.6,17.2,13.7,12.9,14.7,13.8,13.9,12.8,14.7
Annual,Percentage,Reporting country,Greece,19.9,22.4,23.8,21.3,19.6,18.8,18.7,21.4,20.3,19.3
