Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,Consumer price index (2015 = 100),Algeria,64.6 de,66.1 de,68.5 de,71.8 de,75.9 de,78.9 de,82.5 de,89.8 de,92.7 de,95.4 de,100.0 de,106.4 de,112.3 de,117.1 de,118.6 de
Annual,Consumer price index (2015 = 100),Egypt,:,:,43.4,51.3,57.4,63.8,70.2,75.2,82.3,90.5,100.0,113.8,147.4,168.6,:
Annual,Consumer price index (2015 = 100),Israel,82.3,84.1,84.5,88.4,91.3,93.8,97.0,98.7,100.2,100.6,100.0,99.5,99.7,100.5,:
Annual,Consumer price index (2015 = 100),Jordan,65.1 di,69.2 di,72.4 di,82.6 di,81.9 di,85.9 di,89.5 di,93.5 di,98.0 di,100.9 di,100.0 di,99.2 di,102.5 di,107.1 di,107.2 d
Annual,Consumer price index (2015 = 100),Lebanon,:,:,76.4 d,80.2 d,81.2 d,84.4 d,88.6 d,94.4 d,99.0 d,100.8 d,97.0 d,96.3 d,100.6 d,106.7 d,:
Annual,Consumer price index (2015 = 100),Libya,:,:,:,:,:,:,:,:,:,:,:,:,238.8 d,270.2 d,266.7 d
Annual,Consumer price index (2015 = 100),Morocco,84.3,87.2,88.9,92.4,93.2,94.1,95.0,96.2,98.0,98.4,100.0,101.6,102.3,104.2,:
Annual,Consumer price index (2015 = 100),Palestine*,72.7 e,75.5 e,76.9 e,84.5 e,86.8 e,90.1 e,92.7 e,95.3 e,96.9 e,98.6 e,100.0 e,99.8 e,100.0 d,99.8 e,:
Annual,Consumer price index (2015 = 100),Tunisia,64.7,67.4,69.7,73.1,75.7,79.0,81.8,86.0,90.9,95.4,100.0,103.6,109.1,117.1,125.6 d
