Time frequency,n_action,unit,geo\TIME_PERIOD,2003.0
Annual,3.0,THS,UK,1362.0
Annual,GT3,PC,AT,3.4
Annual,GT3,PC,BE,2.1
Annual,GT3,PC,CY,1.6
Annual,GT3,PC,CZ,0.4
Annual,GT3,PC,DE,1.7
Annual,GT3,PC,DK,7.3
Annual,GT3,PC,EE,0.6
Annual,GT3,PC,EL,0.0
Annual,GT3,PC,ES,0.3
Annual,GT3,PC,EU25,2.1
Annual,GT3,PC,FI,4.7
Annual,GT3,PC,FR,1.1
Annual,GT3,PC,HU,0.0
Annual,GT3,PC,IE,0.7
Annual,GT3,PC,IT,0.7
Annual,GT3,PC,LT,0.5
Annual,GT3,PC,LU,0.2
Annual,GT3,PC,LV,0.6
Annual,GT3,PC,PT,0.4
Annual,GT3,PC,SE,8.1
Annual,GT3,PC,UK,7.7
Annual,GT3,THS,AT,151.0
Annual,GT3,THS,BE,116.0
Annual,GT3,THS,CY,6.0
Annual,GT3,THS,CZ,22.0
Annual,GT3,THS,DE,769.0
Annual,GT3,THS,DK,218.0
Annual,GT3,THS,ES,61.0
Annual,GT3,THS,EU25,4644.0
Annual,GT3,THS,FI,134.0
Annual,GT3,THS,FR,349.0
Annual,GT3,THS,IE,14.0
Annual,GT3,THS,IT,211.0
Annual,GT3,THS,LT,9.0
Annual,GT3,THS,LV,8.0
Annual,GT3,THS,PT,23.0
Annual,GT3,THS,SE,384.0
Annual,GT3,THS,UK,2160.0
Annual,NRP,PC,BE,1.7
Annual,NRP,PC,CY,0.6
Annual,NRP,PC,CZ,2.1
Annual,NRP,PC,EL,0.0
Annual,NRP,PC,ES,1.9
Annual,NRP,PC,EU25,1.0
Annual,NRP,PC,FI,1.5
Annual,NRP,PC,HU,0.2
Annual,NRP,PC,IE,30.1
Annual,NRP,PC,LT,0.7
Annual,NRP,PC,LU,0.0
Annual,NRP,PC,PT,13.1
Annual,NRP,PC,SE,0.0
Annual,NRP,PC,UK,0.3
Annual,NRP,THS,BE,92.0
Annual,NRP,THS,CY,2.0
Annual,NRP,THS,CZ,124.0
Annual,NRP,THS,ES,439.0
Annual,NRP,THS,EU25,2161.0
Annual,NRP,THS,FI,42.0
Annual,NRP,THS,HU,9.0
Annual,NRP,THS,IE,620.0
Annual,NRP,THS,LT,12.0
Annual,NRP,THS,PT,740.0
Annual,NRP,THS,UK,79.0
