Time frequency,Energy consumption,product,unit,geo\TIME_PERIOD,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,EL,12.89,35.7,:,43.86,48.5277,41.88,32.6221
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,ES,:,:,19.3500 e,19.8044,19.34,11.5514,7.6502
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,EU27_2020,9.9302 e,16.3177 e,19.2118 e,17.6454,17.6865,14.2717,:
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,FI,5.2247,5.0,2.19,5.99,5.8500 e,5.0000 e,6.632
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,FR,19.0376,19.9141,20.0646,18.6295,18.8073,20.0054,18.4688
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,GE,:,39.6123,34.0,31.49,31.0,25.0,26.5
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,HR,28.83,25.78,24.62,29.5742,29.86,26.66,25.59
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,HU,13.3995,14.1587,13.6703,15.0521,17.8501,17.6189,18.5423
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,IE,19.1309,19.5546,22.0522,20.7663,:,:,:
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,IT,:,19.8484,16.5216,16.8368,18.7175,23.8391,22.4253
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,LT,24.1386,24.4941,25.4538,25.9367,25.9573,19.1859,35.1084
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,LU,12.75,10.46,11.84,12.91,11.82,14.3,12.8
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,LV,21.18,29.07,31.36,35.25,33.7725,40.29,41.82
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,MD,32.1431,25.2976,24.7249,24.5347,22.3182,28.3492,28.3663
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,MK,24.9449,22.9,24.3461,24.6899,18.5711,29.3449,31.3404
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,NL,23.0,24.0,19.0,16.0,17.0,18.0,26.0
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,PL,24.1119,23.1565,23.2692,23.0208,24.248,20.7205,17.7883
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,PT,18.92,18.072,15.589,14.584,:,:,19.684
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,RO,16.3753 e,17.7471 e,17.5709,15.2607,15.57,15.2145,15.2369
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,RS,11.5711,12.1352,13.7593,13.2237,12.4384,12.8267,14.1449
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,SE,27.43,23.98,19.91,40.38,18.63,15.87,28.72
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,SI,18.4131,20.693,20.2657,18.1435,18.3394,17.5774,22.1104
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,SK,18.1,16.5,13.9,17.2,20.1,17.2,21.2
