Time frequency,Sex,Income situation in relation to the risk of poverty threshold,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.4,1.1,1.2,1.0,1.1,:,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Austria,:,2.9 u,1.3,1.6,1.9,3.1 bu,2.6 u,2.8 u,3.1 u,1.9,1.8,1.6,1.8,2.0,1.5,1.9,1.9,1.4,1.8,2.0,1.3
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Belgium,:,6.6,4.8,4.4,5.0,7.1,3.9,4.0,4.8,5.1,4.4,4.5,4.5,4.5,4.5,3.5,4.1 b,3.5,3.8,4.0,4.1
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Bulgaria,:,:,:,7.7,11.3,8.0,2.3,2.2,3.9,6.0,7.9,5.2,6.4,10.4 b,9.4,8.7,6.6,5.9,4.3,4.7,3.8
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Switzerland,:,:,:,:,:,:,6.1,7.3,6.2,4.8,5.0,6.0 b,5.8,6.4,5.7,6.7,6.3,6.6,7.3,6.1,6.6
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Cyprus,:,:,2.9,1.4,0.7,1.0 b,1.1,1.6,1.8,1.6,1.8,2.2,2.1,1.3,1.4,1.2,0.9,1.0,1.4,1.2,1.6
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Czechia,:,:,6.8,7.8,7.3,9.3,5.8,5.7,5.9,6.2,7.9,6.9,6.3,5.7,5.1,4.2,3.4,3.1,3.2,3.6,5.0
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Germany,:,:,:,:,:,:,:,9.4,10.5,9.9,10.1,8.3,8.4,9.1,7.9,7.5,8.0,3.3 b,5.1,6.9,7.9 b
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Denmark,:,:,7.6,9.4,7.5,11.2,17.2,14.4,11.3 b,9.5,10.2,8.5,7.9,7.1,7.4,6.8,7.2,6.5 b,7.5,6.8,7.8
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Euro area - 19 countries  (2015-2022),:,:,5.3 e,5.3 e,4.4 e,4.2 e,3.8 e,4.8,5.4,5.4,5.7,5.5,5.5,5.1,4.7,4.4,4.7,3.2,3.6 e,:,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,5.5,5.5,5.1,4.6,4.3,4.6,3.2,3.7,4.0,4.2
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Estonia,:,:,2.6,1.8,1.9,1.3,1.8,2.2,2.8,2.6,2.2,2.0 b,1.6,0.9,1.1,0.6,1.2,1.1,0.7,1.2,1.8
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Greece,:,13.2,12.2,13.3,3.2,11.3,10.6,5.5,9.4,15.8,19.9,31.2,32.3,26.7,26.8,27.8,24.8,22.5,17.1,13.3,15.1
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Spain,:,2.2,2.7,2.9,3.8,3.8 b,4.0,3.0,3.3,3.0,3.2,2.7,2.5,2.6,2.5,2.3,2.5,2.2,2.6,2.4,2.3
Annual,Total,Above 60% of median equivalised income,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,5.9 e,5.7 e,5.0 e,5.5,6.0,5.5,5.8,5.7 e,5.6 e,5.2 e,4.8 e,4.6 e,4.6 e,:,:,:,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,European Union - 27 countries (2007-2013),:,:,6.5 e,6.4 e,5.9 e,5.7 e,5.0 e,5.5,6.0,5.5,5.8,5.7,5.6,5.3,4.9,4.6,4.7 e,:,:,:,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,5.1,5.5,5.7,6.0,5.6 e,5.4 e,5.0 e,4.5 e,4.2 e,4.3 e,3.0,3.4,3.9,4.1
Annual,Total,Above 60% of median equivalised income,Total,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,5.5,6.0,5.5,5.8,5.7,5.6,5.2,4.8,4.6,4.6 e,:,:,:,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Finland,:,2.1,1.8,2.0,2.7,2.5,2.4,2.4,2.7,2.6,2.8,2.8,2.7,2.4,2.5,2.4,2.1,2.3,2.6,3.2,3.1
Annual,Total,Above 60% of median equivalised income,Total,Percentage,France,:,3.5,3.6,3.6,3.8,2.6,2.4,2.5,2.5,2.4,2.4,2.7,3.2,2.5,2.7,2.2,2.8,2.6 b,:,3.0 b,2.7
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Croatia,:,:,:,:,:,:,:,5.2,1.8,1.3,2.1,2.2,1.3,1.0,0.7,0.6,0.6,0.6,0.5,0.4,0.4
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Hungary,:,:,13.7,7.0,7.0,7.3,5.0,7.7,8.5,10.6,9.7,8.3,4.5,4.7,4.7,4.2,1.7,2.6,0.9,4.5,4.0
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Ireland,2.4,0.9,1.0,1.2,1.2,1.7,1.6,1.7,2.3,2.2,1.6,2.3,2.1,1.7,1.7,1.5,2.5 b,2.2 b,1.6,1.9,2.5
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Iceland,:,6.8,9.3,11.3,7.6,9.2,6.7,6.2,7.3,5.7,5.4,5.4,4.7,3.9,4.8,6.5,8.8,:,:,:,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Italy,:,6.3,6.4,6.3,3.0,3.8,3.3,2.6,2.9,2.8,3.3,2.9,2.5,2.7,1.9,1.9,2.1,1.8,1.9,2.3,1.8
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Lithuania,:,:,3.4,2.3,1.2,1.0,1.8,3.4,4.8,3.3,2.9,2.2,2.5,1.7,1.3,0.6,0.9,0.3,0.2,0.7,1.1
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Luxembourg,1.2,1.3,1.0,1.2,1.0,1.1,1.0,1.4,1.1,1.5,1.8,2.1,2.1,2.9 b,2.6,3.3,4.3,3.1 b,2.5 b,4.6 b,5.8
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Latvia,:,:,6.3,3.7,4.1,2.3,2.5,4.0,6.6,5.5,5.0,3.5,3.0,1.9,1.6,1.9,1.3,1.3,1.1,1.1,1.9
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Montenegro,:,:,:,:,:,:,:,:,:,:,11.9,9.0,8.0,7.5,7.3,5.7,4.4,3.7,3.6,2.5,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,North Macedonia,:,:,:,:,:,:,:,:,5.6,5.2,4.8,4.3,2.9,2.0,1.8,1.1,2.4,1.5,:,:,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Malta,:,:,0.9,0.6,1.1,1.6,1.5,1.9,1.4,1.0,0.8,0.8,0.4,0.6,0.6,0.9,1.2,1.3,0.7,1.0,2.3 b
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Netherlands,:,:,15.9,15.9,13.6,9.9,9.3,10.6,11.1,10.8,11.9,10.7,10.2,6.0 b,4.6,4.7,5.4,4.4,3.9,4.7,5.6
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Norway,:,4.7,3.4,5.8,8.0,8.0,6.8,4.9,5.9,6.0,5.5,4.1,4.8,5.0,4.8,4.8,5.3,4.2,6.5 b,7.4,9.2
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Poland,:,:,8.7,6.6,5.8,5.1,4.1,4.6,4.7,5.2,5.5,4.8,3.7,2.9,2.3,2.1,2.1,1.6 b,1.9,1.9,2.1
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Portugal,:,1.6,1.4,2.5,4.2,4.5,2.7,1.6,3.0,3.8,3.0,3.2,3.2,2.5,2.4,2.3,2.2,1.5,1.8,2.2,2.0
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Romania,:,:,:,:,11.6,12.0,9.1,9.1,6.9,10.5,9.5,8.1,6.9,6.1,4.9,3.2,2.1,2.0,2.2,3.7,4.0
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Serbia,:,:,:,:,:,:,:,:,:,:,14.5,16.3,16.6,15.7,16.6,15.5,9.1,6.9,5.4,4.7,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Sweden,:,4.0,4.2,3.6,3.3,3.6 b,3.9,1.9,2.8,2.7,3.0,2.5,2.6,2.6,2.7,2.6,2.8,2.5,2.5,2.7,4.0
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Slovenia,:,:,3.3,1.2,2.8,2.1,1.6,2.0,1.9,2.0,2.6,2.6,2.6,2.0,1.9,1.9,1.7,1.8,1.9,1.5,1.3
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Slovakia,:,:,8.7,11.0,13.9,3.1,5.5,3.8,3.9,4.1,4.2,5.1,5.5,3.7,4.1,1.3,2.8,0.8,3.5,0.6,1.2
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Türkiye,:,:,:,9.0,6.6,8.4,8.5,8.4,8.1,7.6,9.1,7.4,7.6,7.1,6.7,6.9,6.7,6.2,7.4,7.5,10.9
Annual,Total,Above 60% of median equivalised income,Total,Percentage,United Kingdom,:,:,7.7,9.4,9.7,9.3,8.5,8.8,9.5,3.7 b,4.3,6.7 b,6.9,6.6,6.9 b,7.4,:,:,:,:,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.4,:,:,:,:,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,31.1,22.2,19.8,13.7,11.3,:,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Austria,:,36.7 u,27.4,29.1,31.4,38.1 bu,41.3 u,36.6 u,36.9 u,37.0,39.1,36.7,34.8,38.8,40.3,36.5,40.8,37.1,31.1,38.8,32.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Belgium,:,49.9,31.6,42.1,38.9,44.0,37.1,37.9,42.7,44.0,39.0,42.6,37.6,38.7,35.5,36.5,32.6 b,34.0,33.3,31.7,33.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Bulgaria,:,:,:,49.4,56.7,32.9,23.8,20.2,25.8,46.0,38.5,40.4,44.6,55.3 b,50.1,50.6,48.1,41.7,37.2,50.1,39.3
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Switzerland,:,:,:,:,:,:,51.6,52.4,52.2,50.4,43.9,47.2 b,43.9,44.7,51.2,48.4,55.0,51.8,58.2,51.5,52.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Cyprus,:,:,26.0,11.8,7.3,6.0 b,9.7,10.9,10.5,12.9,11.5,14.4,13.1,12.6,10.3,6.6,10.3,7.5,9.3,10.9,8.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Czechia,:,:,37.6,38.3,38.8,47.5,43.0,49.4,42.3,46.3,51.6,44.1,48.0,45.4,44.2,41.9,37.9,38.9,38.2,36.3,47.4
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Germany,:,:,:,:,:,:,:,42.2,46.3,51.7,49.2,54.4,51.9,50.3,48.5,49.5,48.3,39.4 b,41.7,41.3,43.2 b
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Denmark,:,:,58.5,66.4,58.0,60.7,70.5,71.1,71.0 b,69.4,75.2,68.1,66.8,74.2,75.4,69.7,74.1,70.2 b,72.1,70.7,72.3
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Euro area - 19 countries  (2015-2022),:,:,29.1 e,31.6 e,28.5 e,28.8 e,29.4 e,34.1,36.5,39.2,39.0,40.4,39.3,38.9,37.2,36.1,36.1,32.2,33.7 e,:,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,40.4,39.2,38.7,37.0,35.9,35.9,32.0,35.1,32.6,32.8
