Time frequency,Stock or flow,External trade indicator,Geopolitical entity (partner),Basic classes of goods in the System of National Accounts (SNA) in terms of Broad Economic Categories (BEC),Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Austria,710.9,825.3,949.4,348.1,272.1,-124.2,480.7,463.1,116.0,469.5,-184.3,997.8
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Belgium,1353.0,2041.3,1944.4,1953.3,584.6,2084.3,1204.3,1863.5,1401.9,1727.6,1410.7,1148.6
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Bulgaria,-412.2,-556.6,-382.4,-500.0,-536.1,-520.9,-363.9,-490.5,-521.6,-659.6,-783.3,-721.3
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Cyprus,-691.4,-560.1,-646.4,-619.7,-695.9,-665.4,-470.7,-611.1,-709.6,-647.4,-757.4,-658.4
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Czechia,2041.6,1237.2,2395.3,2887.1,2299.9,2030.7,2470.7,2120.9,2894.1,2405.1,2151.8,2755.6
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Germany,20870.8,23068.0,21148.2,20378.3,21323.5,21007.4,20399.0,16889.1,20352.9,17083.3,14788.3,19534.6
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Denmark,722.4,844.2,1047.3,837.5,442.5,578.0,1425.1,882.3,1316.4,355.2,1095.7,696.6
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Euro area – 20 countries (from 2023),13768.5,26341.0,15858.7,16193.8,17988.3,10956.0,15893.9,12859.5,9343.0,13120.9,6980.5,12856.1
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Estonia,-248.0,-284.9,-260.3,-201.5,-273.5,-197.6,-310.2,-284.8,-223.9,-279.1,-276.4,-209.1
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Greece,-3499.3,-2289.8,-3053.7,-2609.7,-3003.1,-3278.4,-2691.5,-2673.9,-2808.0,-2969.2,-2983.6,-3231.0
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Spain,-2996.5,-2813.7,-2788.4,-3431.0,-4754.1,-3014.5,-3270.8,-2840.2,-4193.7,-3651.9,-3062.2,-5407.6
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,European Union - 27 countries (from 2020),10881.0,24540.5,14416.7,14860.2,16353.8,7513.5,14250.5,9775.8,7041.4,10174.4,4202.5,10702.3
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Finland,-311.5,-345.8,-344.8,-852.0,-604.9,-198.8,842.1,122.8,-335.8,-66.6,-350.1,-65.9
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,France,-9121.3,-7679.2,-7954.0,-7711.7,-9296.0,-10426.9,-8125.1,-7161.3,-10016.0,-10389.8,-8598.7,-9119.6
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Croatia,-1551.3,-1341.0,-1462.7,-1500.1,-1623.9,-1776.2,-1534.0,-1357.7,-1639.2,-1675.0,-1538.5,-1536.7
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Hungary,-429.6,521.9,879.6,896.7,1059.6,479.0,407.5,303.3,611.6,641.0,751.6,605.6
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Ireland,4361.4,7665.2,5574.1,6442.4,8556.4,6826.1,5782.1,6622.3,6041.5,10316.2,9069.0,9413.1
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Italy,5310.9,6866.8,5130.0,3452.1,5520.2,4181.5,4613.2,3546.3,3668.0,4387.8,3863.7,3410.1
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Lithuania,-271.1,-350.5,-266.6,-284.6,-266.4,-221.5,-418.7,-509.4,-464.6,-287.9,-458.4,-423.8
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Luxembourg,-728.5,-673.3,-731.1,-615.0,-601.5,-609.5,-600.5,-816.0,-716.5,-673.2,-627.8,-713.8
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Latvia,-398.7,-94.3,-276.6,-268.2,-258.7,-187.8,-261.1,-296.2,-288.3,-271.1,-311.1,-238.1
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Malta,-345.6,-453.7,-283.5,-445.4,-398.9,-383.7,-323.1,-364.3,-400.1,-422.3,-389.1,-236.2
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Netherlands,8453.2,10665.2,7674.2,8617.2,9095.1,6055.3,8987.9,8243.1,7709.1,9328.6,7803.9,7927.2
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Poland,1138.1,1088.2,417.4,1164.5,27.5,-14.0,-540.9,-262.0,-905.0,261.9,-59.4,-31.5
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Portugal,-2200.3,-2043.6,-2551.9,-1915.9,-2419.4,-2195.8,-2125.2,-2346.0,-2508.3,-2280.6,-2211.1,-2546.7
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Romania,-3188.1,-2392.1,-2621.7,-2656.1,-2645.6,-3294.7,-3038.9,-2709.2,-2972.8,-2711.9,-3085.9,-2935.9
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Sweden,362.2,820.5,186.1,311.5,611.5,726.4,513.2,370.2,306.9,86.1,115.9,113.0
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Slovenia,780.7,-301.2,-914.3,62.5,1052.7,-424.9,-581.1,-34.1,-96.0,-243.4,-2900.1,-164.0
Monthly,Balance for values/ratio for indices,Seasonally and calendar adjusted trade value in million ECU/EURO,All countries of the world,Total,Slovakia,156.3,531.5,384.1,183.2,369.1,-55.2,275.2,157.6,162.4,209.7,116.4,341.7
