Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Stock or flow,Geopolitical entity (partner),Seasonal adjustment,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Albania,113.7,9.6,-5.9,-6.5,23.1,16.7,116.7,-40.4,-49.6,-75.5,-61.6,-63.1
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Austria,165.0,-836.0,257.0,314.0,38.0,-260.0,881.0,461.0,965.0,-707.0,-337.0,-1715.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Bosnia and Herzegovina,49.0,35.1,37.2,50.0,43.7,35.5,38.6,50.4,40.5,39.3,42.8,51.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Belgium,-200.0,204.0,-12.0,327.0,218.0,219.0,689.0,184.0,126.0,252.0,298.0,-1024.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Bulgaria,-74.0,-394.1,3.6,-93.3,1279.4,222.6,498.1,329.1,423.6,649.9,306.9,323.2
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Switzerland,-15885.3,32.8,224.5,263.4,-657.8,119.8,-32.5,1856.3,1728.8,-6.1,-18.2,-14.7
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Cyprus,-35.4,-41.2,-27.3,93.6,1.2,-35.2,3.4,-39.6,38.8,-22.3,-23.7,-24.3
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Czechia,1536.7,-217.7,1138.5,676.0,222.8,514.6,2142.0,169.5,881.8,159.9,1804.2,701.9
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany,230.0,-3787.0,-4516.0,-6442.0,-5544.0,-13931.0,-4074.0,-3906.0,-4725.0,-8679.0,-773.0,-3704.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Denmark,184.1,-3.2,27.8,87.1,26.3,50.2,29.5,47.4,-1472.9,40.8,-208.6,-75.3
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area - 19 countries  (2015-2022),13391.0,7772.0,104051.0,3222.0,12926.0,:,:,:,:,:,:,:
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Estonia,2467.3,83.9,130.5,151.3,-236.6,81.4,150.1,182.7,56.9,46.8,162.3,233.6
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Greece,792.0,-118.0,1605.0,1032.0,593.0,1925.0,-34.0,110.0,675.0,-425.0,-141.0,-58.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Spain,4943.0,1168.0,2488.0,3094.0,5924.0,2842.0,2218.0,3232.0,7926.0,1359.0,3572.0,3709.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),European Union - 27 countries (from 2020),-3082.8,-2928.3,89673.1,1380.8,-539.1,-11718.4,-8310.5,-438.9,-8930.1,-18316.8,-6967.0,-1724.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Finland,42.0,6.0,-12.0,3.0,-32.0,-88.0,-192.0,12.0,-10.0,-101.0,-68.0,65.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),France,2140.0,2876.0,2328.0,3056.0,1308.0,2405.0,1887.0,1424.0,1373.0,1905.0,1274.0,1505.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Croatia,418.0,300.0,347.0,377.0,645.0,373.0,754.0,480.0,614.0,210.0,303.0,361.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Hungary,1758.2,1638.1,1054.1,405.6,202.3,418.8,573.0,431.5,389.6,288.6,57.8,296.6
