Time frequency,Country of citizenship,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2018.0,2019.0,2021.0,2022.0,2023.0
Annual,Total,Less than 18 years,Total,Person,Austria,1580.0,2295.0,565.0,595.0,830.0
Annual,Total,Less than 18 years,Total,Person,Belgium,:,730.0,425.0,400.0,400.0
Annual,Total,Less than 18 years,Total,Person,Bulgaria,:,25.0,15.0,10.0,1710.0
Annual,Total,Less than 18 years,Total,Person,Switzerland,110.0,90.0,855.0,685.0,955.0
Annual,Total,Less than 18 years,Total,Person,Cyprus,:,:,400.0,470.0,610.0
Annual,Total,Less than 18 years,Total,Person,Czechia,:,:,110.0,130.0,20.0
Annual,Total,Less than 18 years,Total,Person,Germany,:,:,5090.0,8470.0,7025.0
Annual,Total,Less than 18 years,Total,Person,Denmark,715.0,455.0,180.0,175.0,125.0
Annual,Total,Less than 18 years,Total,Person,Estonia,:,:,25.0,50.0,35.0
Annual,Total,Less than 18 years,Total,Person,Greece,:,3850.0,805.0,1415.0,1400.0
Annual,Total,Less than 18 years,Total,Person,Spain,:,0.0,0.0,0.0,0.0
Annual,Total,Less than 18 years,Total,Person,European Union - 27 countries (from 2020),:,:,20050.0,22665.0,21385.0
Annual,Total,Less than 18 years,Total,Person,Finland,620.0,960.0,365.0,410.0,340.0
Annual,Total,Less than 18 years,Total,Person,France,9755.0,7200.0,4240.0,2330.0,2360.0
Annual,Total,Less than 18 years,Total,Person,Croatia,335.0,745.0,590.0,3235.0,1210.0
Annual,Total,Less than 18 years,Total,Person,Hungary,40.0,0.0,375.0,45.0,55.0
Annual,Total,Less than 18 years,Total,Person,Ireland,115.0,235.0,20.0,20.0,75.0
Annual,Total,Less than 18 years,Total,Person,Italy,50.0,40.0,0.0,20.0,15.0
Annual,Total,Less than 18 years,Total,Person,Liechtenstein,0.0,5.0,5.0,0.0,0.0
Annual,Total,Less than 18 years,Total,Person,Lithuania,:,:,1565.0,295.0,135.0
Annual,Total,Less than 18 years,Total,Person,Luxembourg,90.0,140.0,70.0,70.0,135.0
Annual,Total,Less than 18 years,Total,Person,Latvia,:,145.0,40.0,135.0,145.0
Annual,Total,Less than 18 years,Total,Person,Montenegro,:,:,0.0,:,5.0
Annual,Total,Less than 18 years,Total,Person,Malta,5.0,0.0,0.0,0.0,5.0
Annual,Total,Less than 18 years,Total,Person,Netherlands,:,0.0,1800.0,1370.0,1615.0
Annual,Total,Less than 18 years,Total,Person,Norway,:,:,200.0,:,260.0
Annual,Total,Less than 18 years,Total,Person,Poland,:,620.0,690.0,525.0,405.0
Annual,Total,Less than 18 years,Total,Person,Portugal,:,0.0,60.0,170.0,180.0
Annual,Total,Less than 18 years,Total,Person,Romania,60.0,80.0,45.0,85.0,155.0
Annual,Total,Less than 18 years,Total,Person,Sweden,4350.0,3450.0,2490.0,2160.0,2085.0
Annual,Total,Less than 18 years,Total,Person,Slovenia,55.0,55.0,65.0,35.0,60.0
Annual,Total,Less than 18 years,Total,Person,Slovakia,15.0,20.0,15.0,45.0,255.0
