Time frequency,Unit of measure,Activity and employment status,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand,Employed persons,Total - all NACE activities,Siracusa,122.2,120.6,120.1,121.1,120.8,119.6,122.0,119.3,118.7,:
Annual,Thousand,Employed persons,Total - all NACE activities,Sassari,178.6,177.5,178.4,177.2,180.7,180.3,183.5,180.8,185.9,:
Annual,Thousand,Employed persons,Total - all NACE activities,Nuoro,74.1,74.2,74.4,74.4,75.0,73.8,74.5,72.9,75.3,:
Annual,Thousand,Employed persons,Total - all NACE activities,Cagliari,188.3,188.9,191.2,199.1,198.8,201.8,202.4,199.7,200.4,:
Annual,Thousand,Employed persons,Total - all NACE activities,Oristano,53.2,53.2,53.3,52.8,54.7,54.2,55.2,53.9,54.5,:
Annual,Thousand,Employed persons,Total - all NACE activities,Sud Sardegna,97.1,96.3,95.7,96.7,98.9,97.5,98.0,95.4,97.2,:
Annual,Thousand,Employed persons,Total - all NACE activities,Malta,170.97,181.49,188.53,197.01,212.77,225.59,238.47,245.1,251.72,267.16
Annual,Thousand,Employed persons,Total - all NACE activities,Gozo and Comino/Għawdex u Kemmuna,10.13,10.63,10.87,11.43,12.26,13.02,13.73,14.22,15.01,15.63
Annual,Thousand,Employed persons,Total - all NACE activities,Região Autónoma dos Açores,102.07,106.18,112.62,112.71,113.73,114.22,114.88,114.89,117.13,:
Annual,Thousand,Employed persons,Total - all NACE activities,Região Autónoma da Madeira,114.1,115.85,115.99,117.56,122.31,123.54,123.15,120.2,121.41,:
Annual,Thousand,Employed persons,Total - all NACE activities,Gotlands län,29.0,30.0,30.0,30.0,31.0,31.0,30.0,29.0,30.0,:
