Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Total,From 18 to 64 years,Belgium,1.0,0.6,0.9,0.9,0.9,1.8 b,2.4,2.2,1.9 b,2.2
Annual,Percentage,Total,Total,From 18 to 64 years,Bulgaria,14.0,12.3,12.2,12.4 b,11.2,11.4 b,10.4,10.3,8.9,8.6
Annual,Percentage,Total,Total,From 18 to 64 years,Switzerland,1.4,2.0,2.4,1.5 b,1.8,2.3,2.3,2.6,1.8,2.0
Annual,Percentage,Total,Total,From 18 to 64 years,Cyprus,1.5,1.1,1.4,1.5,0.5,1.3,1.1,1.2,1.4,1.7
Annual,Percentage,Total,Total,From 18 to 64 years,Czechia,4.6,3.9,3.9,3.3,3.3,3.0,2.3,2.4,2.0,2.1
Annual,Percentage,Total,Total,From 18 to 64 years,Germany,2.3,2.0,1.8,2.1,2.1,2.1,2.0,2.4,2.2,1.2 b
Annual,Percentage,Total,Total,From 18 to 64 years,Denmark,2.5 b,2.8,2.5,2.4,3.1,2.1,3.3,3.9,3.7,3.4
Annual,Percentage,Total,Total,From 18 to 64 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.8 e,3.5 e,3.7 e,3.9 e,4.0 e,3.7 e,3.0 e,3.2 e,3.1,3.6
Annual,Percentage,Total,Total,From 18 to 64 years,Euro area - 18 countries (2014),3.9,3.6,3.8,3.9,3.9,3.6,3.0,3.2,3.0,3.5
Annual,Percentage,Total,Total,From 18 to 64 years,Euro area - 19 countries  (2015-2022),3.9,3.7,3.8,3.9,4.0,3.7,3.0,3.2,3.1,3.6
Annual,Percentage,Total,Total,From 18 to 64 years,Estonia,4.5,4.3,5.8,3.6 b,2.6,3.3,3.3,2.8,2.9,2.2
Annual,Percentage,Total,Total,From 18 to 64 years,Greece,7.9,8.0,7.5,6.4,7.3,6.9,6.7,6.3,6.3,6.2
Annual,Percentage,Total,Total,From 18 to 64 years,Spain,2.1 b,1.3,1.9,1.6,1.5,1.7,1.1,1.5,1.7,3.4
Annual,Percentage,Total,Total,From 18 to 64 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",5.5 e,5.1 e,5.3 e,5.2 e,5.1 e,4.9 e,4.2 e,4.1 e,3.9 e,:
Annual,Percentage,Total,Total,From 18 to 64 years,European Union - 27 countries (2007-2013),5.5,5.1,5.2,5.2,5.1,4.9,4.2,4.1,3.8 e,:
Annual,Percentage,Total,Total,From 18 to 64 years,European Union - 27 countries (from 2020),5.9 e,5.6 e,5.7 e,5.6 e,5.6 e,5.3 e,4.7 e,4.5 e,4.2 e,4.5 e
Annual,Percentage,Total,Total,From 18 to 64 years,European Union - 28 countries (2013-2020),5.5,5.1,5.3,5.2,5.1,4.9,4.2,4.1,3.9 e,:
Annual,Percentage,Total,Total,From 18 to 64 years,Finland,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.0,1.2
Annual,Percentage,Total,Total,From 18 to 64 years,France,2.6,2.7,2.2,2.3,2.3,2.7,2.1,3.0,2.5,4.1 b
Annual,Percentage,Total,Total,From 18 to 64 years,Croatia,10.0,10.0 b,9.4,8.3,7.7,7.5,6.7,6.5,6.1,5.3
Annual,Percentage,Total,Total,From 18 to 64 years,Hungary,15.0,16.0,16.7,16.8,15.0,16.5,15.4,7.2,6.8,6.8
Annual,Percentage,Total,Total,From 18 to 64 years,Ireland,0.7,0.6,1.4,1.4,1.0,0.9,0.6,0.9,1.0 b,1.1 b
Annual,Percentage,Total,Total,From 18 to 64 years,Iceland,1.9,2.4,2.8,2.1,2.3,1.5,1.5,1.8,3.9,:
Annual,Percentage,Total,Total,From 18 to 64 years,Italy,9.4,8.8,9.6,10.3,10.6,8.4,6.1,5.6,5.6,7.1
Annual,Percentage,Total,Total,From 18 to 64 years,Lithuania,7.2 b,7.0,8.7,10.0,8.8,9.0,8.0,6.8,7.3,5.7
Annual,Percentage,Total,Total,From 18 to 64 years,Luxembourg,1.9,2.4,1.7,1.6,1.7,2.0 b,2.5,2.2,2.0,1.4 b
Annual,Percentage,Total,Total,From 18 to 64 years,Latvia,17.7,15.9,16.4,16.5,15.4,14.4,15.4,14.6,12.6,11.6
Annual,Percentage,Total,Total,From 18 to 64 years,Montenegro,:,:,23.1,20.7,24.4,18.1,16.2,18.4,19.1,17.4
Annual,Percentage,Total,Total,From 18 to 64 years,North Macedonia,13.5,11.9,11.5,11.4 b,9.5,11.6,9.9,10.5,9.0,9.3
Annual,Percentage,Total,Total,From 18 to 64 years,Malta,1.5,1.0,1.4,1.4,1.3,1.6,1.3,1.1,1.3,1.0
Annual,Percentage,Total,Total,From 18 to 64 years,Netherlands,0.6,1.1,1.0,0.8,1.3,1.5 b,1.3,1.5,1.6,1.7
Annual,Percentage,Total,Total,From 18 to 64 years,Norway,1.5,1.2,1.6,1.0,0.9,1.1,1.0,1.1,1.2,1.1
Annual,Percentage,Total,Total,From 18 to 64 years,Poland,11.0,10.3,9.9,9.1,9.9,9.7,10.1,8.7,8.1,:
Annual,Percentage,Total,Total,From 18 to 64 years,Portugal,3.9,4.2,5.7,5.7,4.9,5.1,4.0,4.4,4.2,3.9
Annual,Percentage,Total,Total,From 18 to 64 years,Romania,23.4,21.4,21.4,19.6,18.9,18.7,16.7,15.4,13.7,13.5
Annual,Percentage,Total,Total,From 18 to 64 years,Serbia,:,:,16.6,17.9,17.1,16.1,15.0,11.6,14.6,9.2
Annual,Percentage,Total,Total,From 18 to 64 years,Sweden,2.5,2.0,2.1,2.4,2.8,3.3,2.9,3.0,2.8,2.5
Annual,Percentage,Total,Total,From 18 to 64 years,Slovenia,9.1 b,8.5,6.7,6.8,6.0,4.9,4.6,4.9,3.9,3.2
Annual,Percentage,Total,Total,From 18 to 64 years,Slovakia,4.5,4.9,4.1,4.1,3.7,3.9,4.9,3.6,3.8,3.4
Annual,Percentage,Total,Total,From 18 to 64 years,Türkiye,26.2,26.2,24.9,24.5,23.9,24.0,22.8,21.8,21.6,20.3
Annual,Percentage,Total,Total,From 18 to 64 years,United Kingdom,2.6,2.0 b,2.4,2.4,2.1,2.2,0.9 b,1.8,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Kosovo*,:,:,:,:,:,:,:,20.4,:,:
Annual,Percentage,Total,Total,Less than 18 years,Albania,:,:,:,:,:,:,26.1,28.3,26.9,19.3
Annual,Percentage,Total,Total,Less than 18 years,Austria,6.0,6.4,7.4,6.4,7.1,6.7,7.3,4.8,4.2,4.8
Annual,Percentage,Total,Total,Less than 18 years,Belgium,1.6,0.9,1.4,1.3,1.5,2.8 b,3.6,3.8,3.3 b,4.0
Annual,Percentage,Total,Total,Less than 18 years,Bulgaria,23.5,23.2,25.2,24.0 b,21.0,21.5 b,19.5,17.2,15.2,15.3
Annual,Percentage,Total,Total,Less than 18 years,Switzerland,2.0,2.1,2.4,2.4 b,2.6,4.0,4.1,3.1,2.4,2.5
Annual,Percentage,Total,Total,Less than 18 years,Cyprus,2.4,1.9,1.6,2.3,0.8,2.0,0.8,1.7,1.6,2.2
Annual,Percentage,Total,Total,Less than 18 years,Czechia,8.4,6.7,6.4,6.5,5.7,5.2,3.6,4.0,3.4,3.3
Annual,Percentage,Total,Total,Less than 18 years,Germany,3.5,3.4,2.6,3.0,2.7,2.9,3.0,3.9,3.5,2.5 b
Annual,Percentage,Total,Total,Less than 18 years,Denmark,4.9 b,2.8,3.5,4.0,4.1,1.8,3.9,4.1,2.7,3.8
Annual,Percentage,Total,Total,Less than 18 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.0 e,5.1 e,4.9 e,5.4 e,5.5 e,5.2 e,4.1 e,4.5 e,4.2,5.1
Annual,Percentage,Total,Total,Less than 18 years,Euro area - 18 countries (2014),5.1,5.2,5.0,5.4,5.4,5.1,4.1,4.4,4.1,5.1
Annual,Percentage,Total,Total,Less than 18 years,Euro area - 19 countries  (2015-2022),5.2,5.3,5.1,5.5,5.5,5.2,4.1,4.5,4.2,5.1
Annual,Percentage,Total,Total,Less than 18 years,Estonia,8.4,8.5,8.3,7.0 b,4.7,5.1,5.2,5.1,3.7,2.9
Annual,Percentage,Total,Total,Less than 18 years,Greece,7.1,5.8,7.7,7.1,8.2,8.0,7.4,8.4,8.6,8.9
Annual,Percentage,Total,Total,Less than 18 years,Spain,3.3 b,2.1,2.7,3.2,2.5,2.9,1.6,2.6,3.1,6.2
Annual,Percentage,Total,Total,Less than 18 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",7.8 e,7.5 e,7.6 e,7.5 e,7.5 e,7.2 e,6.0 e,6.1 e,5.8 e,:
Annual,Percentage,Total,Total,Less than 18 years,European Union - 27 countries (2007-2013),7.7,7.5,7.5,7.5,7.4,7.2,6.0,6.1,5.7 e,:
Annual,Percentage,Total,Total,Less than 18 years,European Union - 27 countries (from 2020),8.3 e,8.2 e,8.0 e,8.0 e,8.0 e,7.7 e,6.6 e,6.4 e,6.0 e,6.7 e
Annual,Percentage,Total,Total,Less than 18 years,European Union - 28 countries (2013-2020),7.8,7.5,7.6,7.5,7.5,7.2,6.0,6.1,5.8 e,:
Annual,Percentage,Total,Total,Less than 18 years,Finland,0.4,0.8,0.8,0.3,0.3,0.6,0.6,1.0,1.1,1.4
Annual,Percentage,Total,Total,Less than 18 years,France,3.6,3.9,3.1,3.7,4.2,4.7,3.3,4.2,3.5,6.1 b
Annual,Percentage,Total,Total,Less than 18 years,Croatia,13.2,11.8 b,10.8,9.3,8.8,8.3,8.2,7.6,8.1,6.7
Annual,Percentage,Total,Total,Less than 18 years,Hungary,25.7,28.1,28.6,28.3,25.3,28.3,27.3,14.2,17.3,16.2
Annual,Percentage,Total,Total,Less than 18 years,Ireland,1.1,0.6,1.8,1.7,2.0,1.6,1.3,1.3,2.0 b,2.5 b
Annual,Percentage,Total,Total,Less than 18 years,Iceland,2.8,3.5,4.2,3.6,4.3,2.3,2.7,1.7,3.7,:
Annual,Percentage,Total,Total,Less than 18 years,Italy,12.2,13.3,12.6,14.0,14.5,11.2,7.7,7.0,6.4,7.5
Annual,Percentage,Total,Total,Less than 18 years,Lithuania,12.6 b,11.8,15.2,16.8,14.9,13.4,13.9,12.0,14.8,8.0
Annual,Percentage,Total,Total,Less than 18 years,Luxembourg,2.9,3.5,2.6,2.6,2.3,3.8 b,2.9,3.4,3.2,3.1 b
Annual,Percentage,Total,Total,Less than 18 years,Latvia,24.7,25.0,23.9,23.8,22.5,21.6,21.1,22.2,18.4,15.5
Annual,Percentage,Total,Total,Less than 18 years,Montenegro,:,:,27.3,26.1,28.1,22.3,21.3,20.8,22.3,23.3
Annual,Percentage,Total,Total,Less than 18 years,North Macedonia,18.5,16.2,14.8,14.2 b,12.1,15.7,12.6,16.4,14.2,14.9
Annual,Percentage,Total,Total,Less than 18 years,Malta,2.8,1.5,1.9,1.7,2.1,2.9,3.3,2.4,2.3,1.5
Annual,Percentage,Total,Total,Less than 18 years,Netherlands,0.4,0.6,1.0,0.7,1.1,1.9 b,1.0,1.6,2.2,2.1
Annual,Percentage,Total,Total,Less than 18 years,Norway,1.6,1.7,1.4,0.5,0.8,1.6,0.8,0.9,1.2,1.5
Annual,Percentage,Total,Total,Less than 18 years,Poland,14.7,13.3,13.1,11.3,12.3,11.4,12.3,10.5,10.1,:
Annual,Percentage,Total,Total,Less than 18 years,Portugal,5.7,7.4,8.8,8.6,7.2,7.8,6.9,6.7,7.1,7.5
Annual,Percentage,Total,Total,Less than 18 years,Romania,36.9,36.5,37.5,33.6,32.6,34.3,28.3,26.8,24.1,24.6
Annual,Percentage,Total,Total,Less than 18 years,Serbia,:,:,20.2,22.0,19.2,18.4,19.3,16.7,16.2,10.0
Annual,Percentage,Total,Total,Less than 18 years,Sweden,2.8,2.3,2.3,3.0,4.3,3.3,3.0,4.9,3.9,4.4
Annual,Percentage,Total,Total,Less than 18 years,Slovenia,12.1 b,11.4,9.6,8.9,7.5,5.7,6.5,7.3,6.5,4.7
Annual,Percentage,Total,Total,Less than 18 years,Slovakia,8.3,8.6,7.9,6.9,7.5,7.2,8.3,4.9,4.4,3.8
Annual,Percentage,Total,Total,Less than 18 years,Türkiye,36.6,36.8,34.9,34.7,34.3,33.9,33.0,31.5,31.1,29.1
Annual,Percentage,Total,Total,Less than 18 years,United Kingdom,4.5,3.4 b,4.6,4.2,4.2,3.8,2.0 b,4.1,:,:
Annual,Percentage,Total,Total,Less than 18 years,Kosovo*,:,:,:,:,:,:,:,21.4,:,:
